HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
45348  10.55           2007A&A...474..653V    -05.60 +0.15 A9II
45572  05.55           2007A&A...474..653V    -00.52 -0.06 B9V
45871  03.78           2007A&A...474..653V    -01.37 -0.17 B3Ve
47105  29.84           2007A&A...474..653V    -00.70 +0.00 A1.5IV+
47144  06.40           2007A&A...474..653V    -00.38 -0.14 A0V
47230  25.25           2007A&A...474..653V    +03.36 +0.48 G0V
47395  03.87           2007A&A...474..653V    -01.03 -0.08 B5/7
48543  12.06           2007A&A...474..653V    +01.70 +0.34 A3V+F/G
48915  379.21          2007A&A...474..653V    +01.43 +0.00 A0mA1Va
49662  06.17           2007A&A...474..653V    -00.66 -0.10 B7IV
49891  04.07           2007A&A...474..653V    -00.62 +0.04 A0/1V
50700  06.11           2007A&A...474..653V    +00.34 +0.17 A4V
51825  23.20           2007A&A...474..653V    +03.06 +0.46 F5V
52089  08.05           2007A&A...474..653V    -03.97 -0.21 B1.5II
53921  06.61           2007A&A...474..653V    -00.40 -0.11 B9III+B8V
53952  18.71           2007A&A...474..653V    +02.50 +0.37 F2V
54605  02.03           2007A&A...474..653V    -06.62 +0.68 F8Ia
55130  23.54           2007A&A...474..653V    +03.29 +0.49 F8V+F8V
55718  03.59           2007A&A...474..653V    -01.26 -0.14 B2.5V+B9V
56456  08.66           2007A&A...474..653V    -00.55 -0.10 B8/9V
56855  04.04           2007A&A...474..653V    -04.27 +1.62 K4III
58535  05.14           2018yCat.1345....0G    -01.10 +1.07 K1+III
59438  28.50           2007A&A...474..653V    +03.32 +0.47 F8VFe-1.3CH-0.8
61330  09.05           2007A&A...474..653V    -00.69 -0.09 B8IV/V
61421  284.56          2007A&A...474..653V    +02.65 +0.42 F5IV-V+DQZ
61563  12.60           1995GCTP..C......0V    +01.52 -0.04 A0III
62264  05.81           2007A&A...474..653V    +00.01 +1.02 K0III
62509  96.54           2007A&A...474..653V    +01.06 +1.00 K0IIIb
64379  55.73           2007A&A...474..653V    +03.74 +0.44 F5VFe-0.5
65123  16.14           2007A&A...474..653V    +02.39 +0.50 F7V
65211  03.39           2018yCat.1345....0G    -01.33 -0.11 B5IV/V
66684  03.40           2007A&A...474..653V    -01.13 +0.01 B9.5Vp_lB+A0Vnp
68457  06.00           2018yCat.1345....0G    +00.34 +0.20 A7Vm
68895  03.12           2007A&A...474..653V    -01.50 -0.11 B5V
69445  10.22           2007A&A...474..653V    +01.26 +0.78 G5/8III+(G)
70003  02.45           2007A&A...474..653V    -01.35 +0.23 A0IV
70930  01.90           2007A&A...474..653V    -03.79 -0.15 B2III
72108  01.53           2007A&A...474..653V    -03.75 -0.14 B1.5V+B4V
72127  01.25           2007A&A...474..653V    -04.53 -0.16 B3III/IV
72436  02.17           2007A&A...474..653V    -02.01 -0.15 B5V
72737  04.35           2007A&A...474..653V    -01.12 +0.58 A0/1V
74148  07.30           2007A&A...474..653V    +00.68 +0.00 A0V
74341  14.89           2007A&A...474..653V    +02.20 +0.20 A4V+F7V
74956  40.49           2007A&A...474..653V    -00.00 +0.04 A2IV+A4V
75737  07.31           2018yCat.1345....0G    -00.14 +0.15 A2/3V
75959  07.07           2007A&A...474..653V    -00.36 +1.05 G7III
76640  04.58           2007A&A...474..653V    -00.32 -0.11 B5V
76644  68.92           2007A&A...474..653V    +02.33 +0.19 A6
77327  09.10           2007A&A...474..653V    -01.60 +0.00 A1Vn
78154  49.07           2007A&A...474..653V    +03.25 +0.49 F7V
