designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 496663940735093504,\N,\N,68.3287,68.78020153642167,51.75747061512201,0.033527337,560.90753,170.91211581249013,-534.2342990916029,1.4918019,14.411797,16.541481,13.071553,2948.4517,2946.623,2960.9788,5.1526,5.1078,5.1554,-0.3805,-0.3898,-0.2258,19.2514,19.1014,21.4497,12.981662221153254,0.0014066316722587,11.641418221153256,0.0014066316722587,3.469928
Gaia DR3 3472374376124622336,\N,\N,182.545,-31.973672576726443,46.97203719763293,0.03282656,606.40924,-597.2076841194012,-105.23839691786644,1.1872973,14.480526,16.60971,13.139987,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.839722980659102,0.0015175407582184,11.499183980659105,0.0015175407582184,3.469723
Gaia DR3 4960651016012601856,\N,\N,24.8414,-39.60350836178757,114.60403630806456,0.040204506,270.13528,143.6343223245434,-228.78428390288963,1.6810843,12.568368,14.691125,11.223761,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.864367567888545,0.0007617792698324,11.519760567888545,0.0007617792698324,3.467364
Gaia DR3 2572901021957789568,\N,\N,24.2412,9.563070454755836,163.44784569658697,0.4628947,1238.3494,1238.2439374026385,-16.155571796869925,1.1058807,19.461197,21.107285,17.640982,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20.528093003956357,0.006149764486782,18.70787800395636,0.006149764486782,3.466303
Gaia DR3 3412806512623627008,\N,\N,72.7152,22.1207568905776,79.03866584361127,0.024871003,759.2289,628.8284125619208,-425.4448762416827,1.1645995,13.332204,15.455266,11.989525,2941.4998,2941.2283,2941.734,5.1126,5.1122,5.1129,-0.2209,-0.2223,-0.2184,12.6228,12.6168,12.6287,12.821402004200504,0.0006832946636636,11.478723004200504,0.0006832946636636,3.465741
Gaia DR3 6383963114451742464,\N,\N,343.466,-71.46933787431222,47.14877685934009,0.03546883,303.1907,257.96878496257244,-159.30066350558172,1.9053739,14.34123,16.463564,12.998879,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.708582153433609,0.0016335439729751,11.366231153433606,0.0016335439729751,3.464685
Gaia DR3 1836834337140192128,\N,\N,302.654,28.20090626539941,54.96180121834234,0.022600409,138.24316,130.8889182855886,-44.488901785563264,1.0818255,13.935087,16.053242,12.58987,2942.8386,2942.53,2943.1294,5.0761,5.0755,5.0765,-0.0919,-0.0935,-0.0897,18.1688,18.156,18.1863,12.635391785320104,0.0008929141015299,11.290174785320104,0.0008929141015299,3.463372
Gaia DR3 3767281639714811648,\N,\N,154.649,-11.71838066150332,45.22530541959677,0.038560905,422.27597,-341.57307874885595,-248.2837768545199,1.1544158,14.465353,16.588121,13.125296,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.742260542291392,0.0018514847121098,11.40220354229139,0.0018514847121098,3.462825
Gaia DR3 6876824767881427328,\N,\N,305.969,-13.05642656683783,44.64517424137934,0.044098657,458.77597,292.7872597999303,-353.2010927979839,1.2204733,14.84388,16.964993,13.50513,2954.9429,2948.445,2957.0332,5.1504,5.0827,5.1627,-0.6189,-0.6559,-0.5981,22.1996,22.1193,23.1249,13.092752611351846,0.0021448913514703,11.754002611351847,0.0021448913514703,3.459863
Gaia DR3 3927886100593557888,\N,\N,193.71,11.985615985802268,56.076172036949565,0.029491365,479.6285,-274.45801793878803,-393.3399176716496,1.1213416,13.897669,16.015173,12.556636,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.64156079726347,0.0011420125339238,11.30052779726347,0.0011420125339238,3.458537
Gaia DR3 4540481374832743040,\N,\N,259.432,11.668137650695137,80.84072827903502,0.14445834,566.79913,-343.49497776089464,-450.8574333171047,5.7270503,13.209166,15.328575,11.870116,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.74731708669416,0.0038803167685497,11.40826708669416,0.0038803167685497,3.458459
Gaia DR3 765038614353808768,\N,\N,167.204,39.9194772969731,56.86996813333028,0.029579094,354.86392,-317.0559049918226,-159.386170378881,1.1129532,14.118499,16.23629,12.780153,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.892913924492534,0.0011294219852704,11.554567924492533,0.0011294219852704,3.456137
Gaia DR3 3336130626153639424,\N,\N,85.2238,8.905037560985615,63.731924628849775,0.0264073,169.57576,-169.42830135297783,-7.070189127394858,1.2153444,13.807728,15.923795,12.469025,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.82951316929154,0.0008997488617419,11.49081016929154,0.0008997488617419,3.45477
Gaia DR3 2246676707976104960,\N,\N,305.827,67.17024449409347,45.5254735388161,0.054363463,278.2835,219.95482139735148,170.4745815241825,1.1114347,14.018291,15.737596,12.28327,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.309563359289784,0.0025930277474293,10.574542359289785,0.0025930277474293,3.454326
Gaia DR3 1467644789524975232,\N,\N,196.871,33.41906122065947,46.66994404095832,0.035170864,73.16716,67.06641048543686,29.249435599178565,1.1341279,14.747754,16.866459,13.412368,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.09294040074916,0.001636440257692,11.75755440074916,0.001636440257692,3.454091
Gaia DR3 1735245338242513536,\N,\N,310.851,4.764685971871537,66.45450511974344,0.17463209,469.44186,446.3187972001839,-145.51701292554847,10.151254,13.516981,15.626035,12.17712,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.629603141015552,0.0057063044477585,11.28974214101555,0.0057063044477585,3.448915
