designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 4689789625044431616,\N,\N,3.4612,-71.83283882571797,53.20518497550886,0.0193993,340.0941,233.00799444120008,-247.73224655056336,0.95242137,15.033262,15.289119,14.61724,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.663031787088656,0.0007917470186429,13.247009787088654,0.0007917470186429,0.671879
Gaia DR3 2498460442625153536,16765A,\N,40.3093,-0.6962055847301062,44.86942385484068,0.041015185,252.88327,220.02154488466715,-124.6614106405939,0.97861886,5.639261,5.8888855,5.2238035,6208.489,6204.5845,6217.978,4.2607,4.2411,4.2843,-0.2559,-0.3547,-0.1517,22.2889,22.248,22.3493,3.899013465085706,0.0019849456434606,3.4835559650857078,0.0019849456434606,0.665082
Gaia DR3 1068982214258617216,\N,\N,137.598,67.13362657576307,48.740394987611786,0.07627328,88.85526,13.118896132255593,-87.8814638931786,0.859881,4.679625,4.9398856,4.282234,6235.699,6234.4463,6237.6167,4.077,4.0682,4.0787,-0.3019,-0.3137,-0.2877,20.5509,20.4992,20.9013,3.119070221724564,0.003398114815118,2.721679221724565,0.003398114815118,0.6576516
Gaia DR3 4698424845771339520,\N,\N,25.7503,-67.31295815760012,102.90778143705752,0.01108138,1070.4092,-329.264342191648,-1018.50905419815,1.049109,13.696558,13.942925,13.289191,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.7587990772817,0.0002338298492716,13.3514320772817,0.0002338298492716,0.653734
Gaia DR3 3455921181049073280,\N,\N,85.7798,36.616751811814616,44.97581993044304,0.035161644,169.08154,-159.39601414679683,-56.40462130945568,1.0084004,15.551895,15.792079,15.140347,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.81679044741658,0.0016976356516185,13.40524244741658,0.0016976356516185,0.651732
Gaia DR3 5564171814627287296,\N,\N,104.273,-39.16057903497493,60.55813991669191,0.018015416,334.57068,-298.99905486032003,-150.12360459886406,0.97780627,14.975847,15.21484,14.564063,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.886709635273585,0.0006459904481506,13.474925635273584,0.0006459904481506,0.650777
Gaia DR3 2052891361294411520,\N,\N,289.744,38.72151454983126,84.24434883357806,0.016932584,252.93523,25.20043736859222,-251.6767045698044,0.99149454,14.468728,14.70764,14.069847,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.096431888802424,0.000436452295994,13.697550888802423,0.000436452295994,0.637793
Gaia DR3 3052844272764398208,\N,\N,105.478,-6.466787117089009,48.31878474123209,0.030580536,890.235,-67.46421252768434,-887.67497310125,0.9608625,15.300834,15.540027,14.903203,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.721414014363598,0.0013743060677953,13.3237830143636,0.0013743060677953,0.636824
Gaia DR3 5921433963191695872,\N,\N,264.252,-54.43440976973922,49.41402788576175,0.03826525,466.32648,-92.4162982651004,-457.0772599070432,1.0048691,15.594002,15.781888,15.149061,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.063253279896712,0.0016815458035415,13.618312279896712,0.0016815458035415,0.632827
Gaia DR3 395234439752169344,\N,\N,3.05822,50.41997493299496,91.96457630276808,0.018302355,719.1412,-461.332056786813,-551.6672959352079,1.0567747,14.236328,14.46869,13.839458,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.054430871576312,0.0004321561739768,13.657560871576312,0.0004321561739768,0.629232
