designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1413099460779606528",81563,\N,249.87835576274384,50.565835382779426,48.36520902642757,0.016310694,514.3785,320.6464973851058,-402.2076997781927,1.1293374,10.984402,12.050353,9.960774,3396.4197,3396.1345,3396.8635,4.085,4.0844,4.086,-1.5102,-1.5107,-1.5091,20.6859,20.6761,20.6996,9.407067345311411,0.0007323078728855847,8.383439345311412,0.0007323078728855847,2.089579,11.88,249.8748842,50.56860064,16,50,45.89,1.98,21.7912,321.16,-403.03,\N,\N,10.188590288473296,0.09374997594390244,\N,\N,1.77,\N
"Gaia DR3 1473166433840437888",65012,\N,199.8965960574404,35.10343086902767,73.9230605881877,0.033322293,883.6546,372.8263631681323,-801.1528987788727,1.677979,11.011088,12.371564,9.857584,3125.6838,3123.8225,3126.645,4.2475,4.2353,4.251,-0.8958,-0.904,-0.8918,13.5468,13.53,13.6831,10.354987696975094,0.0009788345368342277,9.201483696975092,0.0009788345368342277,2.51398,12.03,199.89345734,35.10894812,13,35,55.48,39.3,18.0245,380.37,-783.48,\N,\N,10.750682262006238,1.9193454677178217,\N,\N,1.47,\N
"Gaia DR3 1584088431025057792",60398,\N,185.7438361631177,64.03248298122433,54.44735322749599,0.019417007,769.7052,-673.1157390294371,373.31127424004893,1.4072167,10.552364,11.82523,9.429114,3243.4312,3242.58,3246.3918,4.1747,4.1722,4.1817,-0.6699,-0.6727,-0.6608,18.3882,18.3764,18.4476,9.232247864294425,0.0007743902001458025,8.108997864294427,0.0007743902001475789,2.396116,11.63,185.75439425,64.02991823,12,64,55.5,2.27,18.018,-667.21,375.52,\N,\N,10.35146491561338,0.08886475342164513,\N,\N,1.61,\N
"Gaia DR3 1615982823805660544",73734,\N,226.07118760325147,60.38537932190289,58.544572315840405,0.014767674,681.02576,-657.3080971622794,178.16335290508448,1.2150067,10.117958,11.232963,9.068951,3608.4868,3607.643,3609.0078,4.7451,4.7428,4.7463,-0.0305,-0.0342,-0.0268,17.0425,17.0339,17.0537,8.955391188541004,0.0005477467176779882,7.906384188541004,0.0005477467176779882,2.164012,11,226.08033108,60.38415455,15,60,56.94,1.44,17.5623,-654.95,177.55,\N,\N,9.777087314054683,0.05492776882329853,\N,\N,1.5,\N
"Gaia DR3 1669449084967071872",71898,\N,220.58662378500725,66.05561864866871,91.47905102923112,0.0156019805,301.51407,-299.0311092008317,-38.615056152959184,1.125203,9.854037,11.057698,8.761355,3254.3323,3251.1985,3280.9893,4.2191,4.21,4.2929,-0.9213,-0.9328,-0.846,10.9319,10.9246,10.9482,9.66064525371673,0.00037035004339092126,8.56796325371673,0.00037035004339092126,2.296343,10.88,220.59172751,66.05588609,14,66,101.34,12.77,9.8678,-310.62,-59.22,\N,\N,10.908904499773262,0.27509265172871533,\N,\N,1.615,\N
"Gaia DR3 170639948323693952",19337,"281621",62.15864195363978,33.63759679656128,71.82205959553683,0.018904958,541.73645,526.8736624635442,126.02597411315382,1.038892,9.371755,10.422763,8.35289,3639.0974,3616.9912,3650.5967,4.6228,4.557,4.6425,-0.4621,-0.6166,-0.3593,13.8921,13.8334,13.9699,8.65304427477674,0.0005715736346090239,7.63417927477674,0.0005715736346090239,2.069873,10.18,62.15429045,33.63673008,4,33,73.01,2.19,13.6968,524.64,126.47,\N,\N,9.496911742203938,0.06515479542387492,\N,\N,1.495,\N
"Gaia DR3 1872046609345556480",104214,"201091",316.7484792940004,38.76386244649797,285.99494829578117,0.05989728,5282.104,4164.2086922846665,3249.613883848584,1.2043179,4.766713,5.4397926,3.977203,4353.7437,4349.8877,4367.35,4.6322,4.6255,4.6499,0.2244,0.2049,0.301,3.4904,3.4792,3.4946,7.048504809934679,0.0004547817840903079,6.258994809934679,0.0004547817840903079,1.4625896,5.2,316.71181258,38.74149446,21,38,287.13,1.51,3.4827,4155.1,3258.9,\N,\N,7.490392854746412,0.011419752609224343,\N,\N,1.069,\N
"Gaia DR3 1889703529122914560",112909,\N,342.9758008163989,31.754005503153618,66.20519427385788,0.04352633,526.02374,523.7997213332408,-48.31995310468763,1.4225554,10.501047,11.875741,9.336546,3110.1282,3109.4214,3111.1016,3.9763,3.9726,3.9811,-0.859,-0.8626,-0.8523,15.1346,15.1207,15.1663,9.605507321517084,0.0014276257223757582,8.441006321517083,0.0014276257223766464,2.539195,11.66,342.97156518,31.75433773,22,31,70.3,2.71,14.2248,527.01,-50.59,\N,\N,10.89477662509912,0.08374975499323511,\N,\N,1.5,\N
"Gaia DR3 1940584323054654592",117383,\N,357.01731862552737,49.01622835324005,61.25738022622941,0.021546135,630.0848,626.2088480177963,69.78013860817649,1.3833959,11.175468,12.322246,10.109758,3353.103,3352.777,3354.171,4.3187,4.3168,4.3213,-1.3642,-1.3649,-1.3619,16.3452,16.3117,16.3977,10.111260097708547,0.0007637747393189898,9.045550097708547,0.0007637747393189898,2.212488,12.06,357.01075418,49.01574852,23,49,60.56,3.24,16.5125,626.93,69.67,\N,\N,10.97092933246008,0.11628624248963959,\N,\N,1.63,\N
"Gaia DR3 2090085056523454464",91699,\N,280.4944113394081,31.830526444225434,92.61274331836513,0.017430982,300.4369,-300.32391163555053,8.237984564903643,1.1358266,10.201433,11.531231,9.061658,3379.8118,3379.5742,3380.0623,4.8718,4.8708,4.8723,-0.1081,-0.1094,-0.1069,10.7731,10.7694,10.7772,10.034786743996714,0.0004087007421933464,8.895011743996713,0.0004087007421933464,2.469573,11.27,280.49684034,31.83046912,18,31,88.14,2.27,11.3456,-303.3,8.59,\N,\N,10.995865230869502,0.055937515861672615,\N,\N,1.579,\N
