designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1124490096714712960",46343,"80768",141.71504784694056,75.93383783985591,47.83514271573157,0.014740146,358.78705,-345.9100658576638,-95.25953230621836,0.96429324,8.568129,9.237542,7.7810407,4300.9624,4294.8633,4302.5425,4.5506,4.5356,4.5533,-0.0231,-0.1488,0,20.9131,20.8768,21.023,6.966864370071884,0.0006691277489130343,6.179776070071884,0.0006691277489130343,1.4565013,9.02,141.72483448,75.93449215,9,75,49.84,1.04,20.0642,-347.05,-95.7,10.554,9.151,7.507890168255566,0.045318201594116925,7.638890168255566,0.045318201594116925,1.203,1.403
"Gaia DR3 1128210122507896832",53327,\N,163.60246869511477,76.06638564220438,43.58035019643688,0.012356008,455.51196,-432.6488713152799,142.49951826618405,0.9331988,9.054224,9.692552,8.28566,4330.224,4329.1353,4331.2676,4.6222,4.6216,4.6227,-0.4088,-0.4122,-0.4056,22.9334,22.9269,22.9395,7.2506775788133515,0.0006156612111136717,6.482113578813352,0.0006156612111136717,1.406892,9.48,163.61482212,76.06540631,10,76,44.92,1.04,22.2618,-432.44,141.84,10.893,9.601,7.742198737947103,0.050283502783934786,7.863198737947103,0.050283502783934786,1.097,1.292
"Gaia DR3 1129149723913123456",57544,\N,176.9394079814786,78.69329745305299,190.32514271529305,0.019362431,889.55194,748.4182886031707,480.80430000482306,1.284949,9.551337,11.049281,8.347287,3056.1953,3054.8835,3056.999,4.4017,4.3973,4.4049,-0.7508,-0.7564,-0.7472,5.2528,5.2484,5.2538,10.94881782060577,0.00022091135329205258,9.74476782060577,0.00022091135329205258,2.701994,10.8,176.91319098,78.68999275,11,78,185.48,1.43,5.3914,743.21,480.4,12.741,10.92,12.141485436118835,0.016741789261093487,12.261485436118834,0.016741789261093487,1.572,1.821
"Gaia DR3 1130450270073924608",47981,\N,146.70363523803653,76.03947042549247,63.325063023847214,0.01529024,1004.24786,87.3667512611242,-1000.440301995851,1.0442513,9.792734,10.867223,8.757159,3532.1582,3510.8792,3576.4312,4.5683,4.5345,4.6196,-0.4036,-0.4457,-0.3158,15.7892,15.7382,15.845,8.800612153457458,0.0005243158609671283,7.765037153457457,0.0005243158609666843,2.110064,10.64,146.70114708,76.04634854,9,76,62.85,1.53,15.9109,88.25,-997.27,11.925,10.764,9.631526410109885,0.05287206541814271,9.755526410109884,0.05287206541814271,1.382,1.161
"Gaia DR3 1139252071109797760",38784,"62613",119.05927122870598,80.26593957502311,58.291899886624634,0.019578947,484.46622,-476.1593730046099,89.32955805147142,1.1370121,6.3770027,6.7352443,5.844827,5453.257,5452.23,5454.3584,4.4667,4.4662,4.4672,-0.5015,-0.5065,-0.4978,17.1482,17.1419,17.1539,5.205043751758566,0.0007293491016646669,4.672868051758567,0.0007293491016646669,0.8904173,6.55,119.07863116,80.26532526,7,80,58.67,0.57,17.0445,-475.7,89.35,7.46,6.629,5.39208044108166,0.021097293647100557,5.471080441081659,0.021097293647100557,0.719,0.831
"Gaia DR3 1141280704422528128",32439,"46588",101.55652486903517,79.56212608725718,54.93795853293205,0.059513412,612.12775,-99.16304484778603,-604.042255390708,0.98378754,5.3004165,5.569801,4.8804135,6105.6284,6104.529,6107.056,4.1922,4.1893,4.195,-0.5909,-0.6071,-0.5757,18.1976,18.1759,18.2171,3.9997790860929783,0.002352322258718509,3.579776086092977,0.002352322258718509,0.6893875,5.44,101.56028979,79.56627808,6,79,56.02,0.53,17.8508,-99.03,-603.61,6.057,5.502,4.181715522437747,0.02054471111827061,4.243715522437748,0.02054471111827061,0.525,0.555
"Gaia DR3 114207651462714880",12781,\N,41.068881780380345,25.52175109435131,130.19563405443222,0.028051848,937.71783,864.5251260254983,-363.19555086835487,1.080172,9.467294,10.816531,8.316322,3179.169,3157.587,3238.1348,4.318,4.2492,4.524,-0.7115,-0.7846,-0.4589,7.6778,7.6447,7.6891,10.040276104806804,0.00046786372947860144,8.889304104806804,0.00046786372947860144,2.500209,10.55,41.06229453,25.52424901,2,25,132.42,2.48,7.5517,864.77,-367.17,\N,\N,11.159767917726494,0.04067271810638573,\N,\N,1.53,\N
"Gaia DR3 1143321672882274560",29277,\N,92.58432174711153,82.10081629100655,105.69034761779739,0.014169129,1337.1912,50.26318128303255,-1336.2461565890833,1.0745975,9.470075,10.719857,8.35686,3250.4275,3230.9077,3340.0625,4.2872,4.2059,4.5397,-0.713,-0.8147,-0.432,9.4696,9.4348,9.4916,9.590251631535132,0.0002911133662459875,8.477036631535132,0.0002911133662459875,2.362997,10.48,92.58180602,82.11000311,6,82,106.43,1.44,9.3958,50.26,-1336.86,12.214,10.577,10.615320310755227,0.02938185752920397,10.712320310755228,0.02938185752920308,1.514,1.637
"Gaia DR3 1147862174868109184",51819,"90343",158.79785566738158,84.3995344558437,47.38788704768253,0.013796714,51.88374,19.761016199076735,47.973164996132574,0.92303175,7.0809174,7.4883466,6.5041924,5218.4893,5214.6377,5220.412,4.4785,4.4771,4.4812,0.1141,0.104,0.1173,21.0379,21.006,21.0569,5.459254123071827,0.0006322118690231804,4.882529123071827,0.0006322118690231804,0.9841542,7.29,158.7964664,84.39920504,10,84,47.55,0.6,21.0305,18.97,48.01,8.318,7.378,5.675752606367163,0.02740173714605909,5.763752606367164,0.02740173714605909,0.819,0.94
"Gaia DR3 114832620743735808",13081,"17382",42.03952436381632,27.068111757001752,43.57040806887107,0.05413001,302.9037,278.46940568310737,-119.18652109895271,2.2394505,7.3799114,7.794708,6.791135,5111.457,5108.0854,5139.6064,4.4809,4.4775,4.5141,-0.2815,-0.2964,-0.146,22.8463,22.2315,22.9344,5.575869537207921,0.002697745761973458,4.987093137207922,0.002697745761973458,1.003573,7.56,42.03737461,27.06894254,2,27,44.71,1.15,22.3664,264.17,-127.75,8.613,7.652,5.81202334934016,0.055865448275456586,5.904023349340159,0.055865448275456586,0.82,0.961
