HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
17157,\N,\N,9.59,55.12209173,-47.92538868,3,-47,39.84,1.11,25.1004,97.86,98.88,11.251,9.758,7.591596648758306,0.0605160227758863,7.759596648758305,0.0605160227758863,1.267,1.493
65327,"238224",\N,9.69,200.84648954,57.9061585,13,57,39.84,1.44,25.1004,127.49,-4.82,11.245,9.851,7.691596648758305,0.07852116062906012,7.852596648758307,0.07852116062906012,1.262,1.394
83147,\N,\N,10.38,254.88826284,-26.26718398,16,-26,39.86,11.61,25.0878,120.12,-299.37,11.731,10.337,8.382686471822346,0.6513392902367805,8.339686471822343,0.6513392902367814,1.356,1.394
17207,\N,\N,9.61,55.29394467,3.61195407,3,3,39.87,2.01,25.0815,-41.66,-236.97,11.617,9.839,7.613231178311972,0.10956515844756742,7.842231178311973,0.10956515844756742,1.36,1.778
35872,"57901",\N,8.19,110.94589902,12.96575197,7,12,39.91,1.14,25.0564,84.59,-425.58,9.445,8.288,6.1954086389201155,0.0620434011206239,6.293408638920116,0.0620434011206239,0.959,1.157
106231,\N,\N,9.23,322.75678551,23.33573366,21,23,39.91,1.18,25.0564,134.06,-144.83,10.571,9.351,7.235408638920116,0.06422161068947085,7.356408638920117,0.06422161068947085,1.05,1.22
21223,"29086",\N,8.74,68.28897895,-36.94615167,4,-36,39.93,0.93,25.0438,-17.66,42.46,10.062,8.871,6.746496550971689,0.050584388174824024,6.877496550971689,0.050584388174824024,0.99,1.191
63121,"112412",\N,5.61,194.00251587,38.31469771,12,38,39.95,23.72,25.0313,-203.89,88.34,5.861,5.517,3.6175839182500518,1.4840408250940254,3.524583918250052,1.4840408250940254,0.337,0.344
73252,\N,\N,10.2,224.56583584,59.58329977,14,59,39.95,0.92,25.0313,-106.77,67.28,11.71,10.261,8.207583918250052,0.050015216075862234,8.268583918250052,0.050015216075862234,1.565,1.449
110774,\N,\N,9.52,336.6350724,63.87867078,22,63,39.97,1.28,25.0188,195.22,208.45,11.163,9.673,7.528670741300524,0.06956305791174744,7.6816707413005245,0.06956305791174744,1.102,1.49
23941,"33256",\N,5.11,77.18194475,-4.45624625,5,-4,39.99,0.7,25.0063,55.62,16.03,5.639,5.17,3.119757020667609,0.03801415260369767,3.1797570206676093,0.03801415260369767,0.455,0.469
32423,"263175",\N,8.8,101.52236005,32.55543654,6,32,40.02,1.22,24.9875,-454.45,98.94,10.063,8.899,6.811385421500964,0.06621732754317877,6.910385421500963,0.06621732754317877,0.964,1.164
67655,"120559",\N,7.97,207.91996891,-57.43465194,13,-57,40.02,1,24.9875,-360.1,-412.65,8.758,8.032,5.981385421500964,0.05427097743462017,6.043385421500964,0.05427097743462017,0.663,0.726
60994,"108799",\N,6.37,187.52054829,-13.39305238,12,-13,40.03,0.98,24.9813,-261.58,-54.16,7.09,6.459,4.381927950525525,0.0531718276854134,4.4709279505255255,0.0531718276854134,0.591,0.631
59774,"106591",\N,3.32,183.85603795,57.03259792,12,57,40.05,0.6,24.9688,103.56,7.81,3.421,3.314,1.3330126021012827,0.03253385596161973,1.3270126021012825,0.03253385596161973,0.077,0.107
63503,"113139",\N,4.93,195.18160731,56.36633134,13,56,40.06,0.6,24.9626,108.36,2.67,5.375,4.983,2.943554724787787,0.032525733464618956,2.9965547247877877,0.032525733464618956,0.368,0.392
60866,"108581",\N,9.24,187.13120324,-18.29685881,12,-18,40.09,1.23,24.9439,171.8,-176.56,10.773,9.386,7.25518028125261,0.06664379145954813,7.401180281252609,0.06664379145954813,1.218,1.387
24786,"34721",\N,5.96,79.7093162,-18.13019946,5,-18,40.11,0.76,24.9314,385,61.32,6.651,6.023,3.9762633099082354,0.0411497525412754,4.039263309908234,0.0411497525412754,0.572,0.628
29067,\N,\N,9.75,91.98052613,67.97709065,6,67,40.12,1.78,24.9252,-48.32,-112.31,11.391,9.89,7.766804621741903,0.09640478606062919,7.9068046217419035,0.09640478606062919,1.25,1.501
92756,\N,\N,10.43,283.52696106,-54.3530351,18,-54,40.13,10.43,24.919,193.16,-52.91,11.605,10.231,8.447345798669193,0.5776265398927904,8.248345798669195,0.5776265398927904,1.27,1.374
94336,"179957",\N,5.85,288.02173147,49.85423807,19,49,40.16,0.83,24.9004,-205.02,624.33,7.294,6.569,3.868968520684816,0.04488492976688763,4.587968520684817,0.04488492976688763,0.666,0.725
84487,\N,\N,10.47,259.08395542,-12.17809864,17,-12,40.17,1.85,24.8942,142.77,-22.04,12.163,10.484,8.489509158658358,0.10007636915856732,8.503509158658357,0.10007636915856732,1.429,1.679
83454,\N,\N,10.34,255.83413265,59.58718409,17,59,40.18,4.76,24.888,-365.3,253.01,12.038,10.193,8.36004966206115,0.25846127807263475,8.213049662061152,0.25846127807263564,1.369,1.845
65477,"116842",\N,3.99,201.30589832,54.98799884,13,54,40.19,0.57,24.8818,120.35,-16.94,4.225,4.023,2.0105900309601754,0.030799260329650746,2.043590030960175,0.030799260329650746,0.169,0.202
76603,"139461",\N,6.45,234.66696618,-8.79142377,15,-8,40.19,3.62,24.8818,16.72,-27.28,7.053,6.532,4.4705900309601745,0.196120732100328,4.552590030960175,0.196120732100328,0.505,0.521
73631,\N,\N,9.87,225.7659116,-46.29379766,15,-46,40.22,1.54,24.8633,-299.32,-9.08,11.578,9.927,7.892210331303616,0.08318506145810423,7.949210331303616,0.08318506145810423,1.188,1.651
87579,\N,\N,8.5,268.37492306,21.32515234,17,21,40.22,1.04,24.8633,-71.5,57.34,9.725,8.611,6.522210331303617,0.05616197994603844,6.6332103313036175,0.05616197994603844,0.94,1.114
117559,\N,\N,9.35,357.6153715,30.35323272,23,30,40.24,1.36,24.8509,253.66,9,10.999,9.518,7.373289860239355,0.07341768593126474,7.541289860239356,0.07341768593126474,1.226,1.481
1598,"1562",\N,6.97,5.00213822,38.22806865,0,38,40.25,0.81,24.8447,-140.89,-276.39,7.735,7.042,4.993829423519438,0.043705096913498664,5.065829423519437,0.043705096913498664,0.64,0.693
73100,"132254",\N,5.63,224.09558479,49.62899937,14,49,40.25,0.54,24.8447,110.79,-226.45,6.258,5.693,3.653829423519438,0.029134545633028974,3.716829423519437,0.029134545633028974,0.533,0.565
66587,\N,\N,10.73,204.74430485,-6.23635436,13,-6,40.27,2.1,24.8324,97.39,-183.67,12.629,11.065,8.75490814803716,0.11334076012972716,9.08990814803716,0.11334076012972716,1.419,1.564
62956,"112185",\N,1.76,193.5068041,55.95984301,12,55,40.3,0.62,24.8139,111.74,-8.99,1.813,1.764,-0.21347476929445186,0.033409903894953796,-0.2094747692944514,0.033409903894953796,-0.022,0.049
36827,"60491",\N,8.16,113.6092288,-6.89657277,7,-6,40.32,1.26,24.8016,-83.68,-43.15,9.263,8.252,6.187602617187347,0.0678806151090372,6.279602617187347,0.0678806151090372,0.9,1.011
55507,\N,\N,9.8,170.52466408,46.90871853,11,46,40.36,1.48,24.777,-197.52,-137.12,11.601,9.938,7.829755787824366,0.07966354901245198,7.967755787824366,0.07966354901245198,1.337,1.663
29548,\N,\N,9.67,93.39608065,63.39464091,6,63,40.38,1.41,24.7647,170.41,-204.43,11.168,9.779,7.700831573038103,0.07585491337733918,7.809831573038103,0.07585491337733918,1.21,1.389
74975,"136202",\N,5.04,229.82741626,1.76665611,15,1,40.46,0.81,24.7158,373.24,-513.64,5.695,5.112,3.07512939217393,0.04347819305948297,3.147129392173931,0.04347819305948297,0.54,0.583
36635,\N,\N,10.84,113.00956625,68.62127385,7,68,40.48,2.14,24.7036,-174.52,-117.3,12.283,10.935,8.876202519158715,0.11490334209034891,8.971202519158716,0.11490334209034803,1.494,1.348
12623,"16739",\N,4.91,40.5622035,40.19438688,2,40,40.52,1.25,24.6792,-16.84,-182.29,5.603,4.962,2.9483471834412143,0.06700893498675775,3.000347183441214,0.06700893498675775,0.582,0.641
15442,"20619",\N,7.05,49.75727628,-2.84294728,3,-2,40.52,0.98,24.6792,251.54,-101.82,7.842,7.121,5.088347183441215,0.05252857933609789,5.159347183441215,0.05252857933609789,0.655,0.721
30256,\N,\N,10.76,95.47586513,-22.72401646,6,-22,40.52,9.15,24.6792,-633.29,279.48,12.379,11.171,8.798347183441214,0.498949103243695,9.209347183441214,0.4989491032436959,1.44,1.208
64690,"113283",\N,7.11,198.8728529,-87.56030424,13,-87,40.52,0.56,24.6792,-221.35,-155.49,7.964,7.183,5.148347183441214,0.030012388428239056,5.221347183441214,0.030012388428239056,0.71,0.781
54155,"96064",\N,7.64,166.17323941,-4.220837,11,-4,40.57,1.4,24.6488,-177.98,-104.13,8.501,7.534,5.681025038521631,0.07496349415905978,5.575025038521631,0.07496349415905978,0.77,0.967
57494,"102392",\N,9.03,176.76648871,-11.82390048,11,-11,40.57,2.66,24.6488,-206.32,-60.74,10.605,9.18,7.07102503852163,0.1425786277680423,7.22102503852163,0.1425786277680423,1.126,1.425
37798,\N,\N,10.19,116.25476091,2.13787935,7,2,40.58,2.18,24.6427,63.62,-203.77,11.893,10.228,8.231560213486635,0.11676618042302422,8.269560213486635,0.11676618042302422,1.349,1.665
57493,\N,\N,9.51,176.76434019,50.97206679,11,50,40.61,1.52,24.6245,62.06,-108.62,11.189,9.682,7.553164947450185,0.08131447173650175,7.725164947450185,0.08131447173650175,1.252,1.507
51933,"91889",\N,5.71,159.13426115,-12.22848702,10,-12,40.67,0.68,24.5881,268.49,-672.31,6.335,5.773,3.756370862022939,0.036310274387609365,3.8193708620229376,0.036310274387609365,0.528,0.562
34567,"54371",\N,7.09,107.39779027,25.72907423,7,25,40.68,1.02,24.5821,-123.09,-175.05,7.952,7.159,5.136904721253536,0.0544583627611841,5.205904721253537,0.0544583627611841,0.7,0.793
9269,"12051",\N,7.14,29.77693064,33.21053783,1,33,40.74,0.9,24.5459,243.17,-352.76,8.122,7.221,5.190105123320727,0.047978477717093515,5.2711051233207264,0.047978477717093515,0.773,0.901
86346,"160934",\N,10.29,264.66526651,61.23766799,17,61,40.75,12.06,24.5399,-31.25,59.44,11.869,10.32,8.340638065379977,0.6624640481062412,8.370638065379978,0.6624640481062412,1.591,1.549
98416,"189340",\N,5.87,299.94787255,-9.95728408,19,-9,40.75,1.35,24.5399,-246.73,-392.36,6.582,5.928,3.9206380653799773,0.07196468502523512,3.978638065379979,0.07196468502523512,0.598,0.654
