HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
1499,"1461",\N,6.47,4.67342336,-8.05265094,0,-8,42.67,0.85,23.4357,417.66,-144.2,7.305,6.541,4.6206132142965615,0.043262145521176354,4.691613214296561,0.043262145521176354,0.674,0.764
1532,\N,"Gaia DR3 2428162410789155328",9.9,4.77326587,-9.96411989,0,-9,48.17,1.73,20.7598,-37.06,-301.98,11.599,10.041,8.31388323157217,0.07802083639213464,8.45488323157217,0.07802083639213464,1.318,1.558
1598,"1562",\N,6.97,5.00213822,38.22806865,0,38,40.25,0.81,24.8447,-140.89,-276.39,7.735,7.042,4.993829423519438,0.043705096913498664,5.065829423519437,0.043705096913498664,0.64,0.693
1599,"1581","Gaia DR3 4900108950849461248",4.23,5.00797581,-64.8776232,0,-64,116.38,0.64,8.5925,1707.56,1165.36,\N,\N,4.559391764286961,0.011941539367928744,\N,\N,0.576,\N
1608,\N,\N,11.67,5.03456191,-17.06135622,0,-17,39.31,3.03,25.4388,135.85,-9.45,\N,\N,9.64251521910045,0.16770893823833966,\N,\N,1.49,\N
1663,"1651",\N,9.3,5.20735342,-0.87108457,0,0,46.72,20.16,21.4041,39.12,-5.01,9.702,9.32,7.647514170521717,1.0026704843374503,7.6675141705217165,1.0026704843374503,0.362,0.382
1692,"1690",\N,9.19,5.3054923,-8.28117086,0,-8,43.42,33.05,23.0309,1.88,0.65,10.932,9.315,7.378449095592007,2.1692808344997223,7.503449095592007,2.1692808344997223,1.354,1.617
1696,\N,\N,10.41,5.33150549,-45.74443728,0,-45,55.68,2.02,17.9598,70.29,-815.44,\N,\N,9.138496133012529,0.07881286204952787,\N,\N,1.475,\N
1720,\N,\N,12.21,5.40633478,-46.09173618,0,-46,50.1,3.98,19.9601,-301.15,-359.54,\N,\N,10.709188629336229,0.17286846077729567,\N,\N,1.537,\N
1734,\N,\N,11.16,5.48333925,-31.40558641,0,-31,54.91,2.19,18.2116,61.82,-200.07,\N,\N,9.858257218546886,0.0866517666497364,\N,\N,1.485,\N
1768,"1815",\N,8.3,5.59779902,-27.03160232,0,-27,44.57,7.12,22.4366,212.89,-399.85,9.428,8.414,6.545213170430884,0.34988677533051415,6.659213170430883,0.34988677533051415,0.888,1.014
1803,"1835","Gaia DR3 2423493369021649920",6.39,5.71480399,-12.20958506,0,-12,49.05,0.91,20.3874,394.27,60.45,7.209,6.451,4.843195058579838,0.040290859407716706,4.9041950585798375,0.040290859407716706,0.659,0.758
1837,"1910","Gaia DR3 2315390347851431680",8.74,5.81659898,-33.1678323,0,-33,44.97,1.15,22.237,-34.61,126.26,10.138,8.859,7.00461443783971,0.055542313494937545,7.12361443783971,0.055542313494937545,1.075,1.279
1842,\N,"Gaia DR3 4972971284318252160",11.87,5.82507861,-50.89387237,0,-50,47.4,2.63,21.097,548.11,-0.91,\N,\N,10.248891708370428,0.12060852124991062,\N,\N,1.516,\N
1860,\N,"Gaia DR3 540136568911394944",11.31,5.87929684,77.18918134,0,77,50.71,2.72,19.72,-840.75,45.38,\N,\N,9.835468052739365,0.11658606062621146,\N,\N,1.462,\N
1936,"2025","Gaia DR3 2322574488107786624",7.92,6.10623866,-27.02697608,0,-27,55.53,1.08,18.0083,667.39,83.92,9.11,8.028,6.642638367362833,0.042238176982000386,6.750638367362834,0.042238176982000386,0.94,1.082
2021,"2151",\N,2.82,6.41334183,-77.25503511,0,-77,133.78,0.51,7.475,2220.12,324.37,\N,\N,3.451955958083073,0.008278190266069352,\N,\N,0.618,\N
2072,"2262",\N,3.93,6.55048418,-43.67990933,0,-43,42.51,0.69,23.5239,106.14,32.83,4.164,3.965,2.0724555248356147,0.035249295833147176,2.107455524835615,0.035249295833147176,0.175,0.199
2081,"2261",\N,2.4,6.57028075,-42.30512197,0,-42,42.14,0.78,23.7304,232.76,-353.64,3.802,2.519,0.5234726563604069,0.0401979580200682,0.6424726563604066,0.0401979580200682,1.083,1.283
2120,\N,"Gaia DR3 530158019855216896",10.52,6.72057388,70.14277688,0,70,61.39,1.51,16.2893,-135.47,-148.03,12.129,10.734,9.460488166901486,0.05342213443563537,9.674488166901487,0.05342213443563537,1.459,1.395
2552,\N,\N,10.27,8.11171615,67.23621544,0,67,98.74,3.37,10.1276,1739.07,-224.63,\N,\N,10.242465614417561,0.07414123389445848,\N,\N,1.52,\N
2711,"3158",\N,5.57,8.61506261,-52.37318294,0,-52,39.03,0.62,25.6213,227.8,38.21,6.128,5.625,3.526992756406245,0.03449721122111615,3.581992756406245,0.03449721122111615,0.472,0.503
2762,"3196",\N,5.2,8.8110039,-3.59275785,0,-3,47.51,1.15,21.0482,407.68,-36.47,\N,\N,3.583925152096027,0.05257169325810329,\N,\N,0.567,\N
2941,"3443",\N,5.57,9.33244613,-24.76722545,0,-24,64.38,1.4,15.5328,1422.09,-17.15,6.489,5.677,4.6137548617479744,0.04722803211527671,4.720754861747974,0.04722803211527671,0.715,0.812
3008,\N,\N,10.48,9.56400804,52.33242473,0,52,43.4,1.94,23.0415,-73.96,-136.51,12.018,10.681,8.667448647562555,0.09713054508164198,8.868448647562554,0.09713054508164021,1.424,1.337
3093,"3651","Gaia DR3 2802397960855105920",5.88,9.84206107,21.2513739,0,21,90.03,0.72,11.1074,-461.07,-370.88,\N,\N,5.651936250722577,0.017366360854408125,\N,\N,0.85,\N
3143,\N,\N,11.41,9.99346024,-44.25267874,0,-44,43.64,2.59,22.9148,482.8,-222.01,\N,\N,9.609423709581522,0.12902682995655557,\N,\N,1.476,\N
3170,"3823",\N,5.89,10.10273354,-59.45568115,0,-59,39.26,0.56,25.4712,883.26,443.01,6.571,5.96,3.859751476319939,0.030975726681198523,3.9297514763199395,0.030975726681198523,0.564,0.611
3206,"3765","Gaia DR3 369092520004831232",7.36,10.20415817,40.18879925,0,40,57.9,0.98,17.2712,355.69,-668.91,8.578,7.457,6.173392818637181,0.03675727479298985,6.270392818637182,0.03675727479298985,0.937,1.121
3261,\N,\N,10.58,10.37798776,-33.62495401,0,-33,50.29,1.93,19.8847,-348.13,-249.4,13,10.646,9.087408178104637,0.08337643824547847,9.153408178104637,0.08337643824547936,1.432,2.354
3362,\N,\N,10.37,10.70025783,35.54860264,0,35,42.03,1.98,23.7925,264.99,74.49,12.4,10.551,8.487796950027185,0.10237212035672183,8.668796950027186,0.10237212035672183,1.46,1.849
3418,\N,"Gaia DR3 362082308742525824",8.73,10.88750898,33.8454328,0,33,48.16,1.04,20.7641,-203,-356.22,10.111,8.859,7.143432391248841,0.04689955247078803,7.272432391248841,0.04689955247078803,1.13,1.252
3497,"4308","Gaia DR3 4708607629114652032",6.55,11.16268466,-65.64771794,0,-65,45.76,0.56,21.8531,157.92,-742.38,7.347,6.624,4.85243007892484,0.02657528976999357,4.92643007892484,0.02657528976999357,0.655,0.723
3535,"4256","Gaia DR3 2549518150551364864",8.03,11.2705124,1.78691411,0,1,45.43,0.95,22.0119,-49.04,-573.07,9.312,8.128,6.31671368407313,0.04541491431991895,6.4147136840731305,0.04541491431991895,0.983,1.184
3583,"4391","Gaia DR3 4975284381908412672",5.8,11.43930832,-47.55217573,0,-47,66.92,0.73,14.9432,183.96,78.36,6.572,5.867,4.927779661451785,0.023688549613595455,4.994779661451785,0.023688549613595455,0.635,0.705
3588,"4378",\N,7.89,11.45019784,-41.90900883,0,-41,62.41,1.6,16.0231,301.59,-80.66,9.41,7.971,6.866270912904415,0.05568205945779825,6.947270912904415,0.05568205945779825,1.251,1.439
3765,"4628","Gaia DR3 2552925644460225152",5.74,12.09388786,5.28338873,0,5,134.04,0.86,7.4605,758.04,-1141.22,6.875,5.845,6.37617209581617,0.013932347788445654,6.48117209581617,0.013932347788445654,0.89,1.03
3810,"4676",\N,5.07,12.2446238,16.9411337,0,16,41.8,0.75,23.9234,-2.33,-201.57,5.684,5.124,3.175881408875177,0.03896600741286793,3.229881408875177,0.03896600741286793,0.502,0.56
3813,\N,\N,10.76,12.25615885,-50.14439383,0,-50,46.32,2.06,21.5889,258.66,-213.98,12.276,11.046,9.088842753596898,0.09663613608655464,9.374842753596898,0.09663613608655464,1.426,1.23
3821,"4614","Gaia DR3 425040000962559616",3.46,12.27125262,57.8165477,0,57,167.99,0.62,5.9527,1087.11,-559.65,4.158,3.52,4.586417150472218,0.008014280652213657,4.6464171504722165,0.008014280652213657,0.587,0.638
3829,\N,\N,12.37,12.28823784,5.39519773,0,5,226.95,5.35,4.4063,1233.05,-2710.56,\N,\N,14.149650935394341,0.0511986343596087,\N,\N,0.554,\N
3850,"4747","Gaia DR3 2348830516542653824",7.15,12.36015525,-23.21277388,0,-23,53.09,1.02,18.8359,516.74,119.52,8.109,7.247,5.775063626705786,0.0417248906422234,5.872063626705786,0.0417248906422234,0.769,0.862
3876,"4635","Gaia DR3 536088338900732544",7.75,12.44099553,70.44899713,0,70,46.47,0.7,21.5193,370.41,201.47,8.921,7.843,6.085863362394344,0.03271240954600518,6.178863362394344,0.03271240954600518,0.9,1.078
3909,"4813","Gaia DR3 2473608009504466688",5.17,12.53218487,-10.64377045,0,-10,64.69,1.03,15.4583,-224.67,-228.44,5.78,5.228,4.224185755702441,0.03457730119509961,4.282185755702441,0.03457730119509961,0.514,0.552
3979,"4915","Gaia DR3 2525514785221197696",6.98,12.79456039,-5.03898875,0,-5,45.27,0.97,22.0897,262.27,-119.18,7.805,7.056,5.259052472476262,0.04653524797350794,5.335052472476261,0.04653524797350794,0.663,0.749
3998,"4913","Gaia DR3 2788907296779604864",9.22,12.84050486,18.7399011,0,18,45.71,1.66,21.8771,54.14,-267.14,10.831,9.355,7.5200561064466545,0.07889367994972485,7.655056106446654,0.07889367994972485,1.194,1.476
4012,\N,\N,10.66,12.86707054,58.3010422,0,58,54.23,2.12,18.44,1566.84,405.19,12.223,10.809,9.331198022177276,0.08493211803841128,9.480198022177277,0.08493211803841039,1.363,1.414
4022,"4967",\N,8.95,12.89013153,-22.90939545,0,-22,65.81,1.44,15.1953,612.07,-275.45,10.652,9.149,8.041459453999979,0.04752194886369088,8.240459453999978,0.04752194886369043,1.29,1.503
4148,"5133","Gaia DR3 5031808453624044800",7.15,13.25298157,-30.35699137,0,-30,71.01,0.78,14.0825,620.5,31.31,8.343,7.28,6.406597563243727,0.023853212292032744,6.536597563243726,0.023853212292032744,0.936,1.063
4151,"5015","Gaia DR3 427322415301550208",4.8,13.26783051,61.12355735,0,61,53.85,0.6,18.5701,-68.45,169.72,5.466,4.856,3.455928538170003,0.024195679952546012,3.511928538170002,0.024195679952546012,0.54,0.61
4189,\N,\N,11.92,13.34933515,-41.23799485,0,-41,42.61,15.51,23.4687,14.99,-198.96,\N,\N,10.06755767100227,0.8283907868789449,\N,\N,1.49,\N
4328,\N,\N,12.38,13.85453209,-51.83348668,0,-51,39.56,3.38,25.2781,336.08,348.96,\N,\N,10.366281414625709,0.18598369394108705,\N,\N,1.47,\N
4443,\N,\N,11.13,14.21060461,-11.58825278,0,-11,41.73,2.29,23.9636,-201.75,-239.76,\N,\N,9.232241923558544,0.11928282987038852,\N,\N,1.43,\N
4454,"5351",\N,9.12,14.26352093,69.04402238,0,69,41.45,1.01,24.1255,715.26,-234.39,10.517,9.25,7.207622674431462,0.052922107277540764,7.337622674431463,0.052922107277540764,1.025,1.267
4473,"5633","Gaia DR3 4710180171260274816",9.5,14.32691388,-62.24590709,0,-62,51.66,1.07,19.3573,1028.33,127.79,11.161,9.645,8.065772009186492,0.044982729807241384,8.210772009186492,0.044982729807241384,1.299,1.516
4569,\N,\N,11.77,14.61282693,-27.85630511,0,-27,76.32,2.88,13.1027,1293.37,-298.93,\N,\N,11.183191808480192,0.0819812834907685,\N,\N,1.558,\N
4845,\N,\N,10.06,15.58799588,-10.42342915,1,-10,46.22,4.48,21.6357,21.32,-178.72,11.623,10.222,8.384149705715455,0.2111387865097516,8.546149705715454,0.2111387865097516,1.365,1.401
4849,"6101",\N,8.16,15.60155392,5.0609096,1,5,46.61,1.61,21.4546,340.03,221.12,9.517,8.297,6.502395514662929,0.07503673066522776,6.6393955146629295,0.07503673066522776,1.008,1.22
4856,\N,"Gaia DR3 533621859441169920",9.98,15.62080367,71.68074123,1,71,122.77,1.23,8.1453,1745.69,-380.43,11.736,10.133,10.425461279213598,0.02175613287734457,10.578461279213597,0.02175613287734457,1.501,1.603
4872,\N,"Gaia DR3 522863309964987520",9.56,15.65812055,62.34482783,1,62,99.44,1.39,10.0563,730.1,89.27,11.439,9.765,9.547805578167942,0.030355422963341816,9.752805578167942,0.030355422963342704,1.463,1.674
4927,\N,\N,11.36,15.80724267,20.09773584,1,20,61.23,5.26,16.3319,671.78,44.46,\N,\N,10.294821297178665,0.18700256511165136,\N,\N,1.59,\N
5215,\N,\N,11.45,16.67323507,15.27341418,1,15,45.24,2.56,22.1043,-112.05,-253.67,\N,\N,9.727612981267088,0.1230087146492167,\N,\N,1.473,\N
5247,\N,\N,9,16.77560068,63.94055066,1,63,66.46,1.27,15.0466,1548.21,319.28,10.768,9.195,8.112801684713462,0.04150023641543488,8.307801684713462,0.04150023641543488,1.289,1.573
5286,"6660","Gaia DR3 2791782794564103808",8.41,16.90753784,22.95617138,1,22,48.2,1.06,20.7469,99.08,-491.71,9.86,8.537,6.825235191194248,0.047762073286947704,6.952235191194249,0.047762073286947704,1.122,1.323
5336,"6582",\N,5.17,17.05383776,54.92422766,1,54,132.4,0.6,7.5529,3421.44,-1599.27,\N,\N,5.779439925518405,0.009840576772737197,\N,\N,0.704,\N
5410,\N,"Gaia DR3 5041018993810217984",12.38,17.30128688,-24.68920246,1,-24,46.11,3.65,21.6873,298.66,22.9,\N,\N,10.698975611097037,0.17225095463195572,\N,\N,1.53,\N
5496,\N,\N,9.8,17.59293817,-67.44634604,1,-67,122.86,7.53,8.1393,389.2,571.98,11.841,9.987,10.247052554917722,0.1332549832479204,10.434052554917724,0.1332549832479213,1.568,1.854
5643,\N,\N,12.1,18.12459256,-17.00053959,1,-17,269.05,7.57,3.7168,1210.09,646.95,\N,\N,14.249164981912566,0.061112751732058435,\N,\N,1.85,\N
5663,"7279",\N,9.55,18.19186846,-25.23562704,1,-25,45.4,1.55,22.0264,128.4,20.31,11.164,9.693,7.8352792642855205,0.07416499725017589,7.978279264285519,0.07416499725017633,1.267,1.471
5799,"7439",\N,5.14,18.59986241,-7.9235004,1,-7,41.01,0.89,24.3843,123.67,277.58,5.668,5.196,3.2044488464374243,0.047132746544787274,3.2604488464374235,0.047132746544787274,0.448,0.472
5812,\N,"Gaia DR3 4915139584039259392",11.16,18.64205953,-53.94286996,1,-53,60.76,1.94,16.4582,104.27,310.9,\N,\N,10.078088825953744,0.06935630164916518,\N,\N,1.637,\N
5842,"7693",\N,7.22,18.7513343,-68.8190944,1,-68,47.36,1.25,21.1149,416.56,75.95,8.696,7.436,5.5970584685743185,0.05732624713783663,5.813058468574318,0.05732624713783663,1,1.26
5862,"7570","Gaia DR3 4934923028038871296",4.97,18.79403213,-45.53209717,1,-45,66.43,0.64,15.0534,664.47,178.12,5.656,5.03,4.081821262207749,0.020921049858665608,4.141821262207748,0.020921049858665608,0.571,0.626
5896,"7788",\N,4.25,18.93956391,-68.87623708,1,-68,48.94,0.53,20.4332,411.11,127.43,\N,8.439,2.698319825078853,0.023517069308228944,6.887319825078853,0.023517069308228944,0.48,\N
5944,"7590",\N,6.59,19.12226076,42.93949385,1,42,42.3,0.75,23.6407,-112.45,-30.49,7.303,6.664,4.721701836875212,0.03850531917386002,4.795701836875212,0.03850531917386002,0.594,0.639
5957,\N,\N,10.1,19.16283929,25.33172767,1,25,44.03,1.59,22.7118,428.29,-104.09,11.838,10.199,8.31874342729763,0.07844976427831618,8.41774342729763,0.07844976427831618,1.353,1.639
6005,\N,"Gaia DR3 5013816835621197440",11.31,19.31392861,-35.71547383,1,-35,60.61,2.38,16.4989,90.94,-175.85,\N,\N,10.22272142005005,0.0853120456046188,\N,\N,1.51,\N
6008,\N,\N,10.8,19.31461024,-13.26331464,1,-13,41.14,2.69,24.3072,366.31,21.12,\N,\N,8.871321436793528,0.14218781629127264,\N,\N,1.447,\N
6069,\N,"Gaia DR3 2564324345929277184",11.02,19.4716633,5.4754696,1,5,65.3,14.87,15.3139,88.17,-629.73,\N,\N,10.094565906375369,0.5033072885956367,\N,\N,1.478,\N
6097,\N,\N,11.78,19.56627324,-12.89818577,1,-12,45.22,3.65,22.1141,174.4,-679.14,\N,\N,10.056652790046705,0.1756557863048922,\N,\N,1.44,\N
6290,\N,\N,10.36,20.1710989,57.32685005,1,57,52.71,5.18,18.9717,-294.33,436.43,12.211,10.496,8.969465081074787,0.2140893381801119,9.105465081074788,0.2140893381801119,1.34,1.715
6344,\N,\N,9.67,20.37480789,80.15199391,1,80,41.44,1.05,24.1313,282.73,-80.85,11.307,9.789,7.757098733685884,0.05503219479881505,7.876098733685883,0.05503219479881505,1.292,1.518
6351,\N,"Gaia DR3 4984184825454337408",10.15,20.39010873,-41.65529478,1,-41,59.29,1.59,16.8663,1238.97,-455.84,11.963,10.305,9.01490725172482,0.05824707651696226,9.169907251724819,0.05824707651696226,1.383,1.658
6365,\N,\N,11.48,20.43952009,-46.71418505,1,-46,42.73,3.53,23.4028,-115.92,-79.79,\N,\N,9.633664464085982,0.17979890353535755,\N,\N,1.627,\N
6379,"7924","Gaia DR3 560130775546153344",7.17,20.49667464,76.7103681,1,76,59.46,0.59,16.818,-34.12,-34.45,8.237,7.272,6.041124524344596,0.021547439816889113,6.143124524344596,0.021547439816889113,0.826,0.965
6405,"8262",\N,6.96,20.57305873,18.68271329,1,18,39.07,0.8,25.5951,555.56,-3.76,7.725,7.032,4.919217056123924,0.04446943359473776,4.991217056123923,0.04446943359473776,0.627,0.693
6917,"8997",\N,7.74,22.26920867,21.72361547,1,21,43.16,0.93,23.1696,455.58,-185,8.943,7.828,5.915407180054366,0.04679754350353704,6.003407180054365,0.04679754350353704,0.966,1.115
7170,\N,\N,11.16,23.11071865,-21.90296705,1,-21,56.42,2.12,17.7242,-588.41,-888.25,\N,\N,9.917165409096738,0.08163222127231506,\N,\N,1.492,\N
7235,"9540","Gaia DR3 5038817840251308288",6.97,23.31514505,-24.17757411,1,-24,51.27,0.88,19.5046,271.86,-159.5,7.921,7.046,5.519316587201998,0.03727488601695317,5.595316587201997,0.03727488601695317,0.766,0.875
7339,"9407","Gaia DR3 532057254394731776",6.52,23.64116285,68.94785738,1,68,47.65,0.6,20.9864,-379.06,115.05,7.366,6.599,4.910314524871726,0.027344224791339133,4.989314524871727,0.027344224791339133,0.686,0.767
