HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
111170,"213429",\N,6.15,337.82590786,-6.55488734,"22 31 18.22","-06 33 17.6",39.18,1.83,25.5232,160.65,-108.63,6.834,6.22,4.115322158293589,0.10149790784016766,4.185322158293589,0.10149790784016766,0.565,0.614
897,\N,\N,10.86,2.76858844,-5.78399441,"00 11 04.46","-05 47 02.4",39.19,2.29,25.5167,255.86,10.17,\N,\N,8.825876317390513,0.12703095389485775,\N,\N,1.418,\N
16209,\N,\N,11.1,52.21798939,37.38503584,"03 28 52.32","+37 23 06.1",39.19,2.52,25.5167,1120.24,-1065.81,\N,\N,9.065876317390515,0.13982319971307078,\N,\N,1.314,\N
32939,\N,\N,10.06,102.92760534,-43.88722884,"06 51 42.63","-43 53 14.0",39.19,1.01,25.5167,55.68,-27.1,11.783,10.288,8.025876317390516,0.05597532256705584,8.253876317390514,0.05597532256705584,1.086,1.495
47645,\N,\N,10.92,145.70723284,-22.96429831,"09 42 49.74","-22 57 51.5",39.19,53.37,25.5167,-64.06,35.9,11.56,10.732,8.885876317390515,\N,8.697876317390513,\N,0.746,0.828
98192,"189087",\N,7.91,299.30561123,29.82344076,"19 57 13.35","+29 49 24.4",39.24,0.97,25.4842,107.66,236.18,8.904,7.989,5.878644993539556,0.05368902719603019,5.957644993539557,0.05368902719603019,0.797,0.915
3170,"3823",\N,5.89,10.10273354,-59.45568115,"00 40 24.66","-59 27 20.5",39.26,0.56,25.4712,883.26,443.01,6.571,5.96,3.859751476319939,0.030975726681198523,3.9297514763199395,0.030975726681198523,0.564,0.611
10312,\N,\N,11.1,33.2112883,-17.68721593,"02 12 50.71","-17 41 14.0",39.26,2.63,25.4712,494.4,202.92,\N,\N,9.06975147631994,0.14568360424168603,\N,\N,1.455,\N
73362,\N,\N,10.17,224.88316855,-44.09407201,"14 59 31.96","-44 05 38.7",39.27,1.5,25.4647,-266.42,-280.59,11.714,10.267,8.140304506352091,0.08298431656158023,8.23730450635209,0.08298431656157845,1.318,1.447
42418,"73512",\N,7.9,129.75127025,6.95617207,"08 39 00.30","+06 57 22.2",39.28,1.21,25.4582,-91.96,-293.89,9.068,8.024,5.8708573955745615,0.06691224988511602,5.99485739557456,0.06691224988511602,0.897,1.044
10925,"14629",\N,8.67,35.17819775,-39.03366485,"02 20 42.77","-39 02 01.2",39.3,1.07,25.4453,213.13,-26.87,10.003,8.79,6.641962751877134,0.059136128478215255,6.7619627518771335,0.059136128478215255,1.031,1.213
1608,\N,\N,11.67,5.03456191,-17.06135622,"00 20 08.29","-17 03 40.9",39.31,3.03,25.4388,135.85,-9.45,\N,\N,9.64251521910045,0.16770893823833966,\N,\N,1.49,\N
36853,\N,\N,11.53,113.6625046,22.33786439,"07 34 39.00","+22 20 16.3",39.31,3.31,25.4388,169.85,-95.24,\N,\N,9.502515219100449,0.1832773615272396,\N,\N,1.498,\N
83363,"153284",\N,8.74,255.56822858,-61.56811462,"17 02 16.37","-61 34 05.2",39.32,1.33,25.4323,-46.08,-188.2,10.094,8.849,6.713067545800491,0.0734781409384162,6.822067545800491,0.0734781409384162,1.035,1.245
90979,\N,\N,10.03,278.37084801,-11.6354613,"18 33 29.00","-11 38 07.7",39.34,1.76,25.4194,-285.75,-237.72,11.39,10.056,8.00417177791659,0.09721261527890634,8.030171777916589,0.09721261527890634,1.263,1.334
75266,"136834",\N,8.28,230.67816257,1.41951111,"15 22 42.76","+01 25 10.2",39.35,1.37,25.413,-363.59,-363.87,9.572,8.372,6.254723683475417,0.07563202231925858,6.3467236834754175,0.07563202231925858,0.992,1.2
117946,"224129",\N,8.77,358.8602775,22.19364366,"23 55 26.47","+22 11 37.1",39.35,1.16,25.413,204.81,-148.28,10.149,8.903,6.744723683475417,0.06403146202567589,6.877723683475418,0.06403146202567589,1.02,1.246
102226,"197396",\N,8.26,310.70587871,20.84547031,"20 42 49.41","+20 50 43.7",39.38,1.03,25.3936,-81.38,-352.2,9.404,8.37,6.236378559010497,0.05680870539412064,6.346378559010496,0.05680870539412064,0.889,1.034
110066,"211369",\N,8.4,334.41352404,-48.65023722,"22 17 39.25","-48 39 00.9",39.38,1.13,25.3936,204.23,-105.11,9.649,8.52,6.376378559010497,0.06232700923487933,6.4963785590104965,0.06232700923487933,0.961,1.129
105675,"203413",\N,8.68,321.0635194,-58.69225955,"21 24 15.24","-58 41 32.1",39.39,1.26,25.3872,-102.08,-19.58,10.044,8.791,6.656929904045709,0.06948436164104077,6.76792990404571,0.06948436164104077,1.063,1.253
34673,\N,\N,9.96,107.70776512,-14.43377333,"07 10 49.86","-14 26 01.6",39.4,1.44,25.3807,-471.47,303.27,11.441,10.116,7.937481109127873,0.07939882414904442,8.093481109127872,0.07939882414904442,1.311,1.325
88771,"165777",\N,3.71,271.8375861,9.56365345,"18 07 21.02","+09 33 49.2",39.4,0.83,25.3807,-61.6,79.71,3.903,3.737,1.687481109127873,0.0457509842630488,1.7144811091278722,0.0457509842630488,0.159,0.166
90306,\N,\N,11.28,276.38327301,38.35532929,"18 25 31.99","+38 21 19.2",39.4,1.79,25.3807,-76.81,-743.33,\N,\N,9.257481109127873,0.0987211463350457,\N,\N,1.442,\N
117697,\N,\N,11.69,358.04445748,-19.65459561,"23 52 10.67","-19 39 16.5",39.4,3.4,25.3807,-202.14,56.65,\N,\N,9.667481109127873,0.1878531706147113,\N,\N,1.474,\N
94650,"180263",\N,8.06,288.89560006,11.55513788,"19 15 34.94","+11 33 18.5",39.43,1.01,25.3614,183.98,-173.11,9.223,8.165,6.039133885366117,0.055634465983221304,6.144133885366116,0.055634465983221304,0.908,1.058
118310,"224660",\N,8.85,359.94925671,6.66456539,"23 59 47.82","+06 39 52.4",39.43,1.36,25.3614,-60.87,-169.17,10.502,9.097,6.829133885366116,0.07492707125681841,7.076133885366116,0.07492707125681841,1.187,1.405
