HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
84099,\N,"Gaia DR3 1341113541156480768",11.54,257.89412267,38.44286912,17,38,83.13,2.13,12.0294,211.77,-44.85,\N,\N,11.13878890250947,0.05565077358115911,\N,\N,\N,\N
84581,\N,\N,11.09,259.34773232,-7.87683635,17,-7,100.89,43.18,9.9118,104.16,168.46,\N,\N,11.10924061017149,0.9933062046589827,\N,\N,\N,\N
88118,\N,\N,12.05,269.95662066,-57.76889782,17,-57,45.99,18.45,21.7439,-33.99,-24.11,\N,\N,10.36331704787019,0.9229789895656895,\N,\N,\N,\N
88976,\N,\N,11.38,272.41951352,31.86975819,18,31,43.68,7.73,22.8938,54.4,190.54,\N,\N,9.581413148483403,0.38837177287033064,\N,\N,\N,\N
93449,\N,\N,11.57,285.47364755,-36.95224,19,-36,121.75,68.24,8.2136,-34.36,50.57,\N,\N,11.997344849433361,1.3757394794318163,\N,\N,\N,\N
95326,\N,\N,12.39,290.91222473,-39.18916047,19,-39,77.71,57.93,12.8684,101.74,-21.62,\N,\N,11.842384544800854,2.09040373461222,\N,\N,\N,\N
97241,\N,\N,10.61,296.45614527,32.38665088,19,32,87.57,4.8,11.4194,387.66,193.87,\N,\N,10.321776748538383,0.11914497106003097,\N,\N,\N,\N
98681,\N,\N,9.92,300.64939243,-50.04937722,20,-50,84.75,11.17,11.7994,334.48,-311.41,\N,\N,9.5606985343756,0.2878734664892093,\N,\N,\N,\N
110922,\N,\N,11.97,337.09753455,-25.90131026,22,-25,40.81,7.66,24.5038,16.67,-340.28,\N,\N,10.023832973866353,0.412473717454918,\N,\N,\N,\N
114110,\N,\N,12.24,346.66203219,-14.87239655,23,-14,216.52,18.28,4.6185,112.27,83.24,\N,\N,13.917490092095118,0.1837670088589709,\N,\N,\N,\N
114176,\N,\N,12.28,346.8313657,-32.26819891,23,-32,147.95,13.76,6.759,-223.58,-30.45,\N,\N,13.13057484748326,0.2025418105552168,\N,\N,\N,\N
