designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1341113541156480768",84099,\N,257.89598966788463,38.44254560681901,83.06866367689253,0.01781857,217.8079,212.68792342388429,-46.94817915362118,1.0543015,10.420489,11.85787,9.238903,3197.2703,3177.3823,3299.817,4.1525,4.0982,4.7521,-1.0463,-1.1091,-0.0903,12.0478,12.0147,12.1694,10.01767512019547,0.00046578976972533326,8.83608912019547,0.00046578976972533326,2.618967,11.54,257.89412267,38.44286912,"17 11 34.59","+38 26 34.3",83.13,2.13,12.0294,211.77,-44.85,\N,\N,11.13878890250947,0.05565077358115911,\N,\N,\N,\N
"Gaia DR3 3177407910705445888",21086,\N,67.78690866447533,-13.515564765720292,53.47853785030081,0.019237503,269.0745,-164.67186352876146,-212.8009849444797,1.2792518,10.52517,11.784351,9.4088125,3250.524,3221.8745,3410.328,4.1111,4.0214,4.5267,-0.7656,-0.8588,-0.327,18.7133,18.3889,18.9051,9.166067623818584,0.0007811303463700625,8.049710123818585,0.0007811303463700625,2.3755385,11.47,67.7880736,-13.5141006,"04 31 09.14","-13 30 50.8",49.73,3.24,20.1086,-161.78,-206.99,\N,\N,9.953092296161124,0.14167606688127599,\N,\N,\N,\N
"Gaia DR3 4726357491998516480",12261,\N,39.47063857709459,-58.75214686390397,71.70433964545545,0.019150116,223.32864,80.14904846450294,208.45098935214332,1.1383134,11.175619,12.662354,9.985541,3160.9446,3160.4658,3163.2708,4.2568,4.2541,4.2589,-1.0427,-1.0435,-1.0381,13.9553,13.9253,14.0199,10.4533462028189,0.0005799363013085923,9.263268202818898,0.0005799363013077041,2.676813,12.36,39.46958019,-58.75358168,"02 37 52.70","-58 45 12.9",67.2,3.03,14.881,78.97,206.57,\N,\N,11.496846365269127,0.09797657281274219,\N,\N,\N,\N
"Gaia DR3 5059643105878789632",14555,\N,46.98061747753933,-28.22022128578243,51.008606443442694,0.018694947,352.95636,-333.93252578346227,-114.31215052004899,1.3292198,9.426588,10.383174,8.45547,3599.7278,3581.9426,3651.8374,4.2869,4.2249,4.4218,-0.683,-0.7703,-0.4693,19.6166,19.5596,19.6716,7.964805293779225,0.0007958571358068767,6.9936872937792245,0.0007958571358068767,1.927704,10.21,46.98322257,-28.21943517,"03 07 55.97","-28 13 10.0",52.38,5.03,19.0913,-339.14,-119.54,11.971,10.372,8.805827470446069,0.20916890882081773,8.967827470446068,0.20916890882081773,\N,1.599
"Gaia DR3 5260759175761501696",31293,\N,98.42498690791187,-75.62874086458727,113.1304474816652,0.016938346,409.2753,-297.95472300752857,280.5873291812589,1.0885247,9.3847475,10.694307,8.24563,3244.3787,3190.7825,3310.0916,4.3838,4.195,4.54,-0.5281,-0.7394,-0.3326,8.8458,8.8087,8.873,9.652645024790807,0.00032512159277509056,8.51352752479081,0.0003251215927768669,2.448677,10.35,98.43325369,-75.63066752,"06 33 43.98","-75 37 50.4",114.18,3.18,8.7581,-290.42,278.52,12.29,10.556,10.637950193353321,0.060492805121422855,10.84395019335332,0.060492805121422855,\N,1.734
"Gaia DR3 6124711741640147712",69285,\N,212.73775281678047,-31.289761728650635,62.81418674511146,0.024177933,344.65985,-320.4518407288122,126.88980296776266,1.1426303,9.931263,11.040014,8.884949,3387.874,3361.264,3455.1235,4.2173,4.1442,4.4247,-0.8484,-0.9265,-0.6073,15.9359,15.8853,16.0614,8.921551706687689,0.0008358257862113305,7.87523770668769,0.0008358257862117746,2.155065,10.77,212.74033121,-31.29063408,"14 10 57.68","-31 17 26.3",58.18,2.14,17.188,-320.7,126.71,\N,\N,9.593868584555203,0.0799080156199512,\N,\N,\N,\N
"Gaia DR3 6155259541913716608",63480,\N,195.1071762372226,-34.60639149497172,47.5075193899691,0.018831776,98.72825,-59.09090787498475,79.09191664126787,1.1298051,9.851435,10.849304,8.8605585,3727.3867,3712.0713,3741.88,4.58,4.5609,4.5963,-0.3137,-0.4369,-0.1933,21.0615,20.9526,21.2427,8.235246771399991,0.0008607623524250485,7.2443702713999905,0.0008607623524254926,1.9887455,10.6,195.10766961,-34.60693447,"13 00 25.84","-34 36 25.0",49.95,1.78,20.02,-57.74,77.77,12.379,10.854,9.092677462810006,0.0774145802366224,9.346677462810005,0.07741458023662151,\N,1.525
"Gaia DR3 793785826901083520",47395,\N,144.85018393606413,31.753793316885254,46.96954978298262,0.04243176,284.64246,-194.38464918697383,-207.93251068808647,0.9900129,10.923082,12.066908,9.857973,3554.7136,3542.0342,3567.5305,4.7389,4.7182,4.7553,-0.3327,-0.4275,-0.2341,21.4501,20.8018,22.79,9.282163986811138,0.0019616841468206303,8.217054986811135,0.001961684146819742,2.208935,11.77,144.85175347,31.75522522,"09 39 24.42","+31 45 18.8",41.66,3.97,24.0038,-190.3,-207.7,\N,\N,9.868596328058636,0.20756082830763933,\N,\N,\N,\N
