designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
Gaia DR3 2761162254724651776,HIP 115680,\N,351.554,8.894783689773401,44.356514360159686,0.029906025,561.1487,518.9894359023966,213.39596665953545,1.0397055,9.8656845,10.782609,8.925722,3633.9927,3630.9097,3664.8396,4.2627,4.2547,4.3423,-0.9915,-0.9995,-0.8784,22.5005,22.4421,22.6856,8.100471554650518,0.0014640491693844,7.160509054650519,0.001464049169384,1.856887,10.56,351.55025,8.89331651,23 26 12.06,+08 53 35.9,42.25,2.13,23.6686,519.2,211.67,\N,\N,8.689133566428557,0.1095659338690229,\N,\N,1.461,\N
Gaia DR3 3686261307923490688,HIP 65083,\N,200.104,-1.658640842787398,44.3909202962868,0.024662437,284.52548,129.2667478426666,-253.46568628231705,1.4228985,10.741152,11.832629,9.701089,3399.9287,3356.8308,3487.9739,4.252,4.1209,4.4189,-0.8758,-1.0117,-0.5976,22.5348,22.3201,24.9416,8.977622743763467,0.0012064135334313,7.937559743763467,0.0012064135334317,2.13154,11.6,200.10360789,-1.65689717,13 20 24.87,-01 39 24.8,48.18,3.05,20.7555,128.79,-250.88,\N,\N,10.014333978311624,0.1376475558904877,\N,\N,1.51,\N
Gaia DR3 4933912198895807104,HIP 6365,\N,20.4384,-46.71473451693094,44.53483319805842,0.026703948,136.87027,-111.08929387948496,-79.95397168145395,1.1425465,10.556652,11.669821,9.505265,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.800151150183694,0.0013020570437287,7.748764150183693,0.0013020570437278,2.164556,11.48,20.43952009,-46.71418505,01 21 45.48,-46 42 51.1,42.73,3.53,23.4028,-115.92,-79.79,\N,\N,9.633664464085982,0.1797989035353575,\N,\N,1.627,\N
Gaia DR3 806893276814027008,HIP 49526,\N,151.681,41.71281049242423,44.87947202414937,0.04858201,479.34116,-250.5731912326848,-408.6331087945615,3.657061,10.522909,11.548466,9.516528,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.783147695524477,0.0023506189079816,7.776766695524475,0.002350618907982,2.031938,11.32,151.68346415,41.71563375,10 06 44.03,+41 42 56.3,45.04,2.56,22.2025,-272.32,-414.55,\N,\N,9.587991909216449,0.1235561116177006,\N,\N,1.492,\N
Gaia DR3 2738145555048846080,HIP 110951,\N,337.192,18.93112935160685,44.90888569031471,0.018845936,210.4688,167.19829020279946,-127.83521957238048,1.1376401,10.015258,10.980068,9.046482,3557.435,3550.4678,3581.5454,4.2263,4.2074,4.2907,-0.9513,-0.973,-0.8701,22.2563,22.2364,22.3817,8.27691939593801,0.0009112546844285,7.308143395938011,0.0009112546844285,1.933586,10.73,337.19097878,18.93200777,22 28 45.83,+18 55 55.2,44.34,1.81,22.553,166.13,-128.26,\N,\N,8.963978443892348,0.0886908066197689,\N,\N,1.359,\N
Gaia DR3 2783324526489670144,HIP 5215,\N,16.6725,15.27168597264042,44.98350642582905,0.041070614,273.60965,-107.9069356105362,-251.4325757228441,1.1327,10.513505,11.6791315,9.431864,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.778771526511395,0.0019825873305592,7.697130526511395,0.0019825873305587,2.2472675,11.45,16.67323507,15.27341418,01 06 41.58,+15 16 24.3,45.24,2.56,22.1043,-112.05,-253.67,\N,\N,9.727612981267088,0.1230087146492167,\N,\N,1.473,\N
Gaia DR3 2702655587447223168,HIP 110980,\N,337.275,1.6625104428856508,45.02538540756436,0.024429407,200.07236,40.86520170375011,-195.8544978267929,1.1918312,9.793903,10.7487135,8.829224,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.061190194871749,0.0011781751118089,7.0965111948717485,0.0011781751118085,1.9194895,10.51,337.27432832,1.66385679,22 29 05.84,+01 39 49.9,45.69,1.92,21.8866,44.84,-196.61,\N,\N,8.809105790278526,0.0913040871534907,\N,\N,1.431,\N
Gaia DR3 4847829165813317504,HIP 15973,\N,51.4173,-42.98726028654542,45.0928802700943,0.086161375,346.84753,321.0697792795241,-131.21510729226588,7.5816603,10.505086,11.490604,9.5197,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.77562588195067,0.0041491533730839,7.79023988195067,0.0041491533730844,1.970904,11.26,51.41432881,-42.98635674,03 25 39.44,-42 59 10.9,40.18,1.9,24.888,322.7,-131.59,\N,\N,9.280049662061153,0.1027595051021919,\N,\N,1.439,\N
Gaia DR3 4287473578816247936,HIP 96121,\N,293.159,0.5776278519994079,45.14242676560676,0.019313615,219.54874,218.1172530876534,25.0301497845389,1.0786829,9.743971,10.650439,8.806023,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.016895510813589,0.0009290369983254,7.078947510813588,0.000929036998325,1.844416,10.42,293.15745654,0.57745578,19 32 37.79,+00 34 38.8,43.86,1.92,22.7998,219.74,23.23,\N,\N,8.630343136707522,0.0951184055229985,\N,\N,1.406,\N
Gaia DR3 583257319006770176,HIP 44263,\N,135.209,5.240625316164929,45.14974547246181,0.037457038,328.91272,-255.4258905901996,-207.2225507033635,1.5623674,11.550773,12.919663,10.379693,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.824049531806104,0.0018014928405136,8.652969531806106,0.0018014928405136,2.53997,12.37,135.21031134,5.24204999,09 00 50.47,+05 14 31.4,40.77,6.57,24.5278,-247.74,-207.77,\N,\N,10.421703557260784,0.3530053688423216,\N,\N,1.455,\N
