designation,simbad_HD,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,MG,MG_error,MBp,MBp_error,MRp,MRp_error,Bp_Rp,G_Rp,Bp_G
Gaia DR3 1099288637370627072,\N,104.49025985938316,62.31958026409372,87.24166697188599,0.13359119,573.1035,320.6363487935513,-475.0157378975831,1.3396655,13.639243,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.342862776381951,0.0033251291503662017,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1310513342280949376,\N,255.9714298650329,32.19621894378188,54.569915293710295,0.074405394,185.91763,170.8955220505247,73.21259911050043,2.1010897,12.822794,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.50756039824478,0.00296077718730281,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 133359735268433024,\N,39.197658920120695,32.07221802870924,51.265098460703626,0.065807566,338.06256,-325.2703022428088,-92.1169019175888,1.1042223,12.650045,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.199153979124095,0.0027874596301913357,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1586968533013974528,\N,225.23315891676825,45.42719495066728,85.4272212919698,0.06552934,409.01892,258.2474485644709,317.1824752519801,1.7401166,11.717453,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.37543440105333,0.0016656889874333558,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1669449084967072000,\N,220.58818818669567,66.0555785489988,91.35668867831824,0.09077034,337.3069,-336.2959597766662,26.09528250714183,0.7411922,15.768858,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.572559748576488,0.002157536099711699,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1807953087254264064,HD 190067B,300.6424929932435,15.589658963597556,51.87437745213617,0.05598409,594.32715,-145.69761856978803,-576.1917690275088,3.481979,12.654424,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.229188488771895,0.0023435067556576428,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1821614828476009344,\N,298.52862832791914,18.818112679551167,54.73497642459929,3.2616632,11.715346,0.8793541592269085,-11.682297999953317,1.6256008,20.418549,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.10987367680717,0.12955176789641598,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1825712158557604352,\N,295.7648427250556,20.28011958895752,61.93897719476354,2.7870162,30.152554,1.945463626504475,-30.089726270893458,1.0758625,20.71029,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.670110147633885,0.0977739443121628,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1827996187813279360,\N,297.7898608941253,22.759921619451,58.82913504124001,1.9791915,17.777634,-16.609601586643517,6.337619049128803,1.3070513,20.568031,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.415993315235035,0.07308253494474393,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1892539307048909184,\N,333.63077733160594,27.8575453431816,50.774529767698425,0.10101901,580.6293,-205.3580195536977,543.1007840985111,0.87800914,15.510378,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.038607550070147,0.004320281910845658,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2021981409373336448,\N,295.17728787935164,26.114698280243225,76.22517661151069,2.7802272,104.3997,-21.53721004628196,102.15402972271367,1.2919466,20.698986,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20.10947819643115,0.07923715288320565,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2023983998015091584,\N,290.9002317412422,25.79043418028392,53.72872428002337,2.8399105,11.382916,-6.745352281757806,-9.169024207769665,1.8321393,20.831068,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.482100644614945,0.11488342522231676,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2024942153671161472,\N,294.1981093163538,26.239292051446625,42.27520155467817,2.8305585,74.91346,-16.204152538055638,73.13994709518383,2.1134052,20.793224,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.923652434261477,0.14560993733152294,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2034222547258288000,\N,298.9885803909415,32.25498380077847,55.06706897677228,0.96002907,673.51556,-383.25376493457696,-553.8409297804304,1.6634886,20.301674,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.006133805768478,0.037860883449516436,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 211810233512673920,\N,79.35014604066659,45.83684161390765,75.18378634422855,0.05344913,420.38098,53.96645153206382,-416.9026177100576,1.0318148,11.64075,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.021370967556546,0.00154372819332238,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2163558855915069824,HD 200560B,315.67347406448823,45.88543038097306,51.205410699887096,0.048008442,407.97733,378.8770691297277,151.319733881321,2.7696843,11.583294,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.129873269034448,0.002035898869825914,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2617043665033973376,\N,329.0812484185544,-10.339541784096689,50.39047904916445,0.102111205,384.30585,-283.93663395172666,-258.9806453853882,0.6552312,14.60586,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.117602435499796,0.004400275052807601,\N,\N,\N,\N,\N,\N,\N
