identifier                    ra           dec           G      Bp_Rp  MG     mag object       comment   
HD 131156A                    14:51:23.53  +19:06:00.97  04.48  00.93  05.33  G   nearby_star  star      
HD 136923                     15:22:46.57  +18:55:09.50  06.96  00.95  05.49  G   nearby_star  star      
Gaia DR3 5559265690666327168  07:03:58.77  -43:36:34.75  06.65  00.96  05.49  G   nearby_star  star      
HD 202940A                    21:19:44.93  -26:21:16.02  06.45  00.97  05.11  G   nearby_star  star      
HD 103095                     11:53:04.16  +37:41:34.18  06.20  01.00  06.39  G   nearby_star  star      
HD 165341A                    18:05:27.47  +02:29:42.81  03.99  01.00  05.44  G   nearby_star  star      
HD 112758                     12:59:00.67  -09:49:59.56  07.33  01.00  05.81  G   nearby_star  star      
HD 161797                     17:46:27.17  +27:43:02.19  03.24  01.02  03.63  G   nearby_star  star      
HD 81997B                     09:29:09.38  -02:45:03.13  06.95  01.04  05.66  G   nearby_star  star      
HD 155886                     17:15:20.19  -26:36:24.50  04.83  01.06  05.96  G   nearby_star  star      
HD 148653A                    16:28:52.27  +18:24:56.73  07.41  01.07  05.99  G   nearby_star  star      
HD 145417                     16:13:46.86  -57:34:36.43  07.27  01.07  06.60  G   nearby_star  star      
HD 13579                      02:15:44.01  +67:40:15.44  06.97  01.07  05.63  G   nearby_star  star      
HD 148653B                    16:28:52.42  +18:24:55.57  07.58  01.08  06.15  G   nearby_star  star      
HD 10361                      01:39:48.16  -56:11:47.04  05.63  01.09  06.06  G   nearby_star  star      
HD 189733A                    20:00:43.71  +22:42:35.07  07.43  01.10  05.95  G   nearby_star  star      
HD 115404A                    13:16:51.76  +17:00:57.61  06.30  01.10  06.09  G   nearby_star  star      
HD 25329                      04:03:17.26  +35:16:01.98  08.23  01.11  06.90  G   nearby_star  star      
HD 188512                     19:55:18.84  +06:24:16.66  03.48  01.11  02.81  G   nearby_star  star      
HD 154577                     17:10:10.51  -60:43:34.15  07.12  01.11  06.43  G   nearby_star  star      
HD 20010B                     03:12:04.62  -28:59:02.84  06.63  01.11  05.89  G   nearby_star  star      
HD 11937                      01:55:58.63  -51:36:27.25  03.47  01.11  02.25  G   nearby_star  star      
Gaia DR3 892215482207937152   07:29:01.97  +31:59:40.65  07.45  01.13  06.16  G   nearby_star  star      
HD 110810                     12:45:14.02  -57:21:30.91  07.54  01.13  06.06  G   nearby_star  star      
HD 82558                      09:32:25.30  -11:11:04.14  07.49  01.14  06.18  G   nearby_star  star      
Gaia DR3 866177431955017600   07:20:07.04  +21:58:52.40  07.97  01.15  06.63  G   nearby_star  star      
HD 38392                      05:44:26.18  -22:25:24.26  05.87  01.16  06.12  G   nearby_star  star      
HD 2025                       00:24:26.73  -27:01:35.04  07.63  01.16  06.36  G   nearby_star  star      
HD 23249                      03:43:14.80  -09:45:36.30  03.28  01.17  03.48  G   nearby_star  star      
HD 40307                      05:54:04.13  -60:01:25.45  06.86  01.17  06.30  G   nearby_star  star      
HD 198149                     20:45:17.57  +61:50:32.71  03.18  01.19  02.39  G   nearby_star  star      
HD 64379B                     07:52:15.09  -34:42:16.12  07.94  01.19  06.63  G   nearby_star  star      
HD 156985                     17:17:50.45  +52:26:46.48  07.65  01.19  06.31  G   nearby_star  star      
HD 16160                      02:36:06.81  +06:53:36.02  05.50  01.20  06.20  G   nearby_star  star      
HD 153525                     16:57:42.01  +47:21:47.91  07.62  01.20  06.35  G   nearby_star  star      
HD 82106                      09:29:54.29  +05:39:20.21  06.89  01.21  06.35  G   nearby_star  star      
HD 128165                     14:33:28.53  +52:54:35.61  06.92  01.21  06.31  G   nearby_star  star      
HD 130992                     14:51:39.36  -24:18:21.78  07.49  01.22  06.37  G   nearby_star  star      
HD 150689                     16:44:14.99  -38:56:38.05  07.19  01.23  06.43  G   nearby_star  star      
HD 27442A                     04:16:28.93  -59:18:10.44  04.13  01.23  02.81  G   nearby_star  star      
HD 82342                      09:30:28.00  -32:06:07.22  08.00  01.23  06.54  G   nearby_star  star      
HD 222237                     23:39:37.90  -72:43:31.55  06.75  01.23  06.46  G   nearby_star  star      
HD 117936                     13:33:31.85  +08:35:13.85  07.64  01.24  06.34  G   nearby_star  star      
HD 168723                     18:21:18.01  -02:54:06.99  02.99  01.24  01.59  G   nearby_star  star      
HD 202575                     21:16:32.62  +09:23:35.88  07.57  01.25  06.53  G   nearby_star  star      
HD 65277                      07:57:57.62  -00:48:51.76  07.74  01.25  06.50  G   nearby_star  star      
HD 222404                     23:39:20.59  +77:37:59.25  02.94  01.26  02.25  G   nearby_star  star      
HD 97584                      11:15:10.39  +73:28:32.54  07.31  01.26  06.51  G   nearby_star  star      
HD 47752                      06:41:15.95  +23:57:23.35  07.74  01.26  06.56  G   nearby_star  star      
HD 188474                     19:56:37.54  -31:20:06.64  08.07  01.26  06.62  G   nearby_star  star      
HD 50281A                     06:52:17.47  -05:10:25.42  06.23  01.28  06.52  G   nearby_star  star      
HD 34673                      05:19:13.41  -03:04:23.53  07.49  01.28  06.51  G   nearby_star  star      
HD 213042                     22:29:15.51  -30:01:19.26  07.30  01.28  06.32  G   nearby_star  star      
HD 65486                      07:58:04.80  -25:37:39.80  08.07  01.28  06.74  G   nearby_star  star      
HD 101206                     11:38:59.53  +42:19:50.66  07.88  01.28  06.46  G   nearby_star  star      
HD 170493                     18:29:52.59  -01:49:08.26  07.68  01.28  06.31  G   nearby_star  star      
HD 124642                     14:13:56.59  +30:13:04.67  07.68  01.29  06.50  G   nearby_star  star      
HD 31560                      04:55:42.14  -28:33:53.71  07.77  01.29  06.47  G   nearby_star  star      
HD 139477                     15:35:20.41  +60:05:10.57  08.03  01.29  06.58  G   nearby_star  star      
HD 174080                     18:48:29.36  +10:44:36.64  07.61  01.29  06.47  G   nearby_star  star      
Gaia DR3 2287506148856660992  23:40:57.64  +82:52:18.99  08.02  01.30  06.54  G   nearby_star  star      
HD 209100                     22:03:29.38  -56:47:50.12  04.32  01.30  06.52  G   nearby_star  star      
HD 79555                      09:14:53.57  +04:26:34.48  07.65  01.30  06.39  G   nearby_star  star      
HD 120476A                    13:49:03.50  +26:58:45.97  07.20  01.30  06.55  G   nearby_star  star      
HD 52919                      07:02:42.70  -06:48:02.23  07.99  01.31  06.59  G   nearby_star  star      
HD 101581                     11:41:01.48  -44:24:14.81  07.39  01.31  06.86  G   nearby_star  star      
HD 21209A                     03:23:17.58  -49:59:26.59  08.19  01.32  06.76  G   nearby_star  star      
HD 131977                     14:57:29.18  -21:25:23.31  05.36  01.32  06.51  G   nearby_star  star      
HD 160964                     17:36:13.67  +71:52:41.49  08.17  01.34  06.77  G   nearby_star  star      
HD 55                         00:05:17.36  -67:50:06.29  08.09  01.34  07.02  G   nearby_star  star      
HD 84035                      09:43:25.71  +42:41:16.40  07.74  01.34  06.47  G   nearby_star  star      
HD 216803                     22:56:24.47  -31:33:58.57  06.09  01.34  06.69  G   nearby_star  star      
HD 105671                     12:09:54.39  -46:12:31.56  08.07  01.34  06.59  G   nearby_star  star      
HD 190007                     20:02:46.95  +03:19:36.18  07.08  01.35  06.56  G   nearby_star  star      
HD 35171                      05:23:38.66  +17:19:26.73  07.54  01.35  06.73  G   nearby_star  star      
HD 103932                     11:57:54.90  -27:42:35.30  06.58  01.35  06.54  G   nearby_star  star      
HD 27274                      04:15:58.30  -53:18:28.96  07.24  01.35  06.67  G   nearby_star  star      
HD 170573                     18:33:04.86  -54:15:49.76  08.09  01.35  06.68  G   nearby_star  star      
HD 24916A                     03:57:28.50  -01:09:36.36  07.67  01.36  06.75  G   nearby_star  star      
HD 142709                     15:57:40.37  -42:37:30.30  07.66  01.37  06.82  G   nearby_star  star      
HD 21749                      03:27:00.07  -63:30:00.72  07.69  01.37  06.62  G   nearby_star  star      
HD 24451                      04:01:21.11  +76:09:25.01  07.81  01.37  06.76  G   nearby_star  star      
HD 153026A                    16:58:54.43  -39:33:27.18  08.07  01.37  06.69  G   nearby_star  star      
HD 110315                     12:41:06.60  +15:22:30.07  07.51  01.37  06.76  G   nearby_star  star      
HD 36003                      05:28:25.77  -03:30:11.16  07.24  01.37  06.68  G   nearby_star  star      
HD 21197                      03:24:59.48  -05:22:01.81  07.47  01.37  06.54  G   nearby_star  star      
HD 40887C                     06:00:18.78  -31:01:41.21  08.26  01.38  06.92  G   nearby_star  star      
HD 29697                      04:41:18.59  +20:54:01.38  07.54  01.38  06.93  G   nearby_star  star      
HD 283750                     04:36:48.52  +27:07:53.53  07.75  01.38  06.54  G   nearby_star  star      
HD 214749                     22:40:43.85  -29:40:28.40  07.42  01.39  06.80  G   nearby_star  star      
HD 97214                      11:11:09.68  -10:56:53.71  08.80  01.40  07.30  G   nearby_star  star      
HD 156026                     17:16:12.79  -26:33:04.13  05.89  01.41  07.02  G   nearby_star  star      
HD 111261                     12:48:10.33  -24:48:21.05  08.46  01.42  07.09  G   nearby_star  star      
HD 192961                     20:19:36.36  -46:25:42.85  08.28  01.43  06.95  G   nearby_star  star      
HD 120476B                    13:49:03.48  +26:58:43.07  07.58  01.43  06.93  G   nearby_star  star      
HD 219764                     23:19:05.20  -60:31:15.08  08.48  01.43  07.00  G   nearby_star  star      
HD 97503                      11:13:12.90  +04:28:55.91  08.26  01.44  06.94  G   nearby_star  star      
HD 68834                      08:14:35.45  +13:01:23.73  08.35  01.44  06.92  G   nearby_star  star      
HD 15468                      02:29:02.40  -19:58:40.78  08.39  01.45  06.96  G   nearby_star  star      
Gaia DR3 4115142276679903360  17:21:00.81  -21:06:46.15  09.39  01.45  08.18  G   nearby_star  star      
HD 152705                     16:56:42.74  -39:08:14.49  08.07  01.45  07.09  G   nearby_star  star      
HD 85512                      09:51:07.73  -43:30:17.57  07.20  01.46  06.94  G   nearby_star  star      
HD 201091                     21:06:59.64  +38:45:49.90  04.77  01.46  07.05  G   nearby_star  star      
HD 154363                     17:05:02.41  -05:04:17.66  07.26  01.46  07.17  G   nearby_star  star      
HD 4378A                      00:45:48.73  -41:54:34.27  07.92  01.46  06.93  G   nearby_star  star      
Gaia DR3 5849837820492182272  14:42:28.21  -64:58:45.22  08.01  01.48  06.93  G   nearby_star  star      
HD 48948                      06:49:57.57  +60:20:14.53  08.12  01.48  06.99  G   nearby_star  star      
HD 218511                     23:09:40.06  -67:44:01.58  07.83  01.48  06.97  G   nearby_star  star      
HD 165341B                    18:05:27.82  +02:29:39.12  05.54  01.49  07.00  G   nearby_star  star      
HD 10436                      01:43:39.77  +63:49:14.91  07.93  01.49  07.28  G   nearby_star  star      
HD 200779                     21:05:19.83  +07:04:00.45  07.82  01.50  06.93  G   nearby_star  star      
