HIP, e_Plx, Plx
319,0.84,1.2
320,4.13,6.48
321,1.18,9.88
322,0.97,3.93
323,0.89,6.15
324,1,8.18
325,1.07,14.48
326,1.22,0.82
327,1.28,2.04
328,0.92,4.24
329,1.5,9.2
330,0.58,0.89
331,2.21,1.88
332,0.94,6.58
333,1.44,5.54
334,0.98,0.07
335,1.09,5.57
336,0.77,1.47
337,1.49,11.87
338,1.79,-1.21
339,0.84,4.12
340,1.01,14.91
341,1.57,0.58
342,1.55,7.92
343,0.92,11.29
344,2.4,6.82
345,0.91,7.75
346,1.12,5.27
347,0.85,2.46
348,1.13,16.79
349,1.06,4.1
350,1.62,21.14
351,1.48,22.52
352,1.76,12.99
353,6.2,5.72
354,1.4,3.01
355,0.93,2.03
356,1.1,9.89
357,0.64,10.92
358,0.79,0.95
359,0.88,17.09
360,0.93,4.67
361,0.93,3.4
362,1.49,-0.43
363,1.05,2.15
364,1.57,1.99
365,1.12,1.94
366,1.32,1.59
367,0.79,1.38
368,1.03,4.83
369,1.47,1.26
370,0.81,2.46
371,2.56,0.81
372,0.66,4.15
373,1.34,1.39
374,1.59,6.13
375,1.59,6.13
376,1.18,4.04
377,0.53,5.7
378,0.84,11.46
379,0.58,10.3
380,1.12,7.35
381,1.14,2.46
382,1.2,4.16
383,1.2,4.08
384,1.2,5.84
385,2.81,9.37
386,1.02,-0.59
387,0.92,1.61
388,1.38,5.46
389,1.16,5.65
390,2.61,4.86
391,1.91,6.95
392,1.53,10.47
393,1.34,3.05
394,4.3,27.18
395,1.1,3.15
396,0.97,2.91
397,1.1,3.73
398,0.82,2.13
399,0.77,5.34
400,0.93,39.06
401,1.2,3.49
402,0.81,6.02
403,1.31,11.56
404,1.21,14.53
405,1.04,1.55
406,1.1,1.67
407,0.71,22.09
408,1.1,4.41
409,0.77,8.49
410,0.76,7.63
411,1.46,-0.99
412,1.54,6.19
413,0.87,19.78
414,0.95,1.96
415,1.24,8.38
416,1.17,8.73
417,0.81,6.95
418,0.56,4.5
419,1.34,5.12
420,0.85,23.9
421,\N,\N
422,0.69,2.53
423,1.9,5.43
424,0.75,6.66
425,0.83,14.25
426,8.01,6.64
427,1.2,1.42
428,1.41,86.98
429,1.22,11.12
430,0.87,6.27
431,0.9,2.45
432,0.81,10.35
433,1.69,-0.08
434,1.32,1.4
435,1.33,10.28
436,0.82,62.48
437,1.04,3.18
438,1.04,2.21
439,1.08,229.33
440,0.63,5.31
441,0.83,4.29
442,1.15,4.33
443,1.05,25.38
444,1.02,1.29
445,0.76,9.55
446,0.64,5.05
447,1.27,1.69
448,1.03,6.75
449,1.18,9.89
450,1.34,3.3
451,0.99,4.55
452,1.46,2.61
453,0.92,4.65
454,0.99,4.76
455,13.02,6.35
456,0.99,4.79
457,0.96,2.01
458,0.93,3.07
459,0.95,18.57
460,1.14,22.2
461,0.91,11.04
462,0.94,19.81
463,1.35,-1.03
464,22.3,0.75
465,1.45,3.94
466,0.83,3.52
467,1.46,6.89
468,0.72,4.25
469,0.82,2.3
470,0.94,0.47
471,1.1,2.52
472,0.78,4.25
473,2.74,85.1
474,1.01,7
475,1.06,21.03
476,0.8,8.75
477,1.7,5.59
478,1.68,2.19
479,1.52,1.32
480,1.29,1.87
481,1.45,7.28
482,1.68,5.95
483,0.94,4.01
484,1.41,-0.26
485,1.01,2.62
486,1.34,6.18
487,1.34,11.21
488,1.61,7.92
489,1.74,13.23
490,0.92,24.85
491,1.19,2.92
492,1.46,6.5
493,0.82,26.24
494,0.94,12.99
495,2.07,25.77
496,0.73,5.31
497,1.15,7.05
498,0.91,4.26
499,1.53,0.87
500,1.37,1.54
501,1.14,4.19
502,0.77,2.9
503,1.01,3.07
504,0.82,5.66
505,0.65,0.08
506,1.08,1.33
507,0.83,1.8
508,0.85,3.28
509,1.67,13.05
510,1,11.07
511,1.01,5.34
512,0.96,4.39
513,1.2,2.09
514,1.65,5.66
515,1.55,7.38
516,1.12,-0.16
517,1.14,5.95
518,1.05,49.3
519,1.67,5.38
520,1.15,2.35
521,1.03,4.71
522,0.64,39
523,2.73,56.92
524,1.32,7.24
525,0.73,8.6
526,0.82,4.78
527,0.8,3.09
528,1.62,4.69
529,0.9,6.73
530,0.91,8.11
531,0.54,3.32
532,1.18,4.6
533,1.78,-1.67
534,1.27,3.63
535,1.54,5.95
536,1.34,2.9
537,1.56,3.91
538,2.41,13.26
539,1.06,6.15
540,0.79,5.13
541,3.4,10.02
542,1.09,4.21
543,1.67,2.04
544,0.75,72.98
545,1.09,4
546,0.87,5.02
547,1.12,5.61
548,0.98,2.44
549,2.47,-0.29
550,1.12,2.41
551,6.06,5.29
552,2.72,1.92
553,10.4,2.3
554,1.59,9.89
555,1.5,4.82
556,1.09,9.08
557,0.97,6.36
558,0.76,1.65
559,1.1,0.55
560,0.75,25.59
561,2.2,3.17
562,1,3.69
563,0.97,4.96
564,1.61,0.77
565,1.23,6.64
566,1.33,1.34
567,0.8,3.69
568,1.17,1.16
569,1.05,18.71
570,3.43,3.82
571,3.43,3.82
572,1.14,2
573,0.94,3.73
574,1.13,4.04
575,1.9,2.89
576,1.18,3.75
577,1.47,15.97
578,0.93,8.4
579,1.15,0.43
580,1.06,4.01
581,0.92,7.12
582,1.07,4.4
583,0.71,4.41
584,2.34,7.89
585,1.16,4.33
586,2.27,6.74
587,1.01,5.14
588,1.26,5.85
589,0.88,4.84
590,1.1,3.28
591,0.9,4.03
592,2.25,-0.66
593,1.28,4.19
594,1.2,6.51
595,2,6.34
596,0.61,11.92
597,0.74,4.23
598,1,3.54
599,1,17.18
600,1.24,2.2
601,2.35,17.98
602,0.85,6.24
603,1.72,5.87
604,1.18,8.23
605,0.87,2.87
606,0.91,20.63
607,0.84,9.37
608,2.42,1.52
609,1.22,7.19
610,0.77,2.19
611,1.14,7.21
612,0.77,7.51
613,1.06,1.63
614,1.07,2.41
615,0.94,5.48
616,1.21,30.76
617,0.93,10.08
618,1.46,8.86
619,0.77,6.05
620,0.57,2.53
621,0.69,2.5
622,1.26,2.74
623,1,9.73
624,0.99,8.21
625,0.8,5.37
626,0.73,10.14
627,0.88,2.38
628,1.06,2.89
629,1.15,3.33
630,0.89,9.58
631,0.65,7.84
632,1.32,1.6
633,1.16,4.21
634,0.92,7.19
635,0.92,6.69
636,0.74,12.45
637,1.43,4.31
638,1.32,4.43
639,1.33,7.06
640,0.78,5.76
641,0.84,21.83
642,1.4,11.55
643,1.58,5.57
644,1.11,3.5
645,2.24,7.79
646,0.94,3.64
647,0.67,1.17
648,0.6,8.95
649,0.99,10.66
650,0.93,3.83
651,1.39,6.43
652,0.74,8.19
653,1.5,6.67
654,1.17,4.37
655,0.71,10.02
656,0.98,9.77
657,1.34,3.92
658,1.16,3.44
659,0.76,4.9
660,0.84,3.26
661,0.93,2.42
662,0.83,1.92
663,1.47,4.93
664,0.96,3.25
665,1.63,7.53
666,2.36,5.68
667,1.06,4.08
668,0.97,3.46
669,1.02,36.18
670,1.19,3.75
671,0.92,9.79
673,1.43,3.5
674,3.35,7.73
675,1.05,2.84
676,1.27,10.7
677,0.73,33.6
678,1.17,3.83
679,0.95,2.18
