HIP, e_Plx, Plx
19076,0.84,59.79
19165,1.64,42.54
19233,0.5,43.12
19255,1.17,48.59
19333,0.93,39.03
19335,0.77,46.87
19337,2.19,73.01
19394,2.01,66.82
19422,0.79,54.17
19832,4.49,48.95
19849,0.84,198.24
19855,1.15,47.86
19859,1.08,47.2
19884,0.63,76.46
19893,0.5,49.26
19921,0.5,54.84
19930,1.16,39.08
19948,6.24,47.05
20222,7.18,43.27
20917,1.05,87.17
20968,56.47,120.7
21000,4.74,84.76
21086,3.24,49.73
21088,3.67,181.36
21223,0.93,39.93
21284,0.8,44.52
21421,0.95,50.09
21482,1.21,56.02
21492,5.06,39.88
21553,1.2,98.12
21556,1.81,90.23
21765,4.13,49.58
21770,0.53,49.67
21818,1.24,74.13
21932,2.51,106.16
21988,0.99,44.74
22122,0.64,48.9
22263,0.8,75.1
22449,0.95,124.6
22451,0.71,55.59
22498,17.78,42.59
22627,3.99,82.52
22738,3.55,89.47
22762,1.97,80.89
22907,0.9,55.67
23140,2.45,51.51
23147,1.56,60.48
23311,0.82,113.46
23437,0.58,44.94
23452,1.81,117.38
23512,2.95,107.86
23518,1.76,71.35
23693,0.46,85.83
23708,0.89,86.76
23786,1.14,41.7
23835,0.93,63.02
23932,2,107.3
23941,0.7,39.99
24186,0.86,255.26
24284,8.94,78.5
24472,3.43,41.94
24502,22.4,39.77
24608,0.89,77.29
24783,2.13,49.34
24786,0.76,40.11
24813,0.9,79.08
24819,1.68,59.29
24874,1.26,41.09
25110,0.52,47.66
25119,1.52,50.24
25220,1.5,69.76
25278,0.94,68.19
25283,0.97,56.36
25421,0.76,55.76
25544,0.52,51.1
25578,5.22,115.04
25623,0.91,77.03
25647,0.54,66.92
25716,2.16,57.5
25775,3.73,51.56
25878,1.2,175.72
25953,3.37,78.3
26081,3.88,59.45
26335,1.29,87.9
26369,15.54,41.23
26373,1.74,41.9
26394,0.45,54.92
26501,0.94,39.59
26505,1,48.72
26779,0.83,81.69
26801,1.67,80.13
26844,2.35,46.51
