HIP, e_Plx, Plx
90496,0.9,42.2
90656,1.05,53.3
90790,0.89,75.71
90864,0.9,39.73
90945,1.18,53
90959,1.26,42.67
90979,1.76,39.34
91009,0.73,60.9
91128,1.03,64.61
91154,1.41,46.38
91262,0.55,128.93
91430,2.87,78.52
91438,0.85,77.02
91605,1.59,41.88
91608,2.09,61.63
91699,2.27,88.14
91768,2.57,280.28
91772,5.01,284.48
92043,0.68,52.37
92200,1.28,70.8
92283,0.97,57.79
92311,1.6,58.6
92403,1.82,336.48
92417,1.98,45.88
92444,1.92,57.87
92451,2.17,59.94
92573,1.81,64.13
92756,10.43,40.13
92858,1.19,41.84
92871,1.9,86.27
92919,1.03,46.64
93017,0.54,66.76
93069,3.01,79.14
93072,3.77,41.56
93101,1.46,90.02
93185,0.64,42.68
93206,2.52,72.07
93449,68.24,121.75
93747,0.72,39.18
93825,1.94,55.89
93858,0.91,58.24
93871,1.34,41.19
93873,2.47,115.91
93899,2.41,112.82
93966,0.77,47.72
94225,1.51,49.84
94336,0.83,40.16
94346,0.54,50
94349,2.66,98.56
94368,2.72,50.04
94557,2.75,52.45
94650,1.01,39.43
94739,2.16,63.43
94761,1.37,170.26
94981,0.56,39.64
95071,7.16,89.08
95149,1.28,47.95
95319,0.6,64.54
95326,57.93,77.71
95447,0.77,66.01
95501,0.81,65.05
95575,1.03,39.73
95995,0.64,59.84
96085,0.9,55.5
96100,0.46,173.41
96113,1.43,45.34
96121,1.92,43.86
96183,0.94,49.61
96258,0.47,39.08
96285,1.65,69.09
96395,0.49,41.24
96441,0.47,53.78
96702,1.29,45.88
96710,1.91,44.84
96895,0.5,46.25
96901,0.52,46.7
97051,1.86,44.18
97222,1.43,49.09
97223,1.23,48.49
97241,4.8,87.57
97292,2.93,74.9
97295,0.54,47.94
97649,0.94,194.44
97675,0.77,51.57
97944,0.81,70.34
98036,0.83,72.95
98066,0.94,42.03
98106,1,42.78
98130,1.14,52.11
98192,0.97,39.24
98204,1.48,52.92
98316,1.17,43.91
98416,1.35,40.75
98470,1.06,47.9
98505,0.87,51.94
98677,0.83,51.71
98679,11.17,84.75
98681,11.17,84.75
98698,1.03,76.26
98767,0.62,62.92
98792,0.85,64.17
98819,0.76,56.6
98828,0.91,46.28
98906,6.44,63.23
98921,0.55,52.99
98959,0.74,56.45
99031,0.54,41.34
99137,0.79,43.08
99150,5.17,68.49
99240,0.65,163.73
99316,1.18,41.07
99385,1.49,63.82
99427,0.72,59.53
99438,3.85,65.06
99452,0.91,48.83
99461,0.9,165.24
99701,1.08,161.17
99711,1.13,50.27
99764,1.74,49.03
99825,0.89,113.33
99880,1.21,40.97
100017,0.52,56.92
100111,32.67,39.57
100223,1.29,55.73
100356,2.85,43.57
100490,1.84,50.36
100923,15.66,64.93
100925,0.82,51.5
101150,4.37,43.24
101180,1.11,125.62
101345,0.87,41.26
101382,0.64,44.99
101516,2.32,67.65
101574,8.83,43.51
101955,2.21,53.82
101983,0.73,41.33
101997,0.82,68.28
102040,0.76,47.65
102101,1.15,41.74
102119,1.48,43.42
102141,4.65,97.8
102186,1.25,82.57
102207,4.04,47.39
102226,1.03,39.38
102235,13.14,50.17
102264,0.87,44.57
102300,1.76,46.11
102333,0.82,41.38
102357,1.99,50.18
102401,1.57,80.01
102409,1.35,100.59
102422,0.49,69.73
102485,0.91,68.16
102488,0.53,45.26
102766,0.98,42.23
102851,1.77,48.38
102870,1.01,44.57
103039,3.68,182.15
103096,0.77,141.95
103256,1.19,44.04
103388,10.55,67.71
103389,0.95,47.61
103393,4.03,56.56
103441,3.24,73.24
103458,0.81,46.26
103544,2.23,42.8
103655,2.54,66.21
103768,1.71,48.87
103800,2.86,72.37
103859,0.72,51.65
103910,5.16,70.51
104059,3.06,52.26
104092,1.35,67.38
104137,4.58,43.63
104214,1.51,287.13
104217,0.72,285.42
104239,1.18,56.67
104432,2.4,82.33
104436,0.58,41.28
104440,2.18,53.38
104644,4.06,69.76
104858,0.85,54.11
104887,0.61,47.8
105038,1.06,61.83
105090,1.13,253.37
105152,1.23,52.03
105184,0.9,42.04
105199,0.49,66.84
105312,1.09,53.4
105336,3.31,50.15
105341,1.31,61.04
105533,1.61,48.28
105675,1.26,39.39
105712,0.81,48.86
105858,0.59,108.5
105905,1.17,43.12
105911,1.29,42.52
105932,2.61,61.57
106106,1.85,148.29
106147,1.42,55.38
106231,1.18,39.91
106255,28.85,124.82
106400,0.95,43.2
106440,1.33,202.53
106557,2.59,57.37
106694,3.37,46.8
106696,0.92,67.85
106803,5.17,47.58
106811,2.53,76.07
106913,0.83,39.13
106972,3.7,39.78
107022,0.67,45.17
107089,2.9,47.22
107143,3.35,42.4
107310,0.69,44.64
107317,3.84,47.3
107346,1.43,49.27
107350,0.85,54.37
107427,32.04,47.82
107522,1.88,52.56
107556,0.88,84.58
107625,1.06,42.12
107649,0.78,63.95
107705,2.43,62
107711,41.23,74.42
107772,2.15,44.45
107968,4.47,39.84
108028,0.98,41.71
108092,1.55,43.07
108156,0.93,49.21
108159,3.51,66.12
108380,2.48,50.43
108405,2.67,61.63
108467,1.08,47.95
108567,1.53,43.04
108569,1.74,84.26
108706,3.19,111.57
108752,2.14,60.94
108782,1.48,96.98
108870,0.69,275.76
108890,8.09,45.87
109084,7.86,46.7
109119,66.11,93.81
109176,0.71,85.06
109378,0.79,46.97
109388,2.1,113.97
109422,0.82,53.36
109527,0.79,44.57
109537,3.24,44.84
109555,1.63,87.42
109638,4.34,71.97
109670,16.43,44.2
109812,1.68,50.56
109821,0.71,45.19
109926,0.67,46.62
109980,0.88,41.69
110066,1.13,39.38
110109,0.7,73.47
110400,3.67,62.4
110443,1.32,74.75
110526,10.01,62.18
110534,1.98,51.57
110640,1.66,46.74
110649,0.61,48.81
110712,0.96,43.39
110719,20.25,60.24
110774,1.28,39.97
110778,2.54,49.8
110893,3.03,249.52
110922,7.66,40.81
110951,1.81,44.34
110980,1.92,45.69
110996,1.07,64.74
111170,1.83,39.18
111313,2.45,78.07
111391,2.55,63.98
111449,0.75,43.97
111571,1.77,57.04
111685,1.94,52.94
111766,6.47,67.44
111802,1.5,115.71
111888,1.12,44.1
111932,20,41.53
111960,1.13,73.85
111983,1.3,43.65
112117,0.72,42.47
112120,2.96,47.13
112190,1.31,46.46
112245,0.71,39.82
112312,3.37,42.35
112388,4.25,42.55
112447,0.77,61.54
112460,2.05,198.07
112527,0.64,50.15
112774,1.84,71.43
112800,3.04,52.82
112870,1.18,47.56
112909,2.71,70.3
112915,1.35,41.17
112978,2.9,51.42
113020,2.1,212.69
113201,3.02,40.44
113229,1.33,116.02
113244,2.65,41.15
113283,0.92,130.94
113296,1.22,145.27
113357,0.76,65.1
113368,0.92,130.08
113421,0.75,50.71
113576,0.94,122.8
113602,3.03,49.15
113605,3.19,49.36
113718,3.4,59.04
113829,0.87,41.19
113850,1.93,48.15
113944,1.04,49.94
114046,0.87,303.9
114066,1.48,40.09
114110,18.28,216.52
114156,1.88,47.36
114176,13.76,147.95
114233,2.04,63.85
114242,10.82,50.3
114252,2.6,45.75
114361,0.95,66.36
114379,7.67,39.56
114411,3.17,63.73
114416,1.05,48.05
114456,0.74,42.65
114570,0.57,40.82
114622,0.65,153.24
114716,2.81,39.09
114719,5.79,51.44
114859,2.04,45.21
114886,0.97,41.33
114924,0.58,49.31
114948,0.6,48.6
114954,1.99,47.58
114996,0.61,45.4
115058,1.87,41.19
115123,1.17,51.97
115126,5.25,48.22
115147,0.64,50.65
115331,0.83,45.63
115332,3.58,93.5
115341,0.96,47.66
115445,1.25,51.37
115562,1.41,76.23
115680,2.13,42.25
116003,7.83,67.57
116085,0.67,59.31
116132,2.81,160.06
116215,1.36,71.7
116317,4.77,71.56
116384,1.74,51.8
116416,0.93,42.63
116491,1.67,42.13
116613,0.8,43.26
116645,3.39,54.15
116727,0.52,72.5
116745,0.64,87.72
116763,0.86,53.52
116771,0.88,72.51
116838,1.85,39.51
116869,60.22,44.81
116936,2.07,42.42
117042,32.4,53.88
117059,11.58,60.11
117081,47.16,58.45
117197,1.58,50.78
117383,3.24,60.56
117473,1.49,167.51
117542,1.13,39.53
117559,1.36,40.24
117697,3.4,39.4
117712,0.55,92.68
117779,3.88,44.62
117828,1.15,98.43
117886,2.41,40.44
117946,1.16,39.35
117966,11.8,57.97
118008,1.11,45.28
118162,0.76,41.35
118200,2.92,58.62
118212,2.82,57.62
118261,1.26,40.9
118310,1.36,39.43
120005,6.61,159.48
