HIP,HD,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,Vmag,MV,MV_error,VTmag,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 897,\N,2.76858844,-5.78399441,00 11 04.46,-05 47 02.4,39.19,2.29,25.5167,10.86,8.825876317390513,0.12703095389485775,\N,\N,\N,1.418,\N
HIP 98192,189087,299.30561123,29.82344076,19 57 13.35,+29 49 24.4,39.24,0.97,25.4842,7.91,5.878644993539556,0.05368902719603019,7.989,5.957644993539557,0.05368902719603019,0.797,0.915
HIP 10312,\N,33.2112883,-17.68721593,02 12 50.71,-17 41 14.0,39.26,2.63,25.4712,11.1,9.06975147631994,0.14568360424168603,\N,\N,\N,1.455,\N
HIP 3170,3823,10.10273354,-59.45568115,00 40 24.66,-59 27 20.5,39.26,0.56,25.4712,5.89,3.859751476319939,0.030975726681198523,5.96,3.9297514763199395,0.030975726681198523,0.564,0.611
HIP 73362,\N,224.88316855,-44.09407201,14 59 31.96,-44 05 38.7,39.27,1.5,25.4647,10.17,8.140304506352091,0.08298431656158023,10.267,8.23730450635209,0.08298431656157845,1.318,1.447
HIP 42418,73512,129.75127025,6.95617207,08 39 00.30,+06 57 22.2,39.28,1.21,25.4582,7.9,5.8708573955745615,0.06691224988511602,8.024,5.99485739557456,0.06691224988511602,0.897,1.044
HIP 10925,14629,35.17819775,-39.03366485,02 20 42.77,-39 02 01.2,39.3,1.07,25.4453,8.67,6.641962751877134,0.059136128478215255,8.79,6.7619627518771335,0.059136128478215255,1.031,1.213
HIP 36853,\N,113.6625046,22.33786439,07 34 39.00,+22 20 16.3,39.31,3.31,25.4388,11.53,9.502515219100449,0.1832773615272396,\N,\N,\N,1.498,\N
HIP 83363,153284,255.56822858,-61.56811462,17 02 16.37,-61 34 05.2,39.32,1.33,25.4323,8.74,6.713067545800491,0.0734781409384162,8.849,6.822067545800491,0.0734781409384162,1.035,1.245
HIP 90979,\N,278.37084801,-11.6354613,18 33 29.00,-11 38 07.7,39.34,1.76,25.4194,10.03,8.00417177791659,0.09721261527890634,10.056,8.030171777916589,0.09721261527890634,1.263,1.334
HIP 117946,224129,358.8602775,22.19364366,23 55 26.47,+22 11 37.1,39.35,1.16,25.413,8.77,6.744723683475417,0.06403146202567589,8.903,6.877723683475418,0.06403146202567589,1.02,1.246
HIP 75266,136834,230.67816257,1.41951111,15 22 42.76,+01 25 10.2,39.35,1.37,25.413,8.28,6.254723683475417,0.07563202231925858,8.372,6.3467236834754175,0.07563202231925858,0.992,1.2
HIP 80468,\N,246.37191811,43.72996989,16 25 29.26,+43 43 47.9,39.35,18.4,25.413,11.87,9.84472368347542,1.1009199031546704,\N,\N,\N,\N,\N
HIP 102226,197396,310.70587871,20.84547031,20 42 49.41,+20 50 43.7,39.38,1.03,25.3936,8.26,6.236378559010497,0.05680870539412064,8.37,6.346378559010496,0.05680870539412064,0.889,1.034
HIP 110066,211369,334.41352404,-48.65023722,22 17 39.25,-48 39 00.9,39.38,1.13,25.3936,8.4,6.376378559010497,0.06232700923487933,8.52,6.4963785590104965,0.06232700923487933,0.961,1.129
HIP 105675,203413,321.0635194,-58.69225955,21 24 15.24,-58 41 32.1,39.39,1.26,25.3872,8.68,6.656929904045709,0.06948436164104077,8.791,6.76792990404571,0.06948436164104077,1.063,1.253
HIP 117697,\N,358.04445748,-19.65459561,23 52 10.67,-19 39 16.5,39.4,3.4,25.3807,11.69,9.667481109127872,0.1878531706147113,\N,\N,\N,1.474,\N
HIP 34673,\N,107.70776512,-14.43377333,07 10 49.86,-14 26 01.6,39.4,1.44,25.3807,9.96,7.937481109127873,0.07939882414904442,10.116,8.093481109127872,0.07939882414904442,1.311,1.325
HIP 88771,165777,271.8375861,9.56365345,18 07 21.02,+09 33 49.2,39.4,0.83,25.3807,3.71,1.687481109127873,0.0457509842630488,3.737,1.7144811091278722,0.0457509842630488,0.159,0.166
HIP 90306,\N,276.38327301,38.35532929,18 25 31.99,+38 21 19.2,39.4,1.79,25.3807,11.28,9.257481109127871,0.0987211463350457,\N,\N,\N,1.442,\N
HIP 118310,224660,359.94925671,6.66456539,23 59 47.82,+06 39 52.4,39.43,1.36,25.3614,8.85,6.829133885366116,0.07492707125681841,9.097,7.076133885366116,0.07492707125681841,1.187,1.405
HIP 94650,180263,288.89560006,11.55513788,19 15 34.94,+11 33 18.5,39.43,1.01,25.3614,8.06,6.039133885366117,0.055634465983221304,8.165,6.144133885366116,0.055634465983221304,0.908,1.058
HIP 77908,142288,238.6607435,-26.00442587,15 54 38.58,-26 00 15.9,39.45,8.88,25.3485,9.2,7.180235037727195,0.49730339103197885,9.344,7.324235037727195,0.49730339103197885,1.234,1.516
HIP 39494,\N,121.09423113,43.96171622,08 04 22.62,+43 57 42.2,39.46,1.58,25.3421,9.83,7.810785404580862,0.08699345443131001,10.012,7.992785404580863,0.08699345443131001,1.27,1.578
HIP 18180,\N,58.33331726,-37.06378375,03 53 20.00,-37 03 49.6,39.48,2.69,25.3293,12.13,10.111885719987995,0.1481845329593412,\N,\N,\N,1.45,\N
HIP 57866,103072,178.03466294,18.75591791,11 52 08.32,+18 45 21.3,39.48,1.58,25.3293,8.4,6.381885719987996,0.08694933766625246,8.504,6.485885719987995,0.08694933766625246,0.86,1.018
HIP 62387,\N,191.79002178,-49.47230003,12 47 09.61,-49 28 20.3,39.48,64.77,25.3293,12.53,10.511885719987998,\N,\N,\N,\N,\N,\N
HIP 116838,222474,355.21377651,20.36573335,23 40 51.31,+20 21 56.6,39.51,1.85,25.31,8.27,6.253535148407233,0.10175053601310013,8.465,6.448535148407233,0.10175053601310013,1.113,1.288
HIP 74605,136064,228.65834777,67.34767598,15 14 38.00,+67 20 51.6,39.51,0.47,25.31,5.15,3.1335351484072334,0.02583245196860906,5.213,3.196535148407232,0.02583245196860906,0.55,0.589
HIP 117542,223515,357.56157179,-29.40177067,23 50 14.78,-29 24 06.4,39.53,1.13,25.2972,7.88,5.864634071714855,0.062090374836222484,7.94,5.924634071714854,0.062090374836222484,0.839,0.994
HIP 114379,218738,347.48847477,47.95834319,23 09 57.23,+47 57 30.0,39.56,7.67,25.2781,7.91,5.89628141462571,0.42640856583435216,8.022,6.00828141462571,0.42640856583435216,0.9,1.043
HIP 4328,\N,13.85453209,-51.83348668,00 55 25.09,-51 50 00.6,39.56,3.38,25.2781,12.38,10.366281414625709,0.18598369394108705,\N,\N,\N,1.47,\N
HIP 51928,\N,159.11904377,-28.45424333,10 36 28.57,-28 27 15.3,39.56,3.14,25.2781,11.98,9.96628141462571,0.17271983391530732,\N,\N,\N,1.464,\N
HIP 52470,92786,160.89214187,48.21368383,10 43 34.11,+48 12 49.3,39.56,0.99,25.2781,8.02,6.006281414625709,0.05435304920283279,8.083,6.06928141462571,0.05435304920283279,0.749,0.864
HIP 87773,\N,268.95845088,33.42120836,17 55 50.03,+33 25 16.4,39.56,2.14,25.2781,10.16,8.14628141462571,0.11758067952441653,10.392,8.37828141462571,0.11758067952441653,1.185,1.494
HIP 100111,351880,304.62751329,19.03105653,20 18 30.60,+19 01 51.8,39.57,32.67,25.2717,11.54,9.52683025133014,2.549821616420484,\N,\N,\N,0.448,\N
HIP 26501,37706,84.53956879,-46.10490664,05 38 09.50,-46 06 17.7,39.59,0.94,25.2589,7.33,5.3179275087610245,0.051567763718373794,7.58,5.5679275087610245,0.051567763718373794,0.769,0.813
HIP 61099,108984,187.82627565,20.21822902,12 31 18.31,+20 13 05.6,39.62,0.95,25.2398,7.91,5.8995723560126425,0.05207708907815123,8.014,6.003572356012642,0.05207708907815123,0.863,1
HIP 88945,166435,272.33888844,29.95156418,18 09 21.33,+29 57 05.6,39.62,0.68,25.2398,6.84,4.829572356012642,0.03727274739274167,6.911,4.900572356012642,0.03727274739274167,0.633,0.685
HIP 66704,119124,205.09728108,50.51927223,13 40 23.35,+50 31 09.4,39.64,0.71,25.227,6.31,4.300668229066191,0.03889783834981797,6.393,4.383668229066191,0.03889783834981797,0.537,0.571
HIP 94981,181655,289.9126806,37.33098454,19 19 39.04,+37 19 51.5,39.64,0.56,25.227,6.29,4.2806682290661895,0.030678745094337323,6.358,4.348668229066191,0.030678745094337323,0.676,0.779
HIP 32765,50223,102.47757095,-46.61547007,06 49 54.62,-46 36 55.7,39.66,0.53,25.2143,5.14,3.13176354934642,0.029020395728386994,5.199,3.1907635493464195,0.029020395728386994,0.46,0.48
HIP 36927,61214,113.86227454,-52.44316453,07 35 26.95,-52 26 35.4,39.66,0.8,25.2143,8.78,6.771763549346419,0.04380770542755563,8.926,6.91776354934642,0.04380770542755563,1.049,1.214
HIP 55052,\N,169.02915001,-30.17838603,11 16 07.00,-30 10 42.2,39.68,2.2,25.2016,10.35,8.342858317410705,0.12051772697766161,10.465,8.457858317410706,0.12051772697765983,1.226,1.454
HIP 83451,154712,255.82945718,59.58477314,17 03 19.07,+59 35 05.2,39.71,1.57,25.1826,8.61,6.604499435319415,0.0858974997729205,8.732,6.726499435319415,0.0858974997729205,1.019,1.245
HIP 28360,40183,89.88237261,44.94743492,05 59 31.77,+44 56 50.8,39.72,0.78,25.1762,1.9,-0.1049538008832815,0.04264769007663949,1.904,-0.10095380088328199,0.04264769007663949,0.077,0.085
HIP 34950,55458,108.47238707,25.01159218,07 13 53.37,+25 00 41.7,39.72,1.29,25.1762,8.4,6.395046199116719,0.0705484620578396,\N,\N,\N,0.827,\N
HIP 90864,171067,278.0433192,13.73626659,18 32 10.40,+13 44 10.6,39.73,0.9,25.1699,7.2,5.195592825276814,0.04919857945090955,7.27,5.265592825276815,0.04919857945090955,0.692,0.779
HIP 95575,183255,291.60655771,49.46357557,19 26 25.57,+49 27 48.9,39.73,1.03,25.1699,8.01,6.005592825276815,0.056308025788692984,8.129,6.124592825276815,0.056308025788692984,0.929,1.111
HIP 48509,\N,148.39169496,50.75104725,09 53 34.01,+50 45 03.8,39.75,3.27,25.1572,12.02,10.016685664962443,0.17903894098766227,\N,\N,\N,1.51,\N
HIP 51254,90663,157.0434532,6.73433015,10 28 10.43,+06 44 03.6,39.75,1.54,25.1572,8.53,6.526685664962446,0.08416961296573344,8.628,6.624685664962446,0.08416961296573344,0.92,1.07
HIP 24502,\N,78.8483901,32.68475457,05 15 23.61,+32 41 05.1,39.77,22.4,25.1446,7.94,5.937777954929902,1.3844526223026437,7.917,5.914777954929902,1.3844526223026437,0.41,0.432
HIP 106972,\N,324.97580829,27.61262152,21 39 54.19,+27 36 45.4,39.78,3.7,25.1383,11.62,9.618323893942089,0.2025575163608817,\N,\N,\N,1.515,\N
HIP 12706,16970,40.82551897,3.23617162,02 43 18.12,+03 14 10.2,39.78,0.95,25.1383,3.47,1.4683238939420864,0.05186754884987543,3.46,1.4583238939420866,0.05186754884987543,0.093,0.138
HIP 75798,\N,232.28043419,-17.3818413,15 29 07.30,-17 22 54.6,39.78,2.0,25.1383,10.53,8.528323893942085,0.10926620514618612,10.691,8.689323893942086,0.10926620514618612,1.423,1.304
HIP 76233,138763,233.58692775,-5.69510689,15 34 20.86,-05 41 42.4,39.78,0.83,25.1383,6.52,4.518323893942085,0.04531381870363438,6.585,4.583323893942087,0.04531381870363438,0.577,0.632
HIP 77268,329868,236.63422693,-47.23252006,15 46 32.21,-47 13 57.1,39.78,2.62,25.1383,10.63,8.628323893942087,0.14322537817782077,10.974,8.972323893942086,0.14322537817782077,1.309,1.487
HIP 86742,161096,265.86823714,4.56691684,17 43 28.38,+04 34 00.9,39.78,0.75,25.1383,2.76,0.7583238939420855,0.04094513115111065,2.899,0.8973238939420858,0.04094513115111065,1.168,1.405
HIP 112245,215500,341.02399013,64.57139372,22 44 05.76,+64 34 17.0,39.82,0.71,25.113,7.5,5.500506278456955,0.03872196947390627,7.587,5.587506278456955,0.03872196947390627,0.719,0.794
HIP 17157,\N,55.12209173,-47.92538868,03 40 29.30,-47 55 31.4,39.84,1.11,25.1004,9.59,7.591596648758306,0.0605160227758863,9.758,7.759596648758305,0.0605160227758863,1.267,1.493
HIP 65327,238224,200.84648954,57.9061585,13 23 23.16,+57 54 22.2,39.84,1.44,25.1004,9.69,7.691596648758305,0.07852116062906012,9.851,7.852596648758307,0.07852116062906012,1.262,1.394
HIP 83147,\N,254.88826284,-26.26718398,16 59 33.18,-26 16 01.9,39.86,11.61,25.0878,10.38,8.382686471822346,0.6513392902367805,10.337,8.339686471822343,0.6513392902367814,1.356,1.394
HIP 17207,\N,55.29394467,3.61195407,03 41 10.55,+03 36 43.0,39.87,2.01,25.0815,9.61,7.613231178311972,0.10956515844756742,9.839,7.842231178311973,0.10956515844756742,1.36,1.778
HIP 54513,\N,167.30181297,-4.60671132,11 09 12.44,-04 36 24.2,39.87,2.45,25.0815,11.22,9.223231178311972,0.13360468965784644,\N,\N,\N,1.446,\N
HIP 21492,\N,69.24295431,59.36696523,04 36 58.31,+59 22 01.1,39.88,5.06,25.0752,12.35,10.353775748198093,0.2770107532544941,\N,\N,\N,\N,\N
HIP 45116,\N,137.87963821,46.61716909,09 11 31.11,+46 37 01.8,39.89,2.32,25.0689,10.94,8.944320181549198,0.12643539272755788,\N,\N,\N,1.402,\N
HIP 106231,\N,322.75678551,23.33573366,21 31 01.63,+23 20 08.6,39.91,1.18,25.0564,9.23,7.235408638920116,0.06422161068947085,9.351,7.356408638920117,0.06422161068947085,1.05,1.22
HIP 35872,57901,110.94589902,12.96575197,07 23 47.02,+12 57 56.7,39.91,1.14,25.0564,8.19,6.195408638920116,0.0620434011206239,8.288,6.293408638920116,0.0620434011206239,0.959,1.157
HIP 21223,29086,68.28897895,-36.94615167,04 33 09.35,-36 56 46.1,39.93,0.93,25.0438,8.74,6.746496550971689,0.050584388174824024,8.871,6.877496550971689,0.050584388174824024,0.99,1.191
HIP 63121,112412,194.00251587,38.31469771,12 56 00.60,+38 18 52.9,39.95,23.72,25.0313,5.61,3.617583918250052,1.4840408250940254,5.517,3.524583918250052,1.4840408250940254,0.337,0.344
HIP 73252,\N,224.56583584,59.58329977,14 58 15.80,+59 34 59.9,39.95,0.92,25.0313,10.2,8.207583918250052,0.050015216075862234,10.261,8.268583918250052,0.050015216075862234,1.565,1.449
HIP 110774,\N,336.6350724,63.87867078,22 26 32.42,+63 52 43.2,39.97,1.28,25.0188,9.52,7.528670741300524,0.06956305791174744,9.673,7.6816707413005245,0.06956305791174744,1.102,1.49
HIP 23941,33256,77.18194475,-4.45624625,05 08 43.67,-04 27 22.5,39.99,0.7,25.0063,5.11,3.119757020667609,0.03801415260369767,5.17,3.1797570206676093,0.03801415260369767,0.455,0.469
HIP 74261,\N,227.64986131,-42.97627919,15 10 35.97,-42 58 34.6,39.99,2.41,25.0063,10.63,8.63975702066761,0.1310227020705641,\N,\N,\N,1.406,\N
HIP 32423,263175,101.52236005,32.55543654,06 46 05.37,+32 33 19.6,40.02,1.22,24.9875,8.8,6.811385421500964,0.06621732754317877,8.899,6.910385421500963,0.06621732754317877,0.964,1.164
HIP 67655,120559,207.91996891,-57.43465194,13 51 40.79,-57 26 04.7,40.02,1.0,24.9875,7.97,5.981385421500964,0.05427097743462017,8.032,6.043385421500964,0.05427097743462017,0.663,0.726
HIP 60994,108799,187.52054829,-13.39305238,12 30 04.93,-13 23 35.0,40.03,0.98,24.9813,6.37,4.381927950525525,0.0531718276854134,6.459,4.4709279505255255,0.0531718276854134,0.591,0.631
HIP 59774,106591,183.85603795,57.03259792,12 15 25.45,+57 01 57.4,40.05,0.6,24.9688,3.32,1.3330126021012827,0.03253385596161973,3.314,1.3270126021012825,0.03253385596161973,0.077,0.107
HIP 63503,113139,195.18160731,56.36633134,13 00 43.59,+56 21 58.8,40.06,0.6,24.9626,4.93,2.943554724787787,0.032525733464618956,4.983,2.9965547247877877,0.032525733464618956,0.368,0.392
HIP 114066,\N,346.51923273,63.92635285,23 06 04.62,+63 55 34.9,40.09,1.48,24.9439,10.87,8.885180281252609,0.08020055720541475,\N,\N,\N,1.44,\N
HIP 60866,108581,187.13120324,-18.29685881,12 28 31.49,-18 17 48.7,40.09,1.23,24.9439,9.24,7.25518028125261,0.06664379145954813,9.386,7.401180281252609,0.06664379145954813,1.218,1.387
HIP 24786,34721,79.7093162,-18.13019946,05 18 50.24,-18 07 48.7,40.11,0.76,24.9314,5.96,3.9762633099082354,0.0411497525412754,6.023,4.039263309908234,0.0411497525412754,0.572,0.628
HIP 29067,\N,91.98052613,67.97709065,06 07 55.33,+67 58 37.5,40.12,1.78,24.9252,9.75,7.766804621741903,0.09640478606062919,9.89,7.9068046217419035,0.09640478606062919,1.25,1.501
HIP 92756,\N,283.52696106,-54.3530351,18 54 06.47,-54 21 10.9,40.13,10.43,24.919,10.43,8.447345798669193,0.5776265398927904,10.231,8.248345798669195,0.5776265398927904,1.27,1.374
HIP 94336,179957,288.02173147,49.85423807,19 12 05.22,+49 51 15.3,40.16,0.83,24.9004,5.85,3.868968520684816,0.04488492976688763,6.569,4.587968520684817,0.04488492976688763,0.666,0.725
HIP 84487,\N,259.08395542,-12.17809864,17 16 20.15,-12 10 41.2,40.17,1.85,24.8942,10.47,8.489509158658358,0.10007636915856732,10.484,8.503509158658357,0.10007636915856732,1.429,1.679
HIP 83454,\N,255.83413265,59.58718409,17 03 20.19,+59 35 13.9,40.18,4.76,24.888,10.34,8.36004966206115,0.25846127807263475,10.193,8.213049662061152,0.25846127807263564,1.369,1.845
HIP 65477,116842,201.30589832,54.98799884,13 25 13.42,+54 59 16.8,40.19,0.57,24.8818,3.99,2.0105900309601754,0.030799260329650746,4.023,2.043590030960175,0.030799260329650746,0.169,0.202
HIP 76603,139461,234.66696618,-8.79142377,15 38 40.07,-08 47 29.1,40.19,3.62,24.8818,6.45,4.470590030960175,0.196120732100328,6.532,4.552590030960175,0.196120732100328,0.505,0.521
HIP 73631,\N,225.7659116,-46.29379766,15 03 03.82,-46 17 37.7,40.22,1.54,24.8633,9.87,7.892210331303616,0.08318506145810423,9.927,7.949210331303616,0.08318506145810423,1.188,1.651
HIP 87579,\N,268.37492306,21.32515234,17 53 29.98,+21 19 30.5,40.22,1.04,24.8633,8.5,6.522210331303617,0.05616197994603844,8.611,6.6332103313036175,0.05616197994603844,0.94,1.114
HIP 117559,\N,357.6153715,30.35323272,23 50 27.69,+30 21 11.6,40.24,1.36,24.8509,9.35,7.373289860239355,0.07341768593126474,9.518,7.541289860239356,0.07341768593126474,1.226,1.481
HIP 1598,1562,5.00213822,38.22806865,00 20 00.51,+38 13 41.0,40.25,0.81,24.8447,6.97,4.993829423519438,0.043705096913498664,7.042,5.065829423519437,0.043705096913498664,0.64,0.693
HIP 73100,132254,224.09558479,49.62899937,14 56 22.94,+49 37 44.4,40.25,0.54,24.8447,5.63,3.653829423519438,0.029134545633028974,5.693,3.716829423519437,0.029134545633028974,0.533,0.565
HIP 66587,\N,204.74430485,-6.23635436,13 38 58.63,-06 14 10.9,40.27,2.1,24.8324,10.73,8.75490814803716,0.11334076012972716,11.065,9.08990814803716,0.11334076012972716,1.419,1.564
HIP 62956,112185,193.5068041,55.95984301,12 54 01.63,+55 57 35.4,40.3,0.62,24.8139,1.76,-0.2134747692944518,0.033409903894953796,1.764,-0.2094747692944514,0.033409903894953796,-0.022,0.049
HIP 36827,60491,113.6092288,-6.89657277,07 34 26.21,-06 53 47.7,40.32,1.26,24.8016,8.16,6.187602617187347,0.0678806151090372,8.252,6.279602617187347,0.0678806151090372,0.9,1.011
HIP 66578,\N,204.71321916,70.28551338,13 38 51.17,+70 17 07.8,40.33,2.89,24.7954,12.79,10.818141110038091,0.1558723062028875,\N,\N,\N,-0.112,\N
HIP 55507,\N,170.52466408,46.90871853,11 22 05.92,+46 54 31.4,40.36,1.48,24.777,9.8,7.829755787824366,0.07966354901245198,9.938,7.967755787824366,0.07966354901245198,1.337,1.663
HIP 29548,\N,93.39608065,63.39464091,06 13 35.06,+63 23 40.7,40.38,1.41,24.7647,9.67,7.700831573038103,0.07585491337733918,9.779,7.809831573038103,0.07585491337733918,1.21,1.389
HIP 10688,\N,34.39039667,-53.98996844,02 17 33.70,-53 59 23.9,40.4,2.95,24.7525,11.48,9.511906825553028,0.15884319944185954,\N,\N,\N,1.446,\N
HIP 8190,\N,26.32451293,46.53498099,01 45 17.88,+46 32 05.9,40.43,2.67,24.7341,11.42,9.453518706668374,0.14361321133675098,\N,\N,\N,1.33,\N
HIP 113201,\N,343.86276157,-52.30234371,22 55 27.06,-52 18 08.4,40.44,3.02,24.728,11.6,9.63405573459482,0.16246484705128772,\N,\N,\N,1.653,\N
HIP 117886,\N,358.69304607,-21.77482015,23 54 46.33,-21 46 29.4,40.44,2.41,24.728,10.8,8.83405573459482,0.1295612521190863,\N,\N,\N,1.431,\N
HIP 74975,136202,229.82741626,1.76665611,15 19 18.58,+01 46 00.0,40.46,0.81,24.7158,5.04,3.07512939217393,0.04347819305948297,5.112,3.147129392173931,0.04347819305948297,0.54,0.583
HIP 36635,\N,113.00956625,68.62127385,07 32 02.30,+68 37 16.6,40.48,2.14,24.7036,10.84,8.876202519158715,0.11490334209034891,10.935,8.971202519158716,0.11490334209034803,1.494,1.348
HIP 12623,16739,40.5622035,40.19438688,02 42 14.93,+40 11 39.8,40.52,1.25,24.6792,4.91,2.9483471834412143,0.06700893498675775,4.962,3.000347183441214,0.06700893498675775,0.582,0.641
