HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 66578,\N,\N,\N,\N,-0.112,\N,10.818141110038091,\N,DA:
HIP 11650,\N,\N,\N,\N,-0.056,\N,10.861849197741442,\N,DA
