HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 117886,\N,\N,10.8,358.69304607,-21.77482015,23 54 46.33,-21 46 29.4,40.44,2.41,24.728,-42.92,128.48,\N,\N,8.83405573459482,0.1295612521190863,\N,\N,1.431,\N
HIP 60093,\N,\N,10.62,184.85216737,28.38217879,12 19 24.52,+28 22 55.8,40.58,1.94,24.6427,-650.02,76.33,\N,\N,8.661560213486634,0.1038903452695088,\N,\N,1.439,\N
HIP 110922,\N,\N,11.97,337.09753455,-25.90131026,22 28 23.41,-25 54 04.7,40.81,7.66,24.5038,16.67,-340.28,\N,\N,10.023832973866352,0.412473717454918,\N,\N,\N,\N
HIP 17666,23439,\N,7.67,56.75687379,41.43027841,03 47 01.65,+41 25 49.0,40.83,2.24,24.4918,598.96,-1239.94,\N,\N,5.724896899614986,0.11925023297800807,\N,\N,0.796,\N
HIP 80229,\N,\N,11.82,245.67281906,-48.65438229,16 22 41.48,-48 39 15.8,41.01,3.69,24.3843,-588.85,-483.34,\N,\N,9.884448846437424,0.19591472014368438,\N,\N,1.45,\N
HIP 6008,\N,\N,10.8,19.31461024,-13.26331464,01 17 15.51,-13 15 47.9,41.14,2.69,24.3072,366.31,21.12,\N,\N,8.871321436793528,0.14218781629127264,\N,\N,1.447,\N
HIP 113244,\N,\N,11.23,343.98587767,5.75574999,22 55 56.61,+05 45 20.7,41.15,2.65,24.3013,356.62,-269.74,\N,\N,9.301849197741443,0.14003345248899635,\N,\N,1.433,\N
HIP 11650,\N,\N,12.79,37.569093,5.26414062,02 30 16.58,+05 15 50.9,41.15,4.96,24.3013,71.15,-24.6,\N,\N,10.861849197741442,0.2630163477780201,\N,\N,-0.056,\N
HIP 115058,\N,\N,10.92,349.57357828,46.28896124,23 18 17.66,+46 17 20.3,41.19,1.87,24.2777,331.45,136.36,\N,\N,8.993958959782088,0.09865129081842561,\N,\N,1.434,\N
HIP 74815,\N,\N,11.08,229.33844896,-27.99716807,15 17 21.23,-27 59 49.8,41.21,3.88,24.266,-64.34,5.83,\N,\N,9.15501307262294,0.20505561345066603,\N,\N,1.366,\N
HIP 1276,\N,\N,11.58,4.00847381,-48.26027238,00 16 02.03,-48 15 37.0,41.32,3.89,24.2014,-46.25,-238.51,\N,\N,9.660801564237914,0.2050366997996811,\N,\N,1.647,\N
HIP 31126,\N,\N,10.58,97.9639012,-43.53397277,06 31 51.34,-43 32 02.3,41.35,2.16,24.1838,-275.0,-27.36,\N,\N,8.662377569442828,0.11353454953653497,\N,\N,1.432,\N
HIP 111932,\N,\N,11.76,340.08783535,7.90175333,22 40 21.08,+07 54 06.3,41.53,20.0,24.079,187.1,-177.12,\N,\N,9.851809655549392,1.1401072131613539,\N,\N,1.433,\N
HIP 93072,\N,\N,10.67,284.3857915,-19.04663555,18 57 32.59,-19 02 47.9,41.56,3.77,24.0616,97.63,115.16,\N,\N,8.7633776944257,0.1975220678541838,\N,\N,1.437,\N
HIP 49376,\N,\N,11.99,151.21152357,-31.09047519,10 04 50.77,-31 05 25.7,41.59,3.13,24.0442,-259.54,-256.8,\N,\N,10.084944601824668,0.16373128743976473,\N,\N,0.938,\N
HIP 4443,\N,\N,11.13,14.21060461,-11.58825278,00 56 50.55,-11 35 17.7,41.73,2.29,23.9636,-201.75,-239.76,\N,\N,9.232241923558544,0.11928282987038852,\N,\N,1.43,\N
HIP 98066,188376,\N,4.7,298.95927101,-26.29968718,19 55 50.23,-26 17 58.9,42.03,0.94,23.7925,203.96,74.4,\N,\N,2.8177969500271853,0.04857303105508004,\N,\N,0.748,\N
HIP 18115,\N,\N,11.44,58.09537918,-22.88297082,03 52 22.89,-22 52 58.7,42.09,6.17,23.7586,438.11,197.4,\N,\N,9.560894628740115,0.32062747394375,\N,\N,1.523,\N
HIP 10529,\N,\N,9.91,33.91876882,67.67781871,02 15 40.50,+67 40 40.1,42.46,2.51,23.5516,515.14,-318.06,\N,\N,8.0498999491499,0.12851525979482936,\N,\N,0.461,\N
HIP 112388,\N,\N,11.98,341.44229183,1.68984483,22 45 46.15,+01 41 23.4,42.55,4.25,23.5018,201.89,-46.31,\N,\N,10.124497822103034,0.21761769776375406,\N,\N,1.459,\N
HIP 12886,\N,\N,10.8,41.41391698,44.94906212,02 45 39.34,+44 56 56.6,42.59,2.21,23.4797,409.77,-125.87,\N,\N,8.946538200368746,0.1127792484763086,\N,\N,\N,\N
HIP 4189,\N,\N,11.92,13.34933515,-41.23799485,00 53 23.84,-41 14 16.8,42.61,15.51,23.4687,14.99,-198.96,\N,\N,10.06755767100227,0.8283907868789449,\N,\N,1.49,\N
HIP 738,\N,\N,11.73,2.266269,-27.12235235,00 09 03.90,-27 07 20.5,42.82,2.61,23.3536,696.09,87.88,\N,\N,9.8882333147921,0.13252165927928683,\N,\N,1.493,\N
HIP 89490,348274,\N,10.84,273.93172764,18.93980767,18 15 43.61,+18 56 23.3,43.1,2.18,23.2019,-37.29,-429.37,\N,\N,9.01238635080366,0.10992698285023206,\N,\N,1.5,\N
HIP 63882,\N,\N,11.74,196.37541923,37.13677988,13 05 30.10,+37 08 12.4,43.18,6.95,23.1589,-303.82,-202.49,\N,\N,9.91641318999106,0.3525734264462921,\N,\N,1.637,\N
HIP 67795,\N,\N,12.51,208.30948996,-38.34974431,13 53 14.28,-38 20 59.1,43.23,5.22,23.1321,-385.54,15.3,\N,\N,10.68892617766826,0.26348977945920016,\N,\N,1.5,\N
HIP 20222,\N,\N,11.46,64.99806964,36.48758798,04 19 59.54,+36 29 15.3,43.27,7.18,23.1107,213.95,-454.71,\N,\N,9.640934475993625,0.3636857212835558,\N,\N,1.45,\N
HIP 60970,\N,\N,11.91,187.47891094,36.44537349,12 29 54.94,+36 26 43.3,43.42,3.62,23.0309,142.0,-138.54,\N,\N,10.098449095592008,0.18146060248598594,\N,\N,0.8,\N
