HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 63742,113449,B-04 3408,\N,\N,0.847,0.993,5.965692174056911,6.072692174056912,G5V
HIP 80725,148653,B+18 3182,\N,\N,0.848,0.963,5.526349804879155,5.524349804879154,K2V
HIP 84405,155885,\N,C-26 12026,P-26  5858,0.855,0.999,5.444622332965418,6.224622332965417,K2:III:
HIP 92858,175073,\N,C-37 12969,P-37  8406,0.857,0.982,6.08795837929609,6.13295837929609,K1V
HIP 57866,103072,B+19 2511,\N,\N,0.86,1.018,6.381885719987996,6.485885719987995,K2
HIP 88601,165341,B+02 3482,\N,\N,0.86,\N,5.4981384588300966,\N,K0V SB
HIP 15099,20165,B+08  482,\N,\N,0.861,1.044,6.094131512805023,6.167131512805024,K0
HIP 13772,18455,\N,C-25  1169,\N,0.863,1.006,5.571312028740223,5.724312028740224,K1/K2V
HIP 61099,108984,B+21 2426,\N,\N,0.863,1,5.8995723560126425,6.003572356012642,K0
HIP 19255,25893,B+37  878,\N,\N,0.865,0.968,5.562734495315032,5.725734495315031,G5
HIP 69357,124106,B-11 3684,\N,\N,0.865,0.999,6.114945509061146,6.194945509061146,K1V
HIP 91605,\N,B+31 3330,\N,\N,0.865,1.087,6.650033365034024,6.732033365034025,K3V
HIP 114886,219538,B+29 4890,\N,\N,0.871,1.046,6.151327026408541,6.245327026408541,K2V
HIP 105911,203985,\N,C-45 14340,P-45 10150,0.876,1.037,5.632966279256298,5.721966279256298,K0V
HIP 7751,10360,\N,C-56   328,P-56   329,0.88,1.043,6.205107503975031,6.396107503975031,K0V
HIP 1768,1815,\N,C-27   101,P-27    24,0.888,1.014,6.545213170430884,6.659213170430883,K1V
HIP 35628,56168,B+67  483,\N,\N,0.888,1.033,6.340883786979336,6.452883786979336,K0
HIP 102226,197396,B+20 4691,\N,\N,0.889,1.034,6.236378559010497,6.346378559010496,K0
HIP 49366,87424,B-11 2787,\N,\N,0.891,1.066,6.324400703832632,6.419400703832631,K0
HIP 42418,73512,B+07 2008,\N,\N,0.897,1.044,5.8708573955745615,5.99485739557456,K0
HIP 114379,218738,B+47 4058,\N,\N,0.9,1.043,5.89628141462571,6.00828141462571,K0Ve
HIP 36827,60491,B-06 2184,\N,\N,0.9,1.011,6.187602617187347,6.279602617187347,K2V
HIP 71681,128621,\N,\N,\N,0.9,\N,5.702370679522524,\N,K1V
HIP 76382,139341,B+40 2905,\N,\N,0.906,1.055,5.0866967000302,5.1916967000302,K2V
HIP 94650,180263,B+11 3780,\N,\N,0.908,1.058,6.039133885366117,6.144133885366116,K0
HIP 7372,9770,\N,C-30   529,P-30   181,0.909,1.06,5.241188425734502,5.371188425734503,K3V
HIP 66125,\N,\N,\N,P-76   769,0.914,1.073,7.893771787163487,7.801771787163487,G
HIP 19930,26900,B+36  860,\N,\N,0.918,1.071,6.209772775233677,6.321772775233677,K2
HIP 51254,90663,B+07 2308,\N,\N,0.92,1.07,6.526685664962446,6.624685664962446,K0
HIP 105905,203850,\N,C-56  8316,P-56  9645,0.924,1.012,6.823393760893413,6.977393760893413,K3V
HIP 13976,18632,B+07  459,\N,\N,0.926,1.092,6.120104255567051,6.228104255567049,G5
HIP 95575,183255,B+49 3009,\N,\N,0.929,1.111,6.005592825276815,6.124592825276815,K3V
HIP 72875,131582,B+23 2751,\N,\N,0.934,1.127,6.850418656865603,6.965418656865603,K3V
HIP 108028,208038,B+20 5029,\N,\N,0.937,1.095,6.281200949229157,6.382200949229158,K0
HIP 102766,198425,B+31 4230,\N,\N,0.939,1.097,6.37810540712454,6.50010540712454,K2
HIP 63406,112914,B+42 2361,\N,\N,0.94,1.114,6.682902650429431,6.80190265042943,G9V
HIP 87579,\N,B+21 3245,\N,\N,0.94,1.114,6.522210331303617,6.6332103313036175,K0
HIP 61100,109011,B+55 1536,\N,\N,0.941,1.103,6.20295729563424,6.3229572956342395,K2V
HIP 12158,16287,B-03  410,\N,\N,0.944,1.105,6.168680706309356,6.274680706309356,K0
HIP 62505,111312,B-14 3581,\N,\N,0.946,1.084,6.299249886714747,6.361249886714748,K2V
HIP 35872,57901,B+13 1655,\N,\N,0.959,1.157,6.195408638920116,6.293408638920116,G5
HIP 86400,160346,B+03 3465,\N,\N,0.959,1.123,6.3808042151865685,6.478804215186569,K3V
HIP 107625,207144,\N,C-40 14498,P-40  9598,0.96,1.128,6.742441812567244,6.852441812567245,K3V
HIP 110066,211369,\N,C-49 13794,P-49 11578,0.961,1.129,6.376378559010497,6.4963785590104965,K3V
HIP 78913,144872,B+39 2950,\N,\N,0.963,1.126,6.725518250885683,6.840518250885683,K3V
HIP 32423,263175,B+32 1398,\N,\N,0.964,1.164,6.811385421500964,6.910385421500963,K3V
HIP 6917,8997,B+20  226,\N,\N,0.966,1.115,5.915407180054366,6.003407180054365,K2V
HIP 35296,57095,\N,C-46  3046,P-46  1360,0.975,\N,5.852622570486292,6.589622570486292,K2V
HIP 15797,\N,B+43  699,\N,\N,0.98,1.144,6.940883786979335,7.058883786979336,K2
HIP 45963,80715,B+40 2197,\N,\N,0.987,1.238,5.763958959782087,5.863958959782087,K2V
HIP 15673,232781,B+51  722,\N,\N,0.99,1.218,7.26874342729763,7.37774342729763,K5
HIP 21223,29086,\N,C-37  1799,P-37   540,0.99,1.191,6.746496550971689,6.877496550971689,K4V
HIP 45617,79969,B+29 1883,\N,\N,0.992,1.18,5.981278243771167,6.100278243771169,K3V
HIP 75266,136834,B+01 3071,\N,\N,0.992,1.2,6.254723683475417,6.3467236834754175,K3V
HIP 5842,7693,\N,C-69    51,P-69    44,1.0,1.26,5.597058468574319,5.813058468574318,K2V
HIP 97222,186858,B+33 3582,\N,\N,1.0,1.092,6.1349651604993465,6.169965160499347,K3V
HIP 24874,34865,B-15 1016,\N,\N,1.003,1.196,6.788680706309357,6.929680706309357,K3V
HIP 17544,23588,\N,C-28  1276,\N,1.012,1.132,6.521427578610652,6.643427578610652,K2V
HIP 84607,156668,B+29 2979,\N,\N,1.015,1.193,6.524422424977252,6.635422424977253,K2
HIP 83451,154712,B+59 1783,\N,\N,1.019,1.245,6.604499435319415,6.726499435319415,K4V...
HIP 117946,224129,B+21 4995,\N,\N,1.02,1.246,6.744723683475417,6.877723683475418,K0
