HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 8796,11443,B+28  312,\N,\N,0.488,0.526,1.9523086881567744,2.0083086881567755,F6IV
HIP 45038,78154,B+67  577,\N,\N,0.489,0.53,3.24521169514086,3.3152116951408583,F7IV-V
HIP 89937,170153,B+72  839,\N,\N,0.489,0.545,4.0190338780758745,4.093033878075874,F7Vvar
HIP 32366,49095,\N,C-31  3640,\N,0.491,0.523,3.9944860801656734,4.051486080165674,F7V
HIP 3810,4676,B+16   76,\N,\N,0.502,0.56,3.175881408875177,3.229881408875177,F8V...
HIP 76603,139461,B-08 4032,\N,\N,0.505,0.521,4.470590030960175,4.552590030960175,F6V
HIP 12530,16765,B-01  377,\N,\N,0.511,0.532,4.045089127062365,4.135089127062365,F7IV
HIP 68030,121560,B+14 2680,\N,\N,0.518,0.546,4.238698443095776,4.304698443095776,F6V
HIP 522,142,\N,C-49 14337,P-49 11858,0.519,0.556,3.655323035132496,3.7183230351324967,G1IV...
HIP 76602,139460,B-08 4031,\N,\N,0.52,0.559,4.78760257452937,4.8406025745293695,F6IV-V
HIP 93825,177474,\N,C-37 13048,P-37  8464,0.523,\N,2.9666705480795263,\N,F7IV-V
HIP 51933,91889,B-11 2918,\N,\N,0.528,0.562,3.756370862022939,3.8193708620229376,F7V
HIP 104858,202275,B+09 4746,\N,\N,0.529,0.543,3.13638766966291,3.215387669662909,F5V+...
HIP 99137,190422,\N,\N,P-55  9317,0.53,0.569,4.43137847312972,4.487378473129721,F8V
HIP 40167,68255,B+18 1867,\N,\N,0.531,\N,2.631439079760653,\N,G0V
HIP 73100,132254,B+50 2126,\N,\N,0.533,0.565,3.653829423519438,3.716829423519437,F7V
HIP 66704,119124,B+51 1859,\N,\N,0.537,0.571,4.300668229066191,4.383668229066191,F7.7V
HIP 74975,136202,B+02 2944,\N,\N,0.54,0.583,3.07512939217393,3.147129392173931,F8III-IV
HIP 101983,196378,\N,C-60  7508,P-60  7419,0.544,0.579,3.1913270264085405,3.2603270264085413,F8V
HIP 74605,136064,B+67  876,\N,\N,0.55,0.589,3.1335351484072334,3.196535148407232,F9IV
