HIP, DR3, DR2, DR1, Plx, e_Plx, parallax, parallas_error, distance_parallax
109670,"Gaia DR3 6566341101015290240","Gaia DR2 6566341101015290240","Gaia DR1 6566341096719256832",44.2,16.43,5.0764,0.0172000006,196.99
62951,"Gaia DR3 3510383187426543488","Gaia DR2 3510383187426543488",\N,48.07,26.65,5.3151,0.0271000005,188.1432
95326,"Gaia DR3 6738634573087514880","Gaia DR2 6738634573087514880",\N,77.71,57.93,5.6602,0.0533999987,176.6722
27111,"Gaia DR3 3336204190352220672","Gaia DR2 3336204190352220672",\N,44.67,14.98,5.8752,0.0296,170.207
117042,"Gaia DR3 2822750058525180288","Gaia DR2 2822750058525180288",\N,53.88,32.4,6.0914,0.0309999995,164.1659
42525,"Gaia DR3 913394034663259008","Gaia DR2 913394034663259008","Gaia DR1 913394030367411328",44.31,27.44,6.1308,0.0188999996,163.1109
109119,"Gaia DR3 2727006785000788864","Gaia DR2 2727006785000788864",\N,93.81,66.11,6.8076,0.0164000001,146.8946
93449,"Gaia DR3 6731199293213061632","Gaia DR2 6731199293213061632",\N,121.75,68.24,7.9872,0.4873999953,125.2003
117081,"Gaia DR3 2331411774161459328","Gaia DR2 2331411774161459328","Gaia DR1 2331411774161459328",58.45,47.16,8.7073,0.0214000009,114.8462
76051,"Gaia DR3 1165507206189500800","Gaia DR2 1165507206189500800","Gaia DR1 1165507201893810816",44.59,20.41,9.7341,0.0527000017,102.7316
63383,"Gaia DR3 3706179613896140416","Gaia DR2 3706179613896140416","Gaia DR1 3706179609599936384",45.19,44.19,11.4997,0.0172000006,86.9588
24502,"Gaia DR3 180702438220219904","Gaia DR2 180702438220219904","Gaia DR1 180702433923874176",39.77,22.4,12.2565,0.0326000005,81.5894
47645,"Gaia DR3 5663679231848426496","Gaia DR2 5663679231848426496","Gaia DR1 5663679227554026496",39.19,53.37,12.9289,0.0127999997,77.3461
80468,"Gaia DR3 1382298978990005632","Gaia DR2 1382298978990005632","Gaia DR1 1382298905975266560",39.35,18.4,13.3709,0.0110999998,74.7893
60553,"Gaia DR3 5838036590332780928","Gaia DR2 5838036590332780928","Gaia DR1 5838036586029347072",41.37,17.45,14.1196,0.0109999999,70.8235
82724,"Gaia DR3 5818211949014482816","Gaia DR2 5818211949014482816",\N,109.57,20.12,15.9252,0.0189999994,62.7936
114242,"Gaia DR3 2383287974004967552","Gaia DR2 2383287974004967552","Gaia DR1 2383287969710164224",50.3,10.82,23.6055,0.0148,42.363
67795,"Gaia DR3 6115335999832663808","Gaia DR2 6115335999832663808","Gaia DR1 6115335995538372992",43.23,5.22,23.7478,0.0187999997,42.1092
111932,"Gaia DR3 2715770081106897408","Gaia DR2 2715770081106897408","Gaia DR1 2715770081106897408",41.53,20,24.212,0.0154999997,41.3018
91154,"Gaia DR3 6631456997113317248","Gaia DR2 6631456997113317248","Gaia DR1 6631456992815550592",46.38,1.41,24.6534,0.3989000022,40.5624
30422,"Gaia DR3 3131481481815806976","Gaia DR2 3131481481815806976","Gaia DR1 3131481477515089792",41.09,10.14,25.0633,0.0219000001,39.899
79979,"Gaia DR3 6037514800213601024","Gaia DR2 6037514800213601024","Gaia DR1 6037514795908726016",56.82,23.38,25.5345,0.2319999933,39.1627
55605,"Gaia DR3 3817534337625985280","Gaia DR2 3817534337625985280",\N,62.03,26.14,27.0251,0.4691999853,37.0026
76603,"Gaia DR3 6317407201723597440","Gaia DR2 6317407201723597440","Gaia DR1 6317407197424923392",40.19,3.62,28.2972,0.3323999941,35.3392
19832,"Gaia DR3 3203456956075394944","Gaia DR2 3203456956075394944",\N,48.95,4.49,28.5012,0.2360000014,35.0862
74815,"Gaia DR3 6213898936567006464","Gaia DR2 6213898936567006464",\N,41.21,3.88,28.5542,0.0489000008,35.0211
66125,"Gaia DR3 5789459818720936320","Gaia DR2 5789459818720936320",\N,52.09,39.91,28.9452,0.0113000004,34.548
92756,"Gaia DR3 6650359354343258880","Gaia DR2 6650359354343258880",\N,40.13,10.43,29.6173,0.0155999996,33.7641
63121,"Gaia DR3 1517698613271954304","Gaia DR2 1517698613271363840",\N,39.95,23.72,30.6121,0.0666000023,32.6668
67655,"Gaia DR3 5871764831114179968","Gaia DR2 5871764831114179968","Gaia DR1 5871764826769112192",40.02,1,30.6438,0.2246000022,32.633
86346,"Gaia DR3 1436001566431649792","Gaia DR2 1436001566431649792",\N,40.75,12.06,31.4419,0.908100009,31.8047
76602,"Gaia DR3 6317407201723597952","Gaia DR2 6317407201723597952",\N,44.21,4.72,32.6269,0.0264999997,30.6496
114379,"Gaia DR3 1942532726377141120","Gaia DR2 1942532726377141120","Gaia DR1 1942532722079086208",39.56,7.67,32.8547,0.0188999996,30.437
107143,"Gaia DR3 6578350001374194816","Gaia DR2 6578350001374194816",\N,42.4,3.35,33.3957,0.6593000293,29.944
4328,"Gaia DR3 4922358908667577728","Gaia DR2 4922358908667577728",\N,39.56,3.38,33.4928,0.0187999997,29.8572
87773,"Gaia DR3 4604269610637580928","Gaia DR2 4604269610637580928","Gaia DR1 4604269606339772160",39.56,2.14,33.6484,0.0098999999,29.7191
112388,"Gaia DR3 2656072582608536320","Gaia DR2 2656072582608536320",\N,42.55,4.25,33.651,0.0230999999,29.7168
77268,"Gaia DR3 5986321332691510656","Gaia DR2 5986321332691510656","Gaia DR1 5986321328357668224",39.78,2.62,33.7646,0.0173000004,29.6168
60970,"Gaia DR3 1519311253230298880","Gaia DR2 1519311253230298880",\N,43.42,3.62,33.8899,0.0960000008,29.5073
1349,"Gaia DR3 4924503334299333888","Gaia DR2 4924503334299333888",\N,43.45,1.19,34.0152,0.5274000168,29.3986
114716,"Gaia DR3 6492999277396746752","Gaia DR2 6492999277396746752",\N,39.09,2.81,34.2904,0.0200999994,29.1627
58688,"Gaia DR3 3460498276156113664","Gaia DR2 3460498276156113664","Gaia DR1 3460498271860621184",42,2.81,34.6217,0.1691000015,28.8836
59780,\N,"Gaia DR2 3472485972258777088",\N,49.62,3.08,34.6372,0.7617999911,28.8707
100356,"Gaia DR3 6475337306723609600","Gaia DR2 6475337306723609600",\N,43.57,2.85,34.8886,0.9732999802,28.6627
14589,"Gaia DR3 5074705521824867200","Gaia DR2 5074705521824867200","Gaia DR1 5074705517528702720",45.83,11.06,34.9478,0.0160000008,28.6141
75686,"Gaia DR3 4421274729329022336","Gaia DR2 4421274729329022336","Gaia DR1 4421274725032942720",39.03,1.7,35.3547,0.0192000009,28.2848
22498,"Gaia DR3 478737331356716800","Gaia DR2 478737331356716800","Gaia DR1 478737327059586048",42.59,17.78,35.6135,0.0156999994,28.0792
21492,"Gaia DR3 471205058231083648","Gaia DR2 471205058231083648","Gaia DR1 471205053932250368",39.88,5.06,35.6822,0.0236000009,28.0252
83147,"Gaia DR3 4112138303515401216","Gaia DR2 4112138303515401216","Gaia DR1 4112138303515401216",39.86,11.61,35.9826,0.065200001,27.7912
39903,"Gaia DR3 5289757523635492096","Gaia DR2 5289757523635492096",\N,46.75,3.38,36.2472,0.9954000115,27.5883
34950,"Gaia DR3 870758684590736896","Gaia DR2 870758684590736896","Gaia DR1 870758680293810176",39.72,1.29,36.3141,0.0251000002,27.5375
19333,"Gaia DR3 4681579571719845632","Gaia DR2 4681579571719845632","Gaia DR1 4681579567424185728",39.03,0.93,36.6428,0.0097000003,27.2905
40170,"Gaia DR3 935525039066950528","Gaia DR2 935525039066950528","Gaia DR1 935525034771040896",40.94,1.87,36.6511,0.0153999999,27.2843
90979,"Gaia DR3 4154598526336121600","Gaia DR2 4154598526336121600","Gaia DR1 4154598521997533312",39.34,1.76,36.7534,0.0156999994,27.2084
73631,"Gaia DR3 5906724284318405760","Gaia DR2 5906724284318405760","Gaia DR1 5906724314370201856",40.22,1.54,36.7855,0.0166999996,27.1846
29548,"Gaia DR3 1007904858732031104","Gaia DR2 1007904858732031104","Gaia DR1 1007904854435176320",40.38,1.41,36.8064,0.0161000006,27.1692
16209,"Gaia DR3 222749343414443648","Gaia DR2 234758965325900416","Gaia DR1 234758961030907008",39.19,2.52,36.9072,0.0226000007,27.095
98192,"Gaia DR3 2030317253745186432","Gaia DR2 2030317253745186432","Gaia DR1 2030317249413069056",39.24,0.97,37.0287,0.0286999997,27.0061
30256,"Gaia DR3 2936850125355960576","Gaia DR2 2936850125354292480","Gaia DR1 2936850121054270592",40.52,9.15,37.0651,0.0234999992,26.9796
104137,"Gaia DR3 1732878776902363264","Gaia DR2 1732878776902363264","Gaia DR1 1732878772606083200",43.63,4.58,37.0772,0.0278999992,26.9708
52470,"Gaia DR3 832417236660307072","Gaia DR2 832417236660307072","Gaia DR1 832417232364913920",39.56,0.99,37.2802,0.0249000005,26.8239
48447,"Gaia DR3 3847123707357532672","Gaia DR2 3847123707357532672","Gaia DR1 3847123703067289088",45.21,3.77,37.2803,0.0204000007,26.8238
51473,"Gaia DR3 5444096348783212928","Gaia DR2 5444096348779619712","Gaia DR1 5444096344485094912",39.16,2.17,37.2962,0.0275999997,26.8124
57866,"Gaia DR3 3975078892003894144","Gaia DR2 3975078892003894144","Gaia DR1 3975078887708638208",39.48,1.58,37.315,0.0228000004,26.7989
