70890,"Gaia DR3 5853498713190525696",772.33,2.42,768.0665,0.0499,1.3011
87937,"Gaia DR3 4472832130942575872",549.01,1.58,546.9759,0.0401,1.8275
54035,"Gaia DR3 762815470562110464",392.4,0.91,392.7529,0.0321,2.5453
92403,"Gaia DR3 4075141768785646848",336.48,1.82,336.0266,0.0317,2.9762
114046,"Gaia DR3 6553614253923452800",303.9,0.87,304.1354,0.02,3.2877
57548,"Gaia DR3 3796072592206250624",299.58,2.2,296.3053,0.0302,3.3731
104217,"Gaia DR3 1872046574983497216",285.42,0.72,286.0054,0.0289,3.4947
104214,"Gaia DR3 1872046609345556480",287.13,1.51,285.9949,0.0599,3.4904
91768,"Gaia DR3 2154880616774131840",280.28,2.57,283.8401,0.022,3.522
91772,"Gaia DR3 2154880616774131712",284.48,5.01,283.8378,0.0287,3.5236
1475,"Gaia DR3 385334230892516480",280.27,1.05,280.7068,0.0203,3.5625
108870,"Gaia DR3 6412595290592307840",275.76,0.69,274.8431,0.0956,3.6481
8102,"Gaia DR3 2452378776434477184",274.17,0.8,273.8097,0.1701,\N
5643,"Gaia DR3 2358524597030794112",269.05,7.57,269.0573,0.0337,\N
36208,"Gaia DR3 3139847906307949696",263.26,1.43,264.1269,0.0413,3.786
24186,"Gaia DR3 4810594479418041856",255.26,0.86,254.1986,0.0168,3.9346
105090,"Gaia DR3 6583272171336048640",253.37,1.13,251.9124,0.0352,\N
80824,"Gaia DR3 4330690742322011520",234.51,1.82,232.139,0.0268,\N
3829,"Gaia DR3 2552928187080872832",226.95,5.35,231.78,0.0183,\N
86162,"Gaia DR3 1637645127018395776",220.85,0.92,219.7898,0.021,4.549
85523,"Gaia DR3 5951824121022278144",220.43,1.63,219.6463,0.0262,4.5522
57367,"Gaia DR3 5332606522595645952",216.4,2.11,215.6753,0.0181,\N
113020,"Gaia DR3 2603090003484152064",212.69,2.1,214.038,0.0356,4.665
49908,"Gaia DR3 823773494718931968",205.22,0.81,205.3148,0.0224,4.8722
54211,"Gaia DR3 778947814402602752",206.94,1.19,203.8876,0.0332,4.9055
106440,"Gaia DR3 6562924609150908416",202.53,1.33,201.3252,0.0237,4.9647
86214,"Gaia DR3 5955305209191546112",198.32,2.43,199.6944,0.0312,5.0035
112460,"Gaia DR3 1934263333784036736",198.07,2.05,197.9573,0.022,\N
57544,"Gaia DR3 1129149723913123456",185.48,1.43,190.3251,0.0194,5.2528
67155,"Gaia DR3 3741297293732404352",184.13,1.27,183.9962,0.0253,5.4354
21088,"Gaia DR3 470826482637310080",181.36,3.67,181.2438,0.0499,\N
33226,"Gaia DR3 939072613334579328",181.32,1.87,179.0629,0.028,5.5781
103039,"Gaia DR3 6882963066420161664",182.15,3.68,177.9312,0.0365,5.6148
25878,"Gaia DR3 3209938366665770752",175.72,1.2,175.3131,0.0204,\N
29295,"Gaia DR3 2940856402123426176",173.19,1.12,173.574,0.017,\N
96100,"Gaia DR3 2261614264931057664",173.41,0.46,173.4939,0.0748,5.7628
26857,"Gaia DR3 3340477717172813568",172.78,3.88,172.6762,0.0286,5.7885
73184,"Gaia DR3 6232511606838403968",169.32,1.67,169.8843,0.0653,5.887
86990,"Gaia DR3 5918660719983560192",172.08,2.22,169.8042,0.0465,5.8922
117473,"Gaia DR3 2739689239311660672",167.51,1.49,169.2163,0.0281,5.9056
94761,"Gaia DR3 4293318823182081408",170.26,1.37,169.0615,0.0239,5.9095
76074,"Gaia DR3 6002807341299977216",168.52,1.42,168.9965,0.027,5.9146
84478,"Gaia DR3 4109034455276324608",167.56,1.06,167.9617,0.0311,5.9525
37766,"Gaia DR3 3136952686035250688",168.59,2.67,166.9769,0.0343,5.9792
99461,"Gaia DR3 6697578465310949376",165.24,0.9,166.3272,0.1065,\N
34603,"Gaia DR3 946632924007399936",157.24,3.32,165.2147,0.0636,\N
99240,"Gaia DR3 6427464123776727168",163.73,0.65,163.9544,0.1222,6.099
99701,"Gaia DR3 6673000841376349696",161.17,1.08,162.2171,0.0225,6.1659
71253,"Gaia DR3 6324325225803432320",163.51,2.77,159.9225,0.0546,6.2554
74995,"Gaia DR3 6322070093095493504",159.52,2.27,158.7183,0.0301,6.2984
45343,"Gaia DR3 1022456139210632064",161.59,5.23,157.8879,0.0197,6.3395
120005,"Gaia DR3 1022456104850892928",159.48,6.61,157.8825,0.0211,\N
