1.98,63.03
3.03,80.63
0.93,39.06
1.41,86.98
0.82,62.48
1.08,229.33
2.74,85.1
1.05,49.3
0.64,39
2.73,56.92
0.75,72.98
1.92,45.64
2.61,42.82
0.56,59.89
2.29,39.19
0.77,52.94
0.66,45.85
0.78,49.18
3.31,51.12
17.24,191.86
3.89,41.32
0.53,56.76
21.56,49.91
3.44,44.82
1.19,43.45
1.12,66.71
2.77,42.65
2.2,61.67
1.05,280.27
0.85,42.67
1.73,48.17
0.81,40.25
0.64,116.38
3.03,39.31
20.16,46.72
33.05,43.42
2.02,55.68
3.98,50.1
2.19,54.91
7.12,44.57
0.91,49.05
1.15,44.97
2.63,47.4
2.72,50.71
1.08,55.53
0.51,133.78
0.69,42.51
0.78,42.14
1.51,61.39
3.37,98.74
0.62,39.03
1.15,47.51
1.4,64.38
1.94,43.4
0.72,90.03
2.59,43.64
0.56,39.26
0.98,57.9
1.93,50.29
1.98,42.03
1.04,48.16
0.56,45.76
0.95,45.43
0.73,66.92
1.6,62.41
0.86,134.04
0.75,41.8
2.06,46.32
0.62,167.99
5.35,226.95
1.02,53.09
0.7,46.47
1.03,64.69
9.08,83.2
0.97,45.27
1.66,45.71
2.12,54.23
1.44,65.81
0.78,71.01
0.6,53.85
15.51,42.61
3.38,39.56
2.29,41.73
1.01,41.45
1.07,51.66
2.88,76.32
4.48,46.22
1.61,46.61
1.23,122.77
1.39,99.44
5.26,61.23
2.56,45.24
1.27,66.46
1.06,48.2
0.6,132.4
3.65,46.11
7.53,122.86
7.57,269.05
1.55,45.4
0.89,41.01
1.94,60.76
1.25,47.36
0.64,66.43
0.53,48.94
0.75,42.3
1.59,44.03
2.38,60.61
2.69,41.14
14.87,65.3
3.65,45.22
5.18,52.71
1.05,41.44
1.59,59.29
3.53,42.73
0.59,59.46
0.8,39.07
0.93,43.16
2.12,56.42
0.88,51.27
0.6,47.65
1.47,42.29
0.72,74.25
1.63,45.79
0.96,42.35
2.92,52.95
0.8,46.73
1.41,122.75
36.67,61.3
0.83,79.09
0.64,57.63
0.91,133.91
2.01,48.11
1.99,88.86
1.11,74.45
0.8,274.17
2.67,40.43
1.38,43.37
0.68,100.24
4.35,48.23
4.48,43.47
0.87,42.35
3.05,56.35
3.79,63.08
1.37,90.17
0.82,50.87
1.09,45.16
0.75,54.74
0.62,57.19
0.78,50.76
0.55,45.74
0.9,40.74
3.68,83.2
1.11,39.16
2.04,105.94
1.97,44.37
3,105.64
0.94,43.14
0.99,49.48
3.34,50.34
0.61,91.63
3.5,48.22
1.8,96.28
2.63,39.26
1.67,43
0.91,39.1
2.81,80.79
1.18,43.73
2.51,42.46
2.51,42.46
1.69,44.96
2.88,70.16
0.84,92.2
2.95,40.4
0.92,40.04
0.72,78.88
2.99,71.56
1.07,39.3
1.3,83.93
0.82,45.6
1.94,48.01
1.75,60.22
1.95,52.9
4.96,41.15
0.8,44.31
0.86,86.87
1.89,71.6
1.04,47.04
1.04,138.72
1.25,41.09
0.64,39.16
3.03,67.2
1.3,60.51
0.82,46.42
1.46,44.84
1.31,46.24
1.25,40.52
0.55,58
0.95,39.78
1.27,53.89
3.45,42.19
0.79,89.03
2.48,132.42
0.76,71.56
2.21,42.59
1.53,62.83
1.58,42.01
1.15,44.71
1.46,76.45
1.33,44.61
1.68,70.19
1.9,86.91
0.77,96.33
1.26,43.71
2.55,44.49
1.22,42.66
38.04,92.97
0.89,47.25
3.85,47.81
0.84,43.74
1.78,67.69
5.03,52.38
33.98,114.73
1.03,46.54
11.06,45.83
0.67,94.93
1.35,46.91
4.26,64.83
4.24,57.53
1.46,98.5
0.67,70.86
0.75,44.69
1.39,54.48
1.09,44.96
0.59,41.05
6.3,74.29
0.54,82.51
3.44,47.29
2.53,42.72
2.19,57.75
0.53,82.79
2.61,48.81
0.98,40.52
0.78,109.18
0.55,165.02
1.63,72.8
1.24,44.03
61.79,227.45
5.62,50.16
1.73,50.64
1.24,39.1
1.04,58.53
4.66,50.54
0.95,66.15
1.9,40.18
1.42,61.07
2.25,79.26
2.52,39.19
1.88,46.16
0.48,46.65
9.1,41.67
2.05,92.05
0.85,310.75
0.83,74.86
0.78,72.89
0.86,41.07
1.11,39.84
2.01,39.87
0.88,110.58
2.37,61.4
1.98,58.09
0.91,71.17
0.67,61.63
1.44,45.87
1.41,45.95
1.78,68.62
0.69,55.79
2.24,40.83
3.02,61.45
2.56,57.59
2.68,57.53
2.68,57.53
6.17,42.09
2.69,39.48
1.02,48.36
1.18,64.9
0.95,46.95
0.96,46.74
0.9,56.69
2,63.41
0.87,62.57
0.75,52
1.08,54.14
0.84,59.79
1.64,42.54
0.5,43.12
1.17,48.59
0.93,39.03
0.77,46.87
2.19,73.01
2.01,66.82
0.79,54.17
4.49,48.95
0.84,198.24
1.15,47.86
1.08,47.2
0.63,76.46
0.5,49.26
0.5,54.84
1.16,39.08
6.24,47.05
7.18,43.27
1.05,87.17
56.47,120.7
4.74,84.76
3.24,49.73
3.67,181.36
0.93,39.93
0.8,44.52
0.95,50.09
1.21,56.02
5.06,39.88
1.2,98.12
1.81,90.23
4.13,49.58
0.53,49.67
1.24,74.13
2.51,106.16
0.99,44.74
0.64,48.9
0.8,75.1
0.95,124.6
0.71,55.59
17.78,42.59
3.99,82.52
3.55,89.47
1.97,80.89
0.9,55.67
2.45,51.51
1.56,60.48
0.82,113.46
0.58,44.94
1.81,117.38
2.95,107.86
1.76,71.35
0.46,85.83
0.89,86.76
1.14,41.7
0.93,63.02
2,107.3
0.7,39.99
0.86,255.26
8.94,78.5
3.43,41.94
22.4,39.77
0.89,77.29
2.13,49.34
0.76,40.11
0.9,79.08
1.68,59.29
1.26,41.09
0.52,47.66
1.52,50.24
1.5,69.76
0.94,68.19
0.97,56.36
0.76,55.76
0.52,51.1
5.22,115.04
0.91,77.03
0.54,66.92
2.16,57.5
3.73,51.56
1.2,175.72
3.37,78.3
3.88,59.45
1.29,87.9
15.54,41.23
1.74,41.9
0.45,54.92
0.94,39.59
1,48.72
0.83,81.69
1.67,80.13
2.35,46.51
3.88,172.78
0.6,111.49
0.74,39.15
0.75,39.08
14.98,44.67
1.11,73.04
1.03,48.6
0.68,46.47
0.51,51.87
1.06,48.2
1.49,66.71
1.19,64.25
1.66,49.74
0.53,77.95
1.08,115.43
1.19,43.86
1.94,68.58
0.74,66.47
1.77,42.17
0.93,43.1
0.78,39.72
21.52,73.58
24.41,66.82
0.91,64.71
2.61,87.64
1.78,40.12
0.45,98.54
1.44,106.43
1.12,173.19
4.56,92.77
0.87,43.26
0.96,55.2
1.41,40.38
0.75,59.9
0.86,47.33
0.9,51
0.78,51.76
9.15,40.52
0.49,42.56
13.63,48.08
13.63,48.08
10.14,41.09
0.63,45.38
1.1,68.2
33.89,55.52
2.64,242.89
2.16,41.35
13.42,119.54
3.18,114.18
1.89,61.28
1.52,51.51
0.7,50.41
1.61,66.11
2.35,101.59
0.64,46.15
1.05,76.47
0.91,45.56
1.37,57.07
4.88,44.43
1.58,379.21
0.83,57.02
0.56,41.2
1.22,40.02
0.53,56.02
0.73,60.56
3.37,64.91
0.53,39.66
1.3,60.96
1.23,53.12
1.01,39.19
0.86,114.94
2.18,94.02
1.87,181.32
0.9,57.89
1.41,41.53
1.86,53.67
2.64,124.62
0.88,41.25
2.28,44.83
0.54,54.33
2.21,43.88
0.72,68.42
0.97,48.96
1.13,53.47
0.84,52.37
0.94,58.89
1.05,61.54
6.81,66.29
2.74,64.96
2.88,65.44
2.16,41.63
2.46,58.04
2.19,56.51
1.43,44.92
1.02,40.68
3.32,157.24
1.44,39.4
0.53,47.22
0.95,50.02
1.29,39.72
0.69,59.31
2.42,81.05
0.86,67.69
2.16,69.21
28.98,52.47
2.45,50.59
0.85,55.45
1.15,39.1
1.91,61.68
1.14,39.91
1.7,41.56
1.43,263.26
0.53,44.43
2.71,50.93
2.61,79.65
2.68,64.24
1.24,56.98
0.95,54.06
0.81,50.25
0.58,45.93
1.28,47.09
3.87,87.61
4.85,87.15
2.14,40.48
1.29,50.8
1.26,40.32
2.17,87.01
1.23,63.27
3.31,39.31
2.56,76.31
0.8,39.66
1.53,69.85
2.99,92.15
0.88,285.93
1.51,67.27
0.94,70.44
0.81,41.43
2.67,168.59
2.18,40.58
0.87,96.74
0.56,65.79
2.66,70.74
0.89,45.84
0.95,59.98
0.54,55.48
1.57,51.16
1.85,52.01
1.05,50.05
