HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
111766,\N,\N,\N,\N,1.593,\N,10.644587808083429,\N,\N
100356,\N,\N,\N,\N,1.594,1.493,8.405937799678771,8.75093779967877,"M0"
29052,\N,\N,\N,\N,1.6,\N,11.58351184444334,\N,\N
53947,\N,\N,\N,\N,1.6,\N,10.146828108279646,\N,\N
84123,\N,\N,\N,\N,1.6,\N,11.28258588223396,\N,"G"
80824,\N,"B-12 4523",\N,\N,1.604,\N,11.950806833383902,\N,"M4"
90265,"336187","B+24 3411",\N,\N,1.605,\N,9.159536463830104,\N,"K5"
110893,"239960","B+56 2783",\N,\N,1.613,1.698,11.575526808745437,11.956526808745437,"M2V"
38956,\N,\N,\N,\N,1.618,\N,12.46121216755786,\N,"M4V"
106106,\N,\N,\N,\N,1.62,1.769,11.185559325902197,11.366559325902195,"M4"
62556,\N,\N,\N,\N,1.626,\N,10.899230268224484,\N,"M4"
6365,\N,\N,"C-47   399",\N,1.627,\N,9.633664464085982,\N,"M3"
54658,\N,\N,\N,\N,1.632,\N,9.774628073194997,\N,"M4"
48659,\N,\N,\N,\N,1.635,\N,11.744076043254005,\N,\N
33499,\N,\N,"C-44  3045","P-44  1190",1.636,\N,11.287938734593714,\N,"M4+..."
63882,\N,\N,\N,\N,1.637,\N,9.91641318999106,\N,"M4"
1276,\N,\N,"C-48    33",\N,1.647,\N,9.660801564237914,\N,"M5"
76832,\N,\N,\N,\N,1.65,\N,11.640293235469692,\N,"M4"
25578,\N,\N,\N,\N,1.653,\N,12.784244365194038,\N,"M5"
110400,\N,\N,\N,\N,1.653,\N,11.08592294841212,\N,"M5"
113201,\N,\N,\N,\N,1.653,\N,9.63405573459482,\N,"M4"
23512,\N,\N,\N,\N,1.661,\N,11.874302079760719,\N,"K:"
60910,\N,\N,\N,\N,1.668,\N,11.329398917291897,\N,"M:"
26844,\N,\N,\N,\N,1.689,1.516,9.057731697557584,9.109731697557583,"M0"
30920,\N,\N,\N,\N,1.69,\N,13.047048174391662,\N,"M4.5Ve"
83945,\N,\N,\N,\N,1.696,\N,12.466876322199859,\N,"M3"
34603,\N,\N,\N,\N,1.7,\N,12.632815175740257,\N,"M5Ve"
106255,\N,\N,\N,\N,1.703,\N,12.441420891224322,\N,"M4e..."
108706,\N,\N,\N,\N,1.718,\N,12.227737165393174,\N,\N
82724,\N,\N,\N,\N,1.729,\N,12.04845830824513,\N,"Mp"
103544,\N,\N,\N,\N,1.741,1.432,9.36721884506586,9.27421884506586,"M2"
1242,\N,\N,\N,\N,1.75,1.249,12.904922200669773,13.231922200669775,"M:"
5643,\N,\N,\N,\N,1.85,\N,14.249164981912566,\N,"M5.5Ve"
41824,\N,\N,\N,\N,1.85,\N,11.36186453699218,\N,"M5Ve"
75187,\N,"B+21 2763",\N,\N,2.1,1.475,10.377225245125153,10.005225245125153,"M9"
77514,\N,\N,\N,\N,2.2,\N,11.648887687540892,\N,"M:"
66906,\N,\N,\N,\N,2.4,\N,12.234790866921038,\N,"M:"
82099,\N,\N,\N,\N,2.4,\N,10.643026529194847,\N,"M:"
50798,\N,\N,\N,\N,3.5,\N,11.449893954972916,\N,\N
