HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
44955,\N,"B+33 1814",\N,\N,1.38,1.672,8.331549444707388,8.472549444707388,"M2"
59780,"106549",\N,"C-30  9789","P-30  3447",1.383,1.599,8.218283799680952,8.449283799680952,"K5V"
66492,\N,"B+48 2138",\N,\N,1.384,1.672,8.067679535771083,8.490679535771083,"M0..."
38594,\N,\N,"C-24  6144","P-24  3055",1.385,1.505,8.294652679033081,8.499652679033082,"M"
66222,\N,"B+05 2767",\N,\N,1.385,1.681,8.391208979888559,8.58820897988856,"M0.5V:"
77725,\N,"B+11 2874",\N,\N,1.385,1.674,7.570547609894241,7.821547609894241,"M2"
23708,\N,\N,"C-57  1079","P-57   737",1.386,1.644,8.671597716710778,8.774597716710778,"K7V"
41802,\N,\N,\N,\N,1.387,\N,9.504733071663125,\N,\N
12961,\N,\N,"C-23  1056",\N,1.389,1.553,8.366763407689959,8.62576340768996,"M0"
169,"224953",\N,"C-68  2373","P-68  3594",1.39,1.506,8.237736535628077,8.292736535628077,"M0V"
69824,\N,"B+46 1951",\N,\N,1.391,1.801,8.837443845897807,9.060443845897808,"M0"
40239,\N,"B-13 2439",\N,\N,1.393,1.567,7.703679842593527,8.083679842593526,"M0V"
114954,\N,\N,"C-24 17578",\N,1.395,1.546,9.247122188506237,9.396122188506238,"K7"
12351,\N,\N,"C-58   538","P-58   223",1.396,1.536,8.38913576466214,8.611135764662139,"M0Ve"
11452,"15285","B+03  339",\N,\N,1.397,1.665,7.588703755883703,7.7817037558837026,"K7V:"
105090,"202560",\N,"C-39 14192","P-39  8920",1.397,\N,8.70877595712229,\N,"M1/M2V"
114252,\N,"B-16 6218",\N,\N,1.397,\N,9.171955492012335,\N,"Me"
9749,\N,\N,"C-28   657",\N,1.4,\N,9.115447143582777,\N,"K"
39896,\N,"B+33 1646",\N,\N,1.4,1.673,8.317936587863837,8.564936587863837,"M0.5V:e"
42748,\N,"B+10 1857",\N,\N,1.4,1.661,8.993858185921491,9.158858185921492,"M0"
45116,\N,\N,\N,\N,1.402,\N,8.944320181549198,\N,"M0"
28153,\N,\N,"C-46  2096",\N,1.404,2.269,8.715018005074318,8.942018005074319,"M:"
89517,\N,"B+13 3578",\N,\N,1.404,1.777,8.783689885092127,8.913689885092127,"M0"
74261,\N,\N,"C-42 10084",\N,1.406,\N,8.63975702066761,\N,"M0"
96121,\N,"B+00 4241",\N,\N,1.406,\N,8.630343136707522,\N,"M1"
109084,\N,"B-12 6174",\N,\N,1.408,1.535,8.466584402830561,8.603584402830561,"M0"
473,"38","B+45 4408",\N,\N,1.41,1.655,7.8496478004229395,7.94864780042294,"K2"
111571,"214100","B-01 4323",\N,\N,1.411,\N,8.760897584219046,\N,"K5"
59748,\N,"B+49 2126",\N,\N,1.412,1.653,8.729930559004167,8.858930559004166,"M2V"
23147,\N,"B+49 1280",\N,\N,1.413,2.035,8.708058912465752,8.91905891246575,"M2"
49973,\N,"B-17 3088",\N,\N,1.413,1.705,8.769117490037583,9.131117490037585,"K7V"
67960,"121271",\N,"C-28 10318","P-28  4803",1.414,1.398,8.405138000494222,8.603138000494223,"K5/M0V"
26335,"245409","B+11  878",\N,\N,1.415,1.694,8.49994437536886,8.758944375368861,"K7"
91128,\N,"B+45 2743",\N,\N,1.415,1.373,8.891498705200844,9.125498705200844,"M2"
52600,\N,"B+39 2376",\N,\N,1.416,1.695,8.412312163807584,8.679312163807584,"M2"
42220,\N,"B+67  552",\N,\N,1.417,1.686,8.565455773367567,8.752455773367569,"M2"
897,\N,"B-06   15",\N,\N,1.418,\N,8.825876317390513,\N,"M2"
44722,\N,"B-08 2582",\N,\N,1.418,1.806,8.689835091843275,8.896835091843275,"M0"
58688,\N,\N,"C-37  7614",\N,1.419,1.291,8.636246451989503,8.828246451989504,"M0V"
66587,\N,"B-05 3740",\N,\N,1.419,1.564,8.75490814803716,9.08990814803716,"K5"
70529,\N,"B+24 2733",\N,\N,1.419,1.741,8.64404415155353,8.725044151553531,"M1"
35495,\N,"B+33 1505",\N,\N,1.42,\N,8.580323397042838,\N,"M2:"
106803,\N,\N,\N,\N,1.42,1.559,9.017122188506239,9.217122188506238,"M2"
107705,\N,\N,"C-72  1700","P-72  2640",1.42,1.505,8.49195844749127,8.844958447491269,"M2Ve"
120005,"79211","B+53 1321",\N,\N,1.42,\N,8.713531134951783,\N,"K2"
63253,\N,"B+36 2322",\N,\N,1.423,1.855,9.282447322908876,9.406447322908877,"M0Vvar"
75798,\N,\N,\N,\N,1.423,1.304,8.528323893942085,8.689323893942086,\N
3008,\N,\N,\N,\N,1.424,1.337,8.667448647562555,8.868448647562554,"M0"
8768,"11507",\N,"C-23   693","P-23   215",1.424,1.644,8.665310348375161,8.848310348375161,"K5/M0V"
54803,\N,\N,\N,\N,1.424,1.529,8.379717174144865,8.281717174144866,"M0:"
3813,\N,\N,"C-50   210",\N,1.426,1.23,9.088842753596898,9.374842753596898,"M2"
109812,\N,\N,\N,\N,1.426,\N,8.849035326371643,\N,"M0"
70849,\N,\N,"C-45  9206","P-45  6863",1.427,1.495,8.461200949229156,8.598200949229156,"K5"
48447,\N,\N,\N,\N,1.429,1.422,8.846172535171473,9.105172535171473,"K4"
70308,\N,\N,"C-67  1583",\N,1.429,1.803,8.381188425734504,8.572188425734502,"M1V:"
84487,\N,"B-12 4699",\N,\N,1.429,1.679,8.489509158658358,8.503509158658357,"M0"
4443,\N,"B-12  165",\N,\N,1.43,\N,9.232241923558544,\N,\N
10191,"13513",\N,"C-36   816",\N,1.43,1.565,8.566136030207176,8.984136030207175,"K0"
15220,\N,\N,\N,\N,1.43,\N,9.88465179174348,\N,"M2"
23452,"32450","B-21 1051",\N,\N,1.43,1.663,8.657970525887773,8.913970525887773,"M0V"
110980,\N,\N,\N,\N,1.431,\N,8.809105790278526,\N,\N
117886,\N,"B-22 6219",\N,\N,1.431,\N,8.83405573459482,\N,"M0"
3261,\N,\N,"C-34   239",\N,1.432,2.354,9.087408178104637,9.153408178104637,\N
31126,\N,\N,"C-43  2523","P-43   912",1.432,\N,8.662377569442828,\N,\N
42881,\N,\N,"C-44  4756",\N,1.432,\N,9.339142529478924,\N,"M2V:"
94739,"179930",\N,"C-46 12902","P-46  9672",1.432,1.522,8.39147355698732,8.56447355698732,"K9V..."
93069,"175224",\N,"C-56  7546","P-56  9037",1.433,1.691,8.351980229650046,8.534980229650046,"M2V"
106694,\N,\N,\N,\N,1.433,1.53,8.521229265370621,8.775229265370621,"M0..."
111932,\N,\N,\N,\N,1.433,\N,9.851809655549392,\N,"M0V:"
113244,\N,\N,\N,\N,1.433,\N,9.301849197741443,\N,"M0V:"
115058,\N,"B+45 4188",\N,\N,1.434,\N,8.993958959782088,\N,"M1"
93072,\N,\N,\N,\N,1.437,\N,8.7633776944257,\N,\N
15973,\N,\N,"C-43  1064",\N,1.439,\N,9.280049662061153,\N,"A5"
36626,\N,"B+36 1638",\N,\N,1.439,1.636,10.23276840167105,10.384768401671051,"M3.5Ve"
60093,\N,"B+29 2279",\N,\N,1.439,\N,8.661560213486634,\N,"M2V"
6097,\N,\N,\N,\N,1.44,\N,10.056652790046705,\N,"M"
30256,\N,\N,"C-22  3005",\N,1.44,1.208,8.798347183441214,9.209347183441214,\N
84652,\N,\N,\N,\N,1.44,1.913,9.007936587863835,9.162936587863836,"K7"
101574,\N,\N,\N,\N,1.44,\N,10.332945416463586,\N,"M3"
114066,\N,\N,\N,\N,1.44,\N,8.885180281252609,\N,"M0"
61094,\N,"B+09 2636",\N,\N,1.441,1.722,9.103111895126442,9.248111895126442,"M0:"
36349,\N,\N,"C-29  4446","P-29  1747",1.442,1.559,8.999027661353123,9.360027661353122,"M1V:e..."
90306,\N,\N,\N,\N,1.442,\N,9.257481109127873,\N,"M:"
10688,\N,\N,"C-54   487",\N,1.446,\N,9.511906825553027,\N,"M"
51473,\N,\N,"C-35  6480",\N,1.446,\N,9.184213415655499,\N,\N
54513,\N,\N,\N,\N,1.446,\N,9.223231178311972,\N,\N
6008,\N,"B-14  249",\N,\N,1.447,\N,8.871321436793528,\N,"M1"
56936,\N,\N,\N,\N,1.447,\N,10.431038061033426,\N,"K4"
63510,\N,"B+13 2618",\N,\N,1.448,1.528,9.470040265111567,9.658040265111566,"M2"
15366,"275122","B+37  748",\N,\N,1.449,\N,9.097759942820911,\N,"M1"
18180,\N,\N,"C-37  1501",\N,1.45,\N,10.111885719987995,\N,"K:"
20222,\N,\N,\N,\N,1.45,\N,9.640934475993625,\N,"M3V"
29316,\N,"B+10 1032",\N,\N,1.45,\N,10.247037782987364,\N,"M3"
80229,\N,\N,\N,\N,1.45,\N,9.884448846437424,\N,"M3"
94368,\N,\N,"C-56  7638",\N,1.45,\N,9.80658650510691,\N,"M2"
102235,\N,"B-19 5899",\N,\N,1.45,\N,9.30222050513876,\N,"M1:"
105336,\N,\N,\N,\N,1.45,\N,9.401354686782184,\N,\N
15360,\N,\N,"C-30  1270",\N,1.451,\N,9.1631562201025,\N,\N
70536,\N,\N,\N,\N,1.452,1.794,8.988733096097302,9.177733096097302,"M2"
48190,\N,\N,\N,\N,1.453,1.416,8.6820961585918,9.151096158591802,"M2V:"
53953,\N,\N,\N,\N,1.454,\N,10.505639620166676,\N,"M2V:"
10312,\N,\N,\N,\N,1.455,\N,9.06975147631994,\N,\N
36985,\N,"B-02 2198",\N,\N,1.455,1.75,9.090832052251004,9.244832052251004,\N
44263,\N,\N,\N,\N,1.455,\N,10.421703557260784,\N,"M4"
31634,\N,\N,"C-49  2340","P-49   990",1.456,1.644,8.711335785804822,8.956335785804823,"K0"
102357,"352860","B+19 4499",\N,\N,1.457,1.56,8.792653284892959,9.08965328489296,"M2"
80268,\N,\N,"C-24 12677",\N,1.458,\N,9.101124524344597,\N,"M2"
