HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 116936,Gaia DR3 2639991331699321472,Gaia DR2 2639991331699321472,\N,42.42,2.07,40.2969,0.1707
HIP 102101,Gaia DR3 2187263158355763072,Gaia DR2 2187263158355763072,Gaia DR1 2187263154059233152,41.74,1.15,40.3214,0.0119
HIP 59774,Gaia DR3 1575287046603605888,Gaia DR2 1575287046603149056,\N,40.05,0.6,40.3279,0.1945
HIP 72981,Gaia DR3 1174189362318863488,Gaia DR2 1174189362317947776,Gaia DR1 1174189358023347328,44.46,2.6,40.3302,0.0393
HIP 113244,Gaia DR3 2711324381934051200,Gaia DR2 2711324381934051200,Gaia DR1 2711324377639008384,41.15,2.65,40.3474,0.0237
HIP 64048,Gaia DR3 1468036318743647616,Gaia DR2 1468036318743647616,Gaia DR1 1468036314447534976,41.9,1.52,40.3737,0.0157
HIP 51933,Gaia DR3 3754435186374119424,Gaia DR2 3754435186374119424,\N,40.67,0.68,40.3975,0.1087
HIP 56936,Gaia DR3 1057879895596316416,Gaia DR2 1057879895596316416,\N,44.28,2.83,40.4156,0.0146
HIP 102226,Gaia DR3 1817769836303393280,Gaia DR2 1817769836303393280,\N,39.38,1.03,40.4178,0.0231
HIP 101345,Gaia DR3 6904703228801028864,Gaia DR2 6904703228801028864,\N,41.26,0.87,40.4241,0.0497
HIP 58803,Gaia DR3 6148648281576023424,Gaia DR2 6148648281576023424,\N,41.32,0.76,40.4345,0.0884
HIP 1598,Gaia DR3 379582273249916416,Gaia DR2 379582273249916416,Gaia DR1 379582268954107520,40.25,0.81,40.4392,0.0181
HIP 9269,Gaia DR3 304991163902854784,Gaia DR2 304991163902854784,Gaia DR1 304991159606878336,40.74,0.9,40.4424,0.0257
HIP 64690,Gaia DR3 5765846127180770432,Gaia DR2 5765846127180770432,Gaia DR1 5765846122884217600,40.52,0.56,40.4757,0.0146
HIP 24786,Gaia DR3 2981583790287411200,Gaia DR2 2981583790287411200,Gaia DR1 2981583785990414720,40.11,0.76,40.4785,0.0255
HIP 66840,Gaia DR3 3662358955927624960,Gaia DR2 3662358955927624960,Gaia DR1 3662358951632047616,42.19,1.63,40.4853,0.0197
HIP 101983,Gaia DR3 6454967273273436416,Gaia DR2 6454967273272504960,\N,41.33,0.73,40.5683,0.0895
HIP 60994,\N,\N,Gaia DR1 3528362362908431616,40.03,0.98,40.57,0.6
HIP 66886,Gaia DR3 3661492609484469504,Gaia DR2 3661492609484469504,Gaia DR1 3661492639548577792,41.22,1.41,40.6135,0.021
HIP 26373,Gaia DR3 4795598309045006208,Gaia DR2 4795598309045006208,Gaia DR1 4795598304748572544,41.9,1.74,40.6567,0.0137
HIP 1276,Gaia DR3 4977352700720504192,Gaia DR2 4977352700719796864,\N,41.32,3.89,40.6718,0.5252
HIP 117697,Gaia DR3 2390021451933103616,Gaia DR2 2390021451933103616,\N,39.4,3.4,40.6908,0.0187
HIP 118162,Gaia DR3 1940954617956840192,Gaia DR2 1940954617956840192,Gaia DR1 1940954613654313984,41.35,0.76,40.7348,0.0558
HIP 26369,Gaia DR3 4795596831576255488,Gaia DR2 4795596831576255488,Gaia DR1 4795596827281131904,41.23,15.54,40.7575,0.0395
HIP 15131,Gaia DR3 4847282124418880256,Gaia DR2 4847282124418880256,Gaia DR1 4847281913964276480,41.05,0.59,40.7774,0.016
HIP 87579,Gaia DR3 4576863905365412736,Gaia DR2 4576863905365412736,Gaia DR1 4576863901065332480,40.22,1.04,40.7788,0.0176
HIP 68030,Gaia DR3 1230894097540611968,Gaia DR2 1230894097540611968,Gaia DR1 1230899968760552960,41.28,0.79,40.7997,0.0271
HIP 107625,Gaia DR3 6584461671116752128,Gaia DR2 6584461671116752128,Gaia DR1 6584461701180431488,42.12,1.06,40.8138,0.0202
HIP 19930,Gaia DR3 177425034575534464,Gaia DR2 177425034575534464,Gaia DR1 177425030278833408,39.08,1.16,40.9036,0.0256
HIP 93871,Gaia DR3 4307162018124573312,Gaia DR2 4307162018124573312,Gaia DR1 4307162013825208448,41.19,1.34,40.9448,0.0207
HIP 12158,Gaia DR3 2495442626804315392,Gaia DR2 2495442626804315392,Gaia DR1 2495489557911665152,41.09,1.25,40.9518,0.0386
HIP 88945,Gaia DR3 4590489981163831296,Gaia DR2 4590489981163831296,Gaia DR1 4590489976865508480,39.62,0.68,40.9645,0.0167
HIP 29432,Gaia DR3 3319126988068404096,Gaia DR2 3319126988068404096,Gaia DR1 3319126983769640320,43.26,0.87,40.9764,0.024
HIP 60310,Gaia DR3 6149747002930436352,Gaia DR2 6149747002930436352,Gaia DR1 6149746998632670976,41.49,1.23,40.9891,0.0242
HIP 104436,Gaia DR3 6348288635054855680,Gaia DR2 6348288635054855680,\N,41.28,0.58,41.0626,0.0202
HIP 42333,Gaia DR3 5755064487956174720,Gaia DR2 5755064487956174720,Gaia DR1 5755064483659664512,42.32,1.04,41.0649,0.0228
HIP 6344,Gaia DR3 565471721996476160,Gaia DR2 565471721996476160,Gaia DR1 565471717699614080,41.44,1.05,41.0677,0.0125
HIP 43797,Gaia DR3 5317114850417299584,Gaia DR2 5317114850417299584,Gaia DR1 5317114846104331264,41.41,0.44,41.0816,0.036
HIP 897,Gaia DR3 2443632711191439104,Gaia DR2 2443632711190063872,Gaia DR1 2443632706895035136,39.19,2.29,41.0917,0.0313
HIP 35943,Gaia DR3 3027559353615045760,Gaia DR2 3027559353615045760,Gaia DR1 3027559349309579264,41.56,1.7,41.105,0.0166
HIP 7765,Gaia DR3 2589107273595379584,Gaia DR2 2589107273595379584,\N,61.3,36.67,41.1075,0.0237
HIP 84607,Gaia DR3 4575374857376398976,Gaia DR2 4575374857376398976,\N,41.58,1.04,41.1103,0.0169
HIP 95575,Gaia DR3 2129771310248902016,Gaia DR2 2129771310248902016,Gaia DR1 2129771271592838272,39.73,1.03,41.1132,0.2139
HIP 113829,Gaia DR3 2832641058969396864,Gaia DR2 2832641058969396864,Gaia DR1 2832641054673513600,41.19,0.87,41.1604,0.0232
HIP 54513,Gaia DR3 3788517916531415552,Gaia DR2 3788517916531415552,Gaia DR1 3788517912236278400,39.87,2.45,41.1801,0.0212
HIP 106231,Gaia DR3 1797276382668029440,Gaia DR2 1797276382668029440,Gaia DR1 1797276378371105024,39.91,1.18,41.2912,0.0169
HIP 85810,Gaia DR3 1335880415564253312,Gaia DR2 1335880415564253312,Gaia DR1 1335880411268656128,42.2,0.56,41.318,0.0151
HIP 102119,Gaia DR3 6855358349537379840,Gaia DR2 6855358349537379840,Gaia DR1 6855358345240967168,43.42,1.48,41.3264,0.0423
HIP 102333,Gaia DR3 6471630024096107008,Gaia DR2 6471630024096107008,\N,41.38,0.82,41.3357,0.1157
HIP 66587,Gaia DR3 3632451071421231360,Gaia DR2 3632451071421231360,Gaia DR1 3632451067125660544,40.27,2.1,41.3379,0.0196
HIP 56630,Gaia DR3 767326526253334400,Gaia DR2 767326526253334400,Gaia DR1 767326521957305472,40.99,1.55,41.3473,0.0145
HIP 81813,Gaia DR3 1648568843759668480,Gaia DR2 1648568843759668480,Gaia DR1 1648565884526014336,41.15,0.57,41.3671,0.0139
HIP 5944,Gaia DR3 373349657227961472,Gaia DR2 373349657227961472,Gaia DR1 373349652931556352,42.3,0.75,41.3803,0.0242
HIP 116416,Gaia DR3 2871343486014101888,Gaia DR2 2871343486014101888,Gaia DR1 2871343486014101888,42.63,0.93,41.382,0.0227
HIP 73362,Gaia DR3 5908246317645043200,Gaia DR2 5908246317645043200,Gaia DR1 5908246313340913664,39.27,1.5,41.4009,0.0157
HIP 86340,Gaia DR3 1651145102583323136,Gaia DR2 1651145102583323136,Gaia DR1 1651145098287579264,41.82,0.81,41.4032,0.0136
HIP 45839,Gaia DR3 5746426720312132608,Gaia DR2 5746426720312132608,Gaia DR1 5746426720312132608,41.4,1.38,41.4146,0.0184
HIP 46549,Gaia DR3 3824731809460825728,Gaia DR2 3824731809460825728,\N,42.47,1.53,41.448,0.0169
HIP 70849,Gaia DR3 6099000589942631424,Gaia DR2 6099000589942631424,Gaia DR1 6099000585642900864,41.71,2.02,41.4618,0.0175
HIP 88622,Gaia DR3 4471087175915086080,Gaia DR2 4471087175915086080,\N,41.0,0.88,41.4741,0.0211
HIP 99137,Gaia DR3 6472858766996632704,Gaia DR2 6472858766996632704,\N,43.08,0.79,41.5069,0.028
HIP 28267,Gaia DR3 3022685626580347392,Gaia DR2 3022685626580347392,Gaia DR1 3022685626580347392,43.1,0.93,41.5366,0.021
HIP 7576,Gaia DR3 2477815222028038272,Gaia DR2 2477815222028038272,Gaia DR1 2478002890623968128,42.35,0.96,41.5636,0.0238
HIP 5799,Gaia DR3 2475331528340199936,Gaia DR2 2475331528340199936,\N,41.01,0.89,41.5747,0.1058
HIP 114066,Gaia DR3 2207738916728293888,Gaia DR2 2207738916728293888,Gaia DR1 2207738912429172608,40.09,1.48,41.6161,0.0125
HIP 35872,Gaia DR3 3163201979956736000,Gaia DR2 3163201979956736000,Gaia DR1 3163201975660314752,39.91,1.14,41.6164,0.028
HIP 84223,Gaia DR3 1354166805762941184,Gaia DR2 1354166805762941184,Gaia DR1 1354166045553287808,41.97,4.53,41.6183,0.0941
HIP 74273,Gaia DR3 5876112300125320448,Gaia DR2 5876112300125320448,Gaia DR1 5876112295743277824,41.41,0.77,41.6198,0.0202
HIP 8275,Gaia DR3 2575383100738086656,Gaia DR2 2575383100738086656,Gaia DR1 2575383096443042176,43.37,1.38,41.646,0.0224
HIP 15442,Gaia DR3 3261878613062758144,Gaia DR2 3261878613062758144,Gaia DR1 3261878608767523712,40.52,0.98,41.671,0.0219
HIP 109980,Gaia DR3 2220169200616370432,Gaia DR2 2220169200616370432,Gaia DR1 2220169200616370432,41.69,0.88,41.6775,0.0109
HIP 99031,Gaia DR3 2059103120983068160,Gaia DR2 2059103120983068160,\N,41.34,0.54,41.6804,0.0518
HIP 39064,Gaia DR3 670853314448533888,Gaia DR2 670853314448533888,\N,43.21,0.96,41.687,0.1877
HIP 12886,Gaia DR3 340780267388505344,Gaia DR2 340780267388505344,Gaia DR1 340780263091643008,42.59,2.21,41.7126,0.021
HIP 93185,Gaia DR3 2041085973668754176,Gaia DR2 2041085973668754176,Gaia DR1 2041085866285258112,42.68,0.64,41.7143,0.0146
HIP 2072,Gaia DR3 4992538055808271360,Gaia DR2 4992538055807707776,\N,42.51,0.69,41.7228,0.1358
HIP 39896,Gaia DR3 902175202130167936,Gaia DR2 902175202130167936,\N,48.26,3.16,41.7312,0.9262
HIP 91605,Gaia DR3 2090051761936884864,Gaia DR2 2090051761936884864,\N,41.88,1.59,41.7451,0.0165
HIP 72387,Gaia DR3 1294776032353235968,Gaia DR2 1294776032353235968,Gaia DR1 1294776028057627648,41.26,1.47,41.7463,0.0129
HIP 96395,Gaia DR3 2142179058450057856,Gaia DR2 2142179058450057856,Gaia DR1 2142179054152209792,41.24,0.49,41.759,0.0247
HIP 72603,Gaia DR3 6309706875115188224,Gaia DR2 6309706875115188224,\N,42.26,1.04,41.7742,0.3771
HIP 32366,Gaia DR3 5584019442620181760,Gaia DR2 5584019442620181760,Gaia DR1 5584019438321010432,41.2,0.56,41.7838,0.027
HIP 12623,Gaia DR3 335144892337326336,Gaia DR2 335144892337326336,\N,40.52,1.25,41.7962,0.2956
HIP 8486,Gaia DR3 2461045711199481472,Gaia DR2 2461045711199481472,\N,43.47,4.48,41.8,0.2579
HIP 12493,Gaia DR3 2501948402746099456,Gaia DR2 2501948402746099456,Gaia DR1 2501948398450800896,44.84,1.46,41.8223,0.0208
HIP 15673,Gaia DR3 443016706832479488,Gaia DR2 443016706832479488,Gaia DR1 443016702534800640,44.03,1.24,41.8285,0.0192
HIP 66781,Gaia DR3 1562668432688194688,Gaia DR2 1562668432687758976,Gaia DR1 1562668428391618560,42.12,0.76,41.8503,0.0178
HIP 5957,Gaia DR3 294517800251711616,Gaia DR2 294517800251711616,Gaia DR1 294517795956289664,44.03,1.59,41.8758,0.0209
HIP 112915,Gaia DR3 2007176176083408640,\N,\N,41.17,1.35,41.88,0.95
HIP 30314,Gaia DR3 5481848424118748672,Gaia DR2 5481848424118748672,Gaia DR1 5481848419822114560,42.56,0.49,41.8877,0.0138
HIP 60093,Gaia DR3 4010201828880793984,Gaia DR2 4010201828880793984,Gaia DR1 4010201858944875392,40.58,1.94,41.9016,0.0308
HIP 17666,Gaia DR3 231113736385994624,Gaia DR2 231113736385994624,Gaia DR1 231113736385994624,40.83,2.24,41.9035,0.0237
HIP 52369,Gaia DR3 3750995604764854400,Gaia DR2 3750995604764854400,\N,42.73,0.82,41.9082,0.0293
HIP 68337,Gaia DR3 1250801855073489280,Gaia DR2 1250801855073489280,Gaia DR1 1250801850778220928,41.97,1.17,41.9416,0.0173
HIP 112117,Gaia DR3 6519024545827374336,Gaia DR2 6519024545827374336,\N,42.47,0.72,41.9811,0.031
HIP 39780,Gaia DR3 676768820148924416,Gaia DR2 676768820148924416,\N,42.86,0.97,41.9916,0.0841
HIP 105184,Gaia DR3 6577318075351824512,Gaia DR2 6577318075351824512,\N,42.04,0.9,42.0274,0.021
HIP 115058,Gaia DR3 1941217160713765376,Gaia DR2 1941217160713765376,Gaia DR1 1941217156415119616,41.19,1.87,42.0397,0.0173
HIP 738,Gaia DR3 2333676738050041728,Gaia DR2 2333676738049780352,\N,42.82,2.61,42.0592,0.0324
HIP 60866,Gaia DR3 3517119173615245824,Gaia DR2 3517119173615245824,Gaia DR1 3517119169320007808,40.09,1.23,42.0768,0.0187
HIP 13976,Gaia DR3 8479094371605632,Gaia DR2 8479094371605632,Gaia DR1 8479090076267264,42.66,1.22,42.0781,0.0278
HIP 85582,Gaia DR3 4599020335968830976,\N,\N,42.4,3.76,42.09,2.5
HIP 46733,Gaia DR3 1064092789129355136,Gaia DR2 1064092789128664960,\N,43.2,0.64,42.0904,0.1616
HIP 86201,Gaia DR3 1637717179389828224,Gaia DR2 1637717179389828224,\N,42.62,0.53,42.0939,0.1425
HIP 24874,Gaia DR3 2983256662869643776,Gaia DR2 2983256662869643776,Gaia DR1 2983256658572698880,41.09,1.26,42.094,0.016
HIP 6097,Gaia DR3 2456594647612706432,Gaia DR2 2456594643316646784,Gaia DR1 2456594643316646784,45.22,3.65,42.1036,0.0423
HIP 9829,Gaia DR3 104453918172129792,Gaia DR2 104453918172129792,\N,43.14,0.94,42.1141,0.0205
HIP 10337,Gaia DR3 5124636303346779008,Gaia DR2 5124636303346779008,Gaia DR1 5124636299050940672,43.0,1.67,42.1225,0.0167
HIP 51271,Gaia DR3 5357886734438478848,Gaia DR2 5357886734438478848,Gaia DR1 5357886730128255744,41.16,0.96,42.1312,0.0133
HIP 77908,Gaia DR3 6235558525363302912,Gaia DR2 6235558525363302912,Gaia DR1 6235558521063056640,39.45,8.88,42.1347,0.018
HIP 71743,Gaia DR3 6286606170175267840,Gaia DR2 6286606170175267840,Gaia DR1 6286606165879650944,42.43,0.97,42.1376,0.0273
HIP 44899,Gaia DR3 5624529024402652288,Gaia DR2 5624529024402652288,Gaia DR1 5624529020101066880,44.75,1.58,42.1477,0.0121
HIP 55052,Gaia DR3 3482765551281619456,Gaia DR2 3482765551281619456,Gaia DR1 3482765546984850176,39.68,2.2,42.1618,0.024
HIP 108567,Gaia DR3 6409473742721612544,Gaia DR2 6409473742721612544,Gaia DR1 6409473738424713472,43.04,1.53,42.1732,0.0154
HIP 105911,Gaia DR3 6576209007420385792,Gaia DR2 6576209007420385792,Gaia DR1 6576209007420385792,42.52,1.29,42.1989,0.046
HIP 109537,Gaia DR3 1958031442283263616,Gaia DR2 1958031442281432448,Gaia DR1 1958031369264905472,44.84,3.24,42.2036,0.0206
HIP 20222,Gaia DR3 177391907491420032,Gaia DR2 177391907491420032,Gaia DR1 177391907491420032,43.27,7.18,42.2073,0.0173
HIP 80229,Gaia DR3 5941478335062267392,Gaia DR2 5941478335062267392,Gaia DR1 5941478330735352192,41.01,3.69,42.2128,0.0202
HIP 45116,Gaia DR3 1011390516749963392,Gaia DR2 1011390516749963392,Gaia DR1 1011390512454209024,39.89,2.32,42.2251,0.016
HIP 64880,Gaia DR3 1474445475101294848,Gaia DR2 1474445475101294848,Gaia DR1 1474445470805026176,46.25,2.12,42.2253,0.0171
HIP 1322,Gaia DR3 4973763482448692096,Gaia DR2 4973763482448692096,Gaia DR1 4973763478151548544,44.82,3.44,42.2327,0.0316
HIP 76267,Gaia DR3 1222646935698492160,\N,\N,43.65,0.79,42.2408,0.977
HIP 107772,Gaia DR3 6572326052043362304,Gaia DR2 6572326052043362304,Gaia DR1 6572326047746888832,44.45,2.15,42.2883,0.0141
HIP 117559,Gaia DR3 2867514406706887808,Gaia DR2 2867514406706887808,Gaia DR1 2867514402411146112,40.24,1.36,42.2919,0.0166
HIP 6008,Gaia DR3 2456487788826106112,Gaia DR2 2456487788826106112,Gaia DR1 2456487784530308352,41.14,2.69,42.3277,0.0174
HIP 3143,Gaia DR3 4980466929965023104,Gaia DR2 4980466929964496128,Gaia DR1 4980466925668414208,43.64,2.59,42.332,0.0248
HIP 98316,Gaia DR3 6449124395465377920,Gaia DR2 6449124395465377920,Gaia DR1 6449124395468033408,43.91,1.17,42.3356,0.022
HIP 55642,Gaia DR3 3915612630249291008,Gaia DR2 3915612630249291008,\N,41.26,1.16,42.3548,0.3984
HIP 103256,Gaia DR3 1758463038092175232,Gaia DR2 1758463038092175232,Gaia DR1 1758463033794900224,44.04,1.19,42.3677,0.0995
HIP 90306,Gaia DR3 2108544241842459648,Gaia DR2 2108544241842459648,\N,39.4,1.79,42.3792,0.0108
HIP 19233,Gaia DR3 4675955810263106432,Gaia DR2 4675955810262461184,Gaia DR1 4675955805965522560,43.12,0.5,42.382,0.0275
HIP 94368,Gaia DR3 6643046944883125376,Gaia DR2 6643046944883125376,Gaia DR1 6643046944883125376,50.04,2.72,42.4143,0.015
HIP 73005,Gaia DR3 1606148310770764288,Gaia DR2 1606148310770764288,Gaia DR1 1606148306474379008,41.83,0.63,42.4215,0.0173
HIP 72875,Gaia DR3 1265702917689682944,Gaia DR2 1265702917689682944,Gaia DR1 1265702913393573760,43.66,1.2,42.4219,0.0582
HIP 28153,\N,\N,Gaia DR1 4801001545405754880,42.17,1.77,42.43,1.12
HIP 14286,Gaia DR3 466294295706341760,Gaia DR2 466294295706341760,Gaia DR1 466294291405221504,43.74,0.84,42.4587,0.0202
HIP 10312,Gaia DR3 5143621433184275200,Gaia DR2 5143621433184275200,Gaia DR1 5143621428888732416,39.26,2.63,42.464,0.0183
HIP 114456,Gaia DR3 1935133906477014016,Gaia DR2 1935133906475484544,Gaia DR1 1935133902176382720,42.65,0.74,42.464,0.0227
HIP 57493,Gaia DR3 791297254127958784,Gaia DR2 791297254127958784,Gaia DR1 791297318552301184,40.61,1.52,42.4658,0.0127
HIP 98106,Gaia DR3 6416143002299883904,Gaia DR2 6416143002299883904,Gaia DR1 6416142998001770240,42.78,1.0,42.4829,0.0171
HIP 63406,Gaia DR3 1527631807474248448,Gaia DR2 1527631807474248448,\N,41.36,1.48,42.4878,0.7573
HIP 113201,Gaia DR3 6512664180298450688,Gaia DR2 6512664180298450688,\N,40.44,3.02,42.4928,0.2214
HIP 51468,Gaia DR3 1047559604579391872,Gaia DR2 1047559604579391872,Gaia DR1 1047559600284372480,44.83,1.22,42.5344,0.0166
HIP 8497,Gaia DR3 2461043306017773696,Gaia DR2 2461043306017773696,\N,42.35,0.87,42.5848,0.1249
HIP 89805,Gaia DR3 6629790584164277376,Gaia DR2 6629790584164277376,\N,43.64,0.72,42.5918,0.0274
HIP 117886,Gaia DR3 2341178362288721536,Gaia DR2 2341178362288721536,Gaia DR1 2341178357993353856,40.44,2.41,42.5957,0.0239
HIP 55718,Gaia DR3 770435567178890624,Gaia DR2 770435567178890624,Gaia DR1 770435562888270336,43.89,1.49,42.6234,0.0164
HIP 36827,Gaia DR3 3054448838181163520,Gaia DR2 3054448838181163520,Gaia DR1 3054448833879666688,40.32,1.26,42.6341,0.0253
HIP 56242,Gaia DR3 3966121308211393920,Gaia DR2 3966121308211393920,Gaia DR1 3966121303915627136,43.42,1.1,42.6536,0.0726
HIP 53580,Gaia DR3 1072844970405231104,Gaia DR2 1072844970405231104,\N,43.43,1.45,42.6684,0.0121
HIP 45963,Gaia DR3 812477352773908608,Gaia DR2 812477352773908608,Gaia DR1 812477451555831936,41.19,1.08,42.6689,0.0198
HIP 110719,Gaia DR3 6357835488360338560,Gaia DR2 6357835488360338560,\N,60.24,20.25,42.692,0.2479
HIP 12961,Gaia DR3 5077642283022422656,Gaia DR2 5077642283022422656,Gaia DR1 5077642278726840832,42.01,1.58,42.6929,0.0141
HIP 98066,Gaia DR3 6754990976787039872,Gaia DR2 6754990976785694336,\N,42.03,0.94,42.7159,0.5538
HIP 110712,Gaia DR3 6357835694518769408,Gaia DR2 6357835694518769408,\N,43.39,0.96,42.7219,0.0196
HIP 90959,Gaia DR3 4535144998232287232,Gaia DR2 4535144998232287232,Gaia DR1 4535144993929524736,42.67,1.26,42.7251,0.0142
HIP 1499,Gaia DR3 2430102808294101760,Gaia DR2 2430102808294101760,\N,42.67,0.85,42.7308,0.0299
HIP 50156,Gaia DR3 628827128175694976,Gaia DR2 628827128175694976,\N,48.95,1.71,42.7417,0.1892
HIP 3810,Gaia DR3 2781872793183604096,Gaia DR2 2781872793183604096,\N,41.8,0.75,42.7505,0.1117
HIP 70873,Gaia DR3 1491593733326694912,Gaia DR2 1491593733326694912,\N,42.43,0.59,42.7526,0.0174
HIP 36635,Gaia DR3 1108529414127974656,Gaia DR2 1108529409830717184,Gaia DR1 1108529409830717184,40.48,2.14,42.759,0.023
HIP 106972,Gaia DR3 1800750014779745152,Gaia DR2 1800750014778522240,\N,39.78,3.7,42.8021,0.5033
HIP 37606,Gaia DR3 5531762678610961664,Gaia DR2 5531762678610961664,\N,41.43,0.81,42.8213,0.3775
HIP 13258,Gaia DR3 33439176553394048,Gaia DR2 33439176553394048,Gaia DR1 33439206617713792,44.61,1.33,42.8445,0.0252
HIP 102766,Gaia DR3 1859954627138933888,Gaia DR2 1859954627138933888,Gaia DR1 1859954622830328320,42.23,0.98,42.8598,0.018
HIP 34673,Gaia DR3 3032390401547521024,Gaia DR2 3032390401547521024,Gaia DR1 3032390397243449216,39.4,1.44,42.8656,0.0179
HIP 45637,Gaia DR3 5300714225746375424,Gaia DR2 5300714225746375424,Gaia DR1 5300714221429136128,42.59,1.09,42.8736,0.0114
HIP 111983,Gaia DR3 6519227714961476352,Gaia DR2 6519227714961476352,Gaia DR1 6519227710665462912,43.65,1.3,42.878,0.0133
HIP 75798,Gaia DR3 6258382634409906560,Gaia DR2 6258382634409906560,Gaia DR1 6258382561387715072,39.78,2.0,42.8809,0.0212
HIP 11072,Gaia DR3 5119953517683718400,Gaia DR2 5119953517683718400,\N,45.6,0.82,42.9117,0.4166
HIP 90496,Gaia DR3 4076915349846977664,Gaia DR2 4076915349748285952,\N,42.2,0.9,42.9198,0.2128
HIP 89474,Gaia DR3 2115351387048328832,Gaia DR2 2115351387048328832,Gaia DR1 2115351382751264512,44.08,0.51,42.9348,0.0158
HIP 6917,Gaia DR3 288781167053300480,Gaia DR2 288781167053300480,Gaia DR1 288781162757755008,43.16,0.93,42.9461,0.0749
HIP 49366,Gaia DR3 3766401961693098368,Gaia DR2 3766401961693098368,Gaia DR1 3766401957398155136,43.14,1.11,42.9562,0.0244
HIP 106400,Gaia DR3 2216158427021654528,Gaia DR2 2216158427021654528,Gaia DR1 2216158422717646336,43.2,0.95,42.9756,0.0128
HIP 27922,Gaia DR3 2966316109264052096,Gaia DR2 2966316109264052096,\N,43.86,1.19,42.9759,0.0155
HIP 78913,Gaia DR3 1379416712336909440,Gaia DR2 1379416712336909440,Gaia DR1 1379416708040819328,42.57,0.86,43.0188,0.0164
HIP 114954,Gaia DR3 2384877214983800448,Gaia DR2 2384877214983800448,Gaia DR1 2384877210688388736,47.58,1.99,43.0269,0.0175
HIP 72622,Gaia DR3 6309703507861332736,\N,\N,42.25,1.05,43.03,0.19
HIP 108028,Gaia DR3 1781003885454165888,Gaia DR2 1781003885454165888,Gaia DR1 1781003881159720576,41.71,0.98,43.0319,0.0224
HIP 56284,Gaia DR3 3547944531854903168,Gaia DR2 3547944531854903168,Gaia DR1 3547944527560319104,43.66,2.55,43.0899,0.0213
HIP 89490,Gaia DR3 4526778333217510656,Gaia DR2 4526778333217510656,Gaia DR1 4526778328916444160,43.1,2.18,43.1216,0.1725
HIP 102488,Gaia DR3 1869302503206674304,Gaia DR2 1869302503184405760,\N,45.26,0.53,43.1769,0.9384
HIP 89348,Gaia DR3 2161275788716592256,Gaia DR2 2161275788716592256,\N,42.56,0.45,43.1837,0.094
HIP 73241,Gaia DR3 5901924435035073152,Gaia DR2 5901924435035073152,Gaia DR1 5901924430717349632,40.79,0.86,43.1904,0.1372
HIP 10542,\N,\N,Gaia DR1 5143341362663177216,44.96,1.69,43.2,1.32
HIP 84212,Gaia DR3 4364702279101280256,Gaia DR2 4364702279101280256,\N,47.05,3.27,43.2586,0.3562
HIP 15099,Gaia DR3 14163878724940672,Gaia DR2 14163878724940672,Gaia DR1 14163874429353728,44.96,1.09,43.2649,0.0252
HIP 3813,Gaia DR3 4926529081393983104,Gaia DR2 4926529081393983104,Gaia DR1 4926529077097016192,46.32,2.06,43.2683,0.0145
HIP 81520,Gaia DR3 5927236979422123264,Gaia DR2 5927236979422123264,Gaia DR1 5927236975095622656,46.13,0.91,43.2721,0.0223
HIP 11852,Gaia DR3 4644127147661088256,Gaia DR2 4644127147661088256,Gaia DR1 4644127143365405184,44.31,0.8,43.3064,0.0134
HIP 46417,Gaia DR3 1144584084028819072,Gaia DR2 1144584084028819072,Gaia DR1 1144584457689559296,43.54,1.05,43.3068,0.016
HIP 105905,Gaia DR3 6460163255986109056,Gaia DR2 6460163255986109056,Gaia DR1 6460163251690092416,43.12,1.17,43.3617,0.0183
HIP 59000,Gaia DR3 3518916943846357376,Gaia DR2 3518916943846357376,Gaia DR1 3518916939550517248,44.41,1.51,43.3654,0.0918
HIP 69357,Gaia DR3 6303961686341504512,Gaia DR2 6303961686341504512,Gaia DR1 6303961682045580416,43.35,1.4,43.3858,0.0258
HIP 54922,\N,\N,Gaia DR1 3538007416345998592,44.12,1.66,43.39,1.2
HIP 84379,Gaia DR3 4573412435280434560,Gaia DR2 4573412435276520320,\N,41.55,0.65,43.41,0.15
HIP 51502,Gaia DR3 1146337324038514176,Gaia DR2 1146337324038514176,\N,46.54,0.55,43.4367,0.5983
HIP 111449,Gaia DR3 6628926642897745664,Gaia DR2 6628926642897745664,\N,43.97,0.75,43.4396,0.0828
HIP 3008,Gaia DR3 416135846558362112,Gaia DR2 416135846558362112,Gaia DR1 416135842258661248,43.4,1.94,43.4445,0.0165
HIP 88175,Gaia DR3 4177224620176470912,Gaia DR2 4177224620176470912,\N,43.11,0.75,43.4823,0.1324
HIP 34414,Gaia DR3 884951489919636352,Gaia DR2 884951489919636352,Gaia DR1 884951485622781312,44.92,1.43,43.5049,0.0261
HIP 61722,Gaia DR3 1542896911520969600,\N,Gaia DR1 1542896907225026048,39.08,4.64,43.5216,0.045
HIP 56199,Gaia DR3 863776987616459392,Gaia DR2 863776987616459392,Gaia DR1 863776987616459392,42.74,1.3,43.5261,0.0137
HIP 81262,Gaia DR3 5930568598406530048,Gaia DR2 5930568598406530048,Gaia DR1 5930568598406530048,44.77,1.4,43.5379,0.0297
HIP 43557,Gaia DR3 596878550087942528,Gaia DR2 596878550087942528,Gaia DR1 596878545792311168,41.42,1.19,43.5436,0.0467
