HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 82724,Gaia DR3 5818211949014482816,Gaia DR2 5818211949014482816,\N,109.57,20.12,15.9252,0.019
HIP 114242,Gaia DR3 2383287974004967552,Gaia DR2 2383287974004967552,Gaia DR1 2383287969710164224,50.3,10.82,23.6055,0.0148
HIP 67795,Gaia DR3 6115335999832663808,Gaia DR2 6115335999832663808,Gaia DR1 6115335995538372992,43.23,5.22,23.7478,0.0188
HIP 111932,Gaia DR3 2715770081106897408,Gaia DR2 2715770081106897408,Gaia DR1 2715770081106897408,41.53,20.0,24.212,0.0155
HIP 91154,Gaia DR3 6631456997113317248,Gaia DR2 6631456997113317248,Gaia DR1 6631456992815550592,46.38,1.41,24.6534,0.3989
HIP 30422,Gaia DR3 3131481481815806976,Gaia DR2 3131481481815806976,Gaia DR1 3131481477515089792,41.09,10.14,25.0633,0.0219
HIP 79979,Gaia DR3 6037514800213601024,Gaia DR2 6037514800213601024,Gaia DR1 6037514795908726016,56.82,23.38,25.5345,0.232
HIP 55605,Gaia DR3 3817534337625985280,Gaia DR2 3817534337625985280,\N,62.03,26.14,27.0251,0.4692
HIP 76603,Gaia DR3 6317407201723597440,Gaia DR2 6317407201723597440,Gaia DR1 6317407197424923392,40.19,3.62,28.2972,0.3324
HIP 19832,Gaia DR3 3203456956075394944,Gaia DR2 3203456956075394944,\N,48.95,4.49,28.5012,0.236
HIP 74815,Gaia DR3 6213898936567006464,Gaia DR2 6213898936567006464,\N,41.21,3.88,28.5542,0.0489
HIP 66125,Gaia DR3 5789459818720936320,Gaia DR2 5789459818720936320,\N,52.09,39.91,28.9452,0.0113
HIP 92756,Gaia DR3 6650359354343258880,Gaia DR2 6650359354343258880,\N,40.13,10.43,29.6173,0.0156
HIP 63121,Gaia DR3 1517698613271954304,Gaia DR2 1517698613271363840,\N,39.95,23.72,30.6121,0.0666
HIP 67655,Gaia DR3 5871764831114179968,Gaia DR2 5871764831114179968,Gaia DR1 5871764826769112192,40.02,1.0,30.6438,0.2246
HIP 86346,Gaia DR3 1436001566431649792,Gaia DR2 1436001566431649792,\N,40.75,12.06,31.4419,0.9081
HIP 76602,Gaia DR3 6317407201723597952,Gaia DR2 6317407201723597952,\N,44.21,4.72,32.6269,0.0265
HIP 114379,Gaia DR3 1942532726377141120,Gaia DR2 1942532726377141120,Gaia DR1 1942532722079086208,39.56,7.67,32.8547,0.0189
HIP 107143,Gaia DR3 6578350001374194816,Gaia DR2 6578350001374194816,\N,42.4,3.35,33.3957,0.6593
HIP 4328,Gaia DR3 4922358908667577728,Gaia DR2 4922358908667577728,\N,39.56,3.38,33.4928,0.0188
HIP 87773,Gaia DR3 4604269610637580928,Gaia DR2 4604269610637580928,Gaia DR1 4604269606339772160,39.56,2.14,33.6484,0.0099
HIP 112388,Gaia DR3 2656072582608536320,Gaia DR2 2656072582608536320,\N,42.55,4.25,33.651,0.0231
HIP 77268,Gaia DR3 5986321332691510656,Gaia DR2 5986321332691510656,Gaia DR1 5986321328357668224,39.78,2.62,33.7646,0.0173
HIP 60970,Gaia DR3 1519311253230298880,Gaia DR2 1519311253230298880,\N,43.42,3.62,33.8899,0.096
HIP 1349,Gaia DR3 4924503334299333888,Gaia DR2 4924503334299333888,\N,43.45,1.19,34.0152,0.5274
HIP 114716,Gaia DR3 6492999277396746752,Gaia DR2 6492999277396746752,\N,39.09,2.81,34.2904,0.0201
HIP 58688,Gaia DR3 3460498276156113664,Gaia DR2 3460498276156113664,Gaia DR1 3460498271860621184,42.0,2.81,34.6217,0.1691
HIP 59780,\N,Gaia DR2 3472485972258777088,\N,49.62,3.08,34.6372,0.7618
HIP 100356,Gaia DR3 6475337306723609600,Gaia DR2 6475337306723609600,\N,43.57,2.85,34.8886,0.9733
HIP 14589,Gaia DR3 5074705521824867200,Gaia DR2 5074705521824867200,Gaia DR1 5074705517528702720,45.83,11.06,34.9478,0.016
HIP 75686,Gaia DR3 4421274729329022336,Gaia DR2 4421274729329022336,Gaia DR1 4421274725032942720,39.03,1.7,35.3547,0.0192
HIP 22498,Gaia DR3 478737331356716800,Gaia DR2 478737331356716800,Gaia DR1 478737327059586048,42.59,17.78,35.6135,0.0157
HIP 21492,Gaia DR3 471205058231083648,Gaia DR2 471205058231083648,Gaia DR1 471205053932250368,39.88,5.06,35.6822,0.0236
HIP 83147,Gaia DR3 4112138303515401216,Gaia DR2 4112138303515401216,Gaia DR1 4112138303515401216,39.86,11.61,35.9826,0.0652
HIP 39903,Gaia DR3 5289757523635492096,Gaia DR2 5289757523635492096,\N,46.75,3.38,36.2472,0.9954
HIP 34950,Gaia DR3 870758684590736896,Gaia DR2 870758684590736896,Gaia DR1 870758680293810176,39.72,1.29,36.3141,0.0251
HIP 19333,Gaia DR3 4681579571719845632,Gaia DR2 4681579571719845632,Gaia DR1 4681579567424185728,39.03,0.93,36.6428,0.0097
HIP 40170,Gaia DR3 935525039066950528,Gaia DR2 935525039066950528,Gaia DR1 935525034771040896,40.94,1.87,36.6511,0.0154
HIP 90979,Gaia DR3 4154598526336121600,Gaia DR2 4154598526336121600,Gaia DR1 4154598521997533312,39.34,1.76,36.7534,0.0157
HIP 73631,Gaia DR3 5906724284318405760,Gaia DR2 5906724284318405760,Gaia DR1 5906724314370201856,40.22,1.54,36.7855,0.0167
HIP 29548,Gaia DR3 1007904858732031104,Gaia DR2 1007904858732031104,Gaia DR1 1007904854435176320,40.38,1.41,36.8064,0.0161
HIP 16209,Gaia DR3 222749343414443648,Gaia DR2 234758965325900416,Gaia DR1 234758961030907008,39.19,2.52,36.9072,0.0226
HIP 98192,Gaia DR3 2030317253745186432,Gaia DR2 2030317253745186432,Gaia DR1 2030317249413069056,39.24,0.97,37.0287,0.0287
HIP 30256,Gaia DR3 2936850125355960576,Gaia DR2 2936850125354292480,Gaia DR1 2936850121054270592,40.52,9.15,37.0651,0.0235
HIP 104137,Gaia DR3 1732878776902363264,Gaia DR2 1732878776902363264,Gaia DR1 1732878772606083200,43.63,4.58,37.0772,0.0279
HIP 52470,Gaia DR3 832417236660307072,Gaia DR2 832417236660307072,Gaia DR1 832417232364913920,39.56,0.99,37.2802,0.0249
HIP 48447,Gaia DR3 3847123707357532672,Gaia DR2 3847123707357532672,Gaia DR1 3847123703067289088,45.21,3.77,37.2803,0.0204
HIP 51473,Gaia DR3 5444096348783212928,Gaia DR2 5444096348779619712,Gaia DR1 5444096344485094912,39.16,2.17,37.2962,0.0276
HIP 57866,Gaia DR3 3975078892003894144,Gaia DR2 3975078892003894144,Gaia DR1 3975078887708638208,39.48,1.58,37.315,0.0228
HIP 81348,Gaia DR3 1312589288953960320,Gaia DR2 1312589288953960320,Gaia DR1 1312589353377089152,39.04,1.29,37.3976,0.0125
HIP 23786,Gaia DR3 3392089755051027712,Gaia DR2 3392089755051027712,\N,41.7,1.14,37.437,0.2267
HIP 39494,Gaia DR3 922950955371956608,Gaia DR2 922950955371956608,\N,39.46,1.58,37.46,0.0156
HIP 37798,Gaia DR3 3088637946087230336,Gaia DR2 3088637946087230336,Gaia DR1 3088637941786910720,40.58,2.18,37.5204,0.0203
HIP 49376,Gaia DR3 5460446292845923328,Gaia DR2 5460446292845923328,\N,41.59,3.13,37.634,0.3035
HIP 15797,Gaia DR3 241393040535105280,Gaia DR2 241393040535105280,Gaia DR1 241393036234346880,39.1,1.24,37.6588,0.0197
HIP 83363,Gaia DR3 5914366302446170240,Gaia DR2 5914366302446170240,Gaia DR1 5914366298148226944,39.32,1.33,37.683,0.2918
HIP 11650,Gaia DR3 2516322146457318144,Gaia DR2 2516322146457318144,\N,41.15,4.96,37.711,0.0508
HIP 66578,Gaia DR3 1686708050268594944,Gaia DR2 1686708050268594944,\N,40.33,2.89,37.7291,0.0287
HIP 74261,Gaia DR3 6003743571137684736,Gaia DR2 6003743571137684736,\N,39.99,2.41,37.7545,0.0172
HIP 9716,Gaia DR3 5147846340974080000,Gaia DR2 5147846340973892352,Gaia DR1 5147846336678206208,39.16,1.11,37.7907,0.0313
HIP 27080,Gaia DR3 4657193606465368704,Gaia DR2 4657193606465368704,Gaia DR1 4657193602117007616,39.08,0.75,37.8235,0.0206
HIP 94650,Gaia DR3 4312905248400130688,Gaia DR2 4312905248400130688,Gaia DR1 4312905244091729408,39.43,1.01,37.8714,0.0226
HIP 106913,Gaia DR3 6810896745007524736,Gaia DR2 6810896745007524736,Gaia DR1 6810896809432796800,39.13,0.83,37.8872,0.0231
HIP 400,Gaia DR3 2848150288954631296,Gaia DR2 2848150288954631296,Gaia DR1 2848150284659254656,39.06,0.93,37.9297,0.0258
HIP 61099,Gaia DR3 3949377704625720192,Gaia DR2 3949377704625720192,Gaia DR1 3949377700330586624,39.62,0.95,37.964,0.0321
HIP 42418,Gaia DR3 595390807776621824,Gaia DR2 595390807776621824,Gaia DR1 595390803480684928,39.28,1.21,37.9713,0.2188
HIP 54155,Gaia DR3 3789271459953459328,Gaia DR2 3789271459953459328,Gaia DR1 3789271455657632000,40.57,1.4,38.014,0.0222
HIP 61329,Gaia DR3 3526876102361317760,Gaia DR2 3526876102361317760,\N,39.11,1.17,38.0521,0.0199
HIP 92858,Gaia DR3 6730759011817912320,Gaia DR2 6730759011817912320,\N,41.84,1.19,38.0653,0.3122
HIP 88771,Gaia DR3 4482432246132106496,Gaia DR2 4482432246130215296,\N,39.4,0.83,38.1263,0.2391
HIP 62512,Gaia DR3 1579858609793019264,Gaia DR2 1579858609793019264,\N,41.39,3.2,38.1905,0.2904
HIP 522,Gaia DR3 4976894960284258048,Gaia DR2 4976894960284258048,\N,39.0,0.64,38.1945,0.0355
