designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 1587576253706543232,\N,\N,228.157,45.73119308728785,52.58638573372806,0.48813304,513.63635,-385.9275906706963,338.94279743275206,30.10293,12.280228,13.603132,10.715795,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.884594613732807,0.020157268069850964,9.320161613732806,0.020157268069850964,2.887337
Gaia DR3 6805970245721550080,\N,\N,314.115,-24.00400432430843,52.59620097376735,0.026960593,353.93527,333.78563995674585,-117.71717436139556,1.1582059,13.45628,15.349298,12.159483,3029.2837,3023.7175,3034.1401,5.012,4.9663,5.0346,-0.118,-0.1932,-0.0764,19.0133,18.9252,19.1743,12.061051880871922,0.0011130877874707679,10.764254880871924,0.0011130877874707679,3.189815
Gaia DR3 295725407616670848,\N,\N,25.0113,27.029430834683616,52.602643633881655,0.1419571,260.93723,60.44094920281866,-253.84075110959552,1.1307958,16.778864,20.50685,15.241408,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.383901854490773,0.005860098523887913,13.846445854490774,0.005860098523887913,5.265442
Gaia DR3 3677448412989388032,\N,\N,195.015,-5.629750805970176,52.621877760069474,0.056488983,346.78442,-344.02477348986025,43.66221554710016,1.79923,11.382516,12.805167,10.205841,3128.3413,3116.3801,3243.3225,4.2226,4.1773,4.5566,-0.693,-0.7381,-0.3115,19.0388,18.7708,19.1892,9.988347706993018,0.002331051653153615,8.811672706993019,0.002331051653153615,2.599326
Gaia DR3 5553110654636730496,\N,\N,92.2824,-49.88831206656583,52.62433975471293,0.011343814,67.64265,39.90619525350155,-54.6170612433878,1.0342488,10.160905,11.224875,9.138254,3386.154,3383.547,3409.7383,4.067,4.0566,4.152,-1.0759,-1.0884,-0.9722,18.9852,18.8827,19.0053,8.766838300258181,0.00046808719341662197,7.744187300258181,0.00046808719341751015,2.086621
Gaia DR3 5152365363828101632,HIP 14165,\N,45.6604,-18.165591904030627,52.64368027592437,0.034261018,435.9346,403.7213684394253,164.46284594972923,1.9043978,10.766556,12.025964,9.650207,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.373287214167014,0.001413215516519628,8.256938214167015,0.001413215516519628,2.375757
Gaia DR3 4134107168607042816,HIP 82283,\N,252.191,-15.739911373537058,52.654339120146425,0.019819941,220.4036,-6.78929119220536,-220.2990009114753,1.0002067,10.029963,11.127552,8.985294,3519.8413,3442.0718,3586.5332,4.4874,4.2741,4.5697,-0.4455,-0.7189,-0.2983,18.9387,18.7391,19.2316,8.637133830911136,0.0008173772150907865,7.592464830911135,0.0008173772150903424,2.142258
Gaia DR3 1505209054532280960,\N,\N,214.342,45.42936021377157,52.6558204060547,0.11965087,47.89456,43.8128803260905,-19.34736952969129,6.583102,12.601654,14.381482,11.320737,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.208885918492715,0.004934288520491492,9.927968918492716,0.004934288520491492,3.060745
Gaia DR3 3669916071144145920,\N,\N,217.072,5.31243130716067,52.6615819886523,0.06929945,378.25372,-372.564115483104,-65.3594211451626,3.094963,11.80924,13.386178,10.591301,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.416709507293307,0.002857527724199116,9.198770507293307,0.0028575277241973396,2.794877
Gaia DR3 1477762323724646272,\N,\N,214.943,31.61918106220841,52.6624062090873,0.047445808,106.70553,104.4545640383674,-21.801702258270588,1.1248206,15.441849,18.183144,14.000343,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.049352493319942,0.0019563726443845297,12.607846493319942,0.0019563726443845297,4.182801
Gaia DR3 4139489552908817920,\N,\N,257.579,-14.748855680341482,52.671728635792704,0.018871475,94.769775,27.56313866642428,90.67294698431328,0.87764597,10.913341,12.11007,9.826283,3271.762,3268.4463,3323.7886,4.1974,4.1884,4.3732,-0.9248,-0.9351,-0.7265,19.0003,18.9639,19.0869,9.521228858605959,0.0007780053950039445,8.434170858605956,0.0007780053950048327,2.283787
Gaia DR3 424422281584852352,HIP 4012,\N,12.8876,58.30383036764994,52.67231097793872,0.013842027,1618.5282,1566.9552096327047,405.3209068230557,1.0035177,9.966077,10.880156,9.019614,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.57398886641708,0.0005706523950861353,7.627525866417081,0.0005706523950856912,1.860542
Gaia DR3 6504705571539380992,HIP 110534,\N,335.894,-57.22229465164717,52.69483197932483,0.017925236,699.2494,590.0752256474598,-375.1812496887284,1.1499184,9.90228,10.948321,8.887307,3433.8655,3428.5686,3467.452,4.1134,4.0999,4.2007,-0.9464,-0.9612,-0.8365,19.0048,18.9804,19.264,8.511120120377788,0.0007386712405637041,7.496147120377788,0.0007386712405637041,2.061014
Gaia DR3 3466404092409078272,\N,\N,180.989,-33.02379657378239,52.69965156028464,0.058927737,765.04144,-763.0504942669183,55.15787128313024,2.5893235,12.555247,14.247567,11.296477,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.164285718762363,0.002428099704513187,9.905515718762361,0.002428099704513187,2.95109
Gaia DR3 3965764619767224832,\N,\N,171.222,13.38089075564062,52.70490053984457,0.051448718,109.076614,-26.299856548955283,-105.8585171098978,1.157785,14.493301,16.726593,13.12914,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.10255599052814,0.0021197176350495894,11.73839499052814,0.0021197176350495894,3.597453
Gaia DR3 3540491079971287552,\N,\N,175.433,-22.53570434625555,52.7072219929593,0.15452275,437.67087,-166.70616452745475,404.6786859988389,1.4382209,17.01614,20.699802,15.474238,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.625490633633854,0.0063661645768791075,14.083588633633854,0.0063661645768791075,5.225564
Gaia DR3 1102868303634261632,HIP 34392,\N,106.957,67.20102034581917,52.720264668273934,0.103070304,280.7118,-270.8537940871455,-73.73827546572312,6.8186564,10.287039,11.403355,9.231059,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.89692690926535,0.00424532403125788,7.84094690926535,0.00424532403125788,2.172296
Gaia DR3 3669916380381791104,\N,\N,217.088,5.31675969859378,52.72897804759548,0.032625284,377.90753,-373.0853982818455,-60.1780140882782,1.2256545,11.38866,12.768874,10.233715,3131.441,3130.511,3133.8865,4.1775,4.1739,4.1862,-0.8153,-0.8192,-0.7993,18.9825,18.9624,19.0897,9.99890677126087,0.0013435669668266925,8.843961771260869,0.0013435669668266925,2.535159
Gaia DR3 901941452829250560,\N,\N,121.857,32.21833678972116,52.74588305803876,0.0920678,450.9465,-372.94205744098406,-253.50930106766808,1.0924087,16.49856,19.623367,14.97408,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.109502837862706,0.0037903032227966094,13.585022837862706,0.0037903032227966094,4.649287
Gaia DR3 1477762319428998400,\N,\N,214.945,31.617589844728105,52.747150247554586,0.023531618,102.49197,99.28106299973643,-25.45336803205141,1.3196326,12.962024,14.626074,11.719275,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.573019005612274,0.0009687397781377172,10.330270005612274,0.0009687397781377172,2.906799
Gaia DR3 2312952902371420800,\N,\N,359.046,-34.43599670720443,52.753164865391206,0.1192108,323.09464,83.34227460021476,-312.16053568712783,0.9727074,17.450888,20.877748,15.893988,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.062130598743842,0.004907068692791228,14.505230598743843,0.004907068692791228,4.98376
