identifier                    ra                          dec                          G           Bp_Rp       MG                   mag object       comment   
Gaia DR3 2964000159821218432  05:44:27.453894189975472    -22:27:00.08411112910562224  03.476823   00.7528229  03.7286449798307313  G   nearby_star  star      
HD 22484                      03:36:52.13563072506261     +00:23:58.288541551745766    04.1410933  00.7577951  03.4228335954230555  G   nearby_star  star      
HD 115383                     13:16:46.15212597455397     +09:25:30.016754936634243    05.0398397  00.7595058  03.813787654536166   G   nearby_star  star      
HD 176051A                    18:57:01.8451896008289737   +32:54:02.5943213381033274   05.1740646  00.7794624  04.309010130017114   G   nearby_star  star      
HD 19373                      03:09:06.097166314214455    +49:36:46.345890375956515    03.9026392  00.782065   03.7807449173279526  G   nearby_star  star      
HD 142373                     15:52:41.175454171478094    +42:27:15.535644205927383    04.424265   00.784468   03.417613705805767   G   nearby_star  star      
HD 84737                      09:48:35.71198242798246     +46:01:14.14895086264437     04.916553   00.7870078  03.543157090815784   G   nearby_star  star      
HD 67523                      08:07:32.55119514453526     -24:18:14.815993601071114    02.7505891  00.7898299  01.3053998908411284  G   nearby_star  star      
HD 30652                      04:49:50.909765085842196    +06:57:40.79163073487189     03.0879216  00.8058182  03.5658568742837167  G   nearby_star  star      
HD 102870                     11:50:42.509020216398596    +01:45:48.66671398336575     03.468565   00.8189658  03.261253418082954   G   nearby_star  star      
HD 82328                      09:32:49.80954749408781     +51:40:29.661747492155882    03.0717425  00.8285754  02.4128597263508844  G   nearby_star  star      
HD 32923                      05:07:27.60747698747423     +18:38:42.47501238957466     04.7324567  00.8440646  03.723126154269046   G   nearby_star  star      
HD 140538A                    15:44:01.7732639218733937   +02:30:52.411029854325534    05.7004476  00.852508   04.850204780757423   G   nearby_star  star      
HD 73752                      08:39:07.620884807592034    -22:39:35.46877412196818     05.1269636  00.8824967  03.66338098729155    G   nearby_star  star      
HD 117176                     13:28:25.549452718786796    +13:46:34.42280995487681     04.7789707  00.9129125  03.4906736975183437  G   nearby_star  star      
HD 2151                       00:25:55.80119722394322     -77:15:10.063683164554504    02.6807318  00.9241374  03.3117039866087135  G   nearby_star  star      
HD 1237A                      00:16:15.305880336269908    -79:51:05.146589245608993    06.408673   00.92418    05.186691710946488   G   nearby_star  star      
HD 131156A                    14:51:23.532353722914365    +19:06:00.9707042608363281   04.4804826  00.9251116  05.332810641299066   G   nearby_star  star      
HD 136923                     15:22:46.57468869110161     +18:55:09.498676399331998    06.958224   00.953661   05.485206789500795   G   nearby_star  star      
Gaia DR3 5559265690666327168  07:03:58.77139297136054     -43:36:34.75338188174737     06.653335   00.9644823  05.493486049160797   G   nearby_star  star      
HD 202940A                    21:19:44.9252965658124      -26:21:16.017988277460745    06.445514   00.969292   05.108640794772737   G   nearby_star  star      
HD 103095                     11:53:04.164769961456187    +37:41:34.17700880709981     06.1985016  01.0016495  06.38622448996698    G   nearby_star  star      
HD 165341A                    18:05:27.46891642967597     +02:29:42.806745285241504    03.987364   01.0036929  05.4438458054798415  G   nearby_star  star      
HD 112758                     12:59:00.6687478141080305   -09:49:59.55926755763312     07.3262544  01.0049767  05.813549008814187   G   nearby_star  star      
HD 161797                     17:46:27.171241402482735    +27:43:02.190145819487043    03.2384055  01.0220033  03.6329506679165506  G   nearby_star  star      
HD 81997B                     09:29:09.376536917813496    -02:45:03.1312436989765047   06.9486914  01.039395   05.661045419329101   G   nearby_star  star      
HD 155886                     17:15:20.18884275075834     -26:36:24.503815437851244    04.831335   01.0583045  05.957921203809303   G   nearby_star  star      
HD 148653A                    16:28:52.26920794414383     +18:24:56.73367736337195     07.414201   01.0703724  05.9861835291456655  G   nearby_star  star      
HD 145417                     16:13:46.86009184159559     -57:34:36.42814928110238     07.2686267  01.0718122  06.601488215450372   G   nearby_star  star      
HD 13579                      02:15:44.008763599640055    +67:40:15.43513200073221     06.9716945  01.0718474  05.627272510961569   G   nearby_star  star      
