designation,HIP,simbad_HIP,simbad_HD,in_Simbad,right_ascension,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 4506561028799937280,\N,\N,\N,0,286.03406027446886,14.024852063801598,42.65410197282007,3.6845417,17.223364,4.948582818451912,-16.497144759527846,1.2204285,20.518063000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4548562269906020352,\N,\N,\N,1,258.95767849848045,19.000090899565294,73.38289003014775,0.089917146,89.24101,-88.18808588975392,13.668218525485832,2.112109,12.034219000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4561968267282882688,\N,\N,\N,1,254.7900727747192,20.971647569197195,50.95455820388791,0.19886576,139.44669,-22.838032203215768,137.563814011025,2.1712065,12.535300000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4586421272742268544,\N,\N,\N,1,275.8677047967366,28.16659386869418,67.35307253186818,0.06997297,216.98518,-95.76131241071779,-194.7109172825,0.81149733,13.531994000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4883809068923718272,\N,\N,\N,1,62.231264863064055,-31.48275123735942,55.46186514837462,0.11448127,216.24712,-19.65756097557873,-215.35178828235513,1.1082023,16.191395000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4937000898856154624,\N,\N,HD 13445B,1,32.62406949532682,-50.820823199984886,92.61605633781821,0.15740973,2282.4045,2168.8860111330646,710.8477271238621,4.4071383,13.088840500000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 495091536024630656,\N,\N,\N,1,61.48760165228111,71.27553441239117,54.58814911966968,0.08793817,413.7366,166.65987674753654,-378.6851756557383,0.7622494,14.638643000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5260451999698559872,\N,\N,\N,1,97.69447071943821,-76.71691328105032,112.59875347455532,0.1308523,447.42868,-14.368533115735644,447.1978956242919,2.2610457,13.445630000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5264749303457104384,\N,\N,HD 43834B,1,92.55898132002659,-74.75420492762049,97.86660800672941,0.089776866,218.40216,96.50002237962178,-195.92664962800228,1.4341322,12.365336000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5443030200460964480,\N,\N,\N,1,160.29020717579056,-36.896327573165614,62.624296998527115,0.14477155,211.48409,152.82305713807193,-146.1869664000979,3.6187582,\N,10.086929000000000000000000000000,8.826408000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5550862879207742976,\N,\N,\N,1,99.29778174136884,-50.038871956620994,66.53870298197629,0.02494527,189.63593,189.61015177209583,3.126485092223062,1.5690067,11.169620500000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5753687109122994048,\N,\N,\N,1,128.9248121022928,-8.321818266749506,138.31472927732594,0.21448307,614.016,-534.811292968522,301.6496730172588,1.4177389,\N,\N,16.847324000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5849857955274475520,\N,\N,\N,0,220.43676921846208,-64.66916473641378,42.55845589957384,3.3574364,10.594529,-9.927924519029505,-3.698698186255924,0.9850437,20.948887000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5853367424600100096,\N,\N,\N,0,215.4792068694381,-63.35829070246342,40.5904156142257,3.4476755,19.33247,-19.11063592515574,-2.9202675366165125,1.6264987,20.707253000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5881065565627395584,\N,\N,\N,0,223.38655175482268,-56.35279896530434,46.07736093171916,1.940108,10.908068,9.771645302575731,4.8477719443405265,2.1856446,19.542095000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 598180818531355776,\N,\N,\N,1,130.68682506674955,9.554204202169224,64.63627135864563,0.09052826,610.5805,203.23066574639645,-575.7654544779928,1.9416103,12.000150000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6000386835153463680,\N,\N,\N,1,230.0053521012974,-44.379927865510055,54.19028189596676,0.52426606,753.2671,-641.85167477211,-394.25596639446616,0.9334889,19.838758000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6029092609878604160,\N,\N,\N,0,257.77239596420094,-29.448473981687044,47.52532103824708,2.0804996,42.05085,-39.597174819949984,14.15407055503204,1.5499281,20.291456000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6033173275476639360,\N,\N,\N,0,254.95796463997976,-28.132990187784053,46.97011398650376,3.0388114,45.521267,-45.36387371201684,-3.7821683087572056,1.5482846,20.491726000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6176833918555679488,\N,\N,HD 121271B,1,208.75995337029573,-29.09063168095458,59.20093736522525,0.10994512,272.80682,-258.20435228332536,-88.05720443155744,1.7068911,11.334182000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6364795328244240256,\N,\N,\N,1,272.81643002055984,-78.98860780809746,85.71192211427798,0.11387588,295.35672,97.70128424404234,278.7293390746022,2.2036557,12.732754000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6558741070485093632,\N,\N,\N,1,325.48453503023603,-51.3152290256044,63.66473585848063,0.7291768,752.6157,705.7791075293267,-261.35464436825816,1.1609349,\N,\N,18.628100000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 662732115405773824,\N,\N,\N,1,127.90485092635714,19.39629658762344,60.689559682935275,0.14576858,242.45908,-207.4434654728106,-125.51340051237622,2.3676624,12.930710000000000000000000000000,\N,10.643531000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 898506097466756352,\N,\N,\N,1,112.9889963316592,36.21795023145605,83.52137276007491,0.13111259,347.61203,-245.22375214052096,-246.3725571652946,2.03087,12.269101000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 991713927241075840,\N,\N,\N,1,100.95736393067432,51.134953659519425,52.904678252357,0.057830084,916.52466,104.92862821295807,-910.4984694416128,1.4866871,12.560951000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
