designation,simbad_HD,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,MG,MG_error,MBp,MBp_error,MRp,MRp_error,Bp_Rp,G_Rp,Bp_G
Gaia DR3 5753687109122994048,\N,\N,\N,16.847324,\N,\N,\N,\N,17.551666155183206,0.0033672801484136983,\N,\N,\N
Gaia DR3 5849857955274475520,\N,20.948887,\N,\N,19.093816312781335,0.17166416670580276,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5853367424600100096,\N,20.707253,\N,\N,18.74937049088561,0.18488636520445212,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5881065565627395584,\N,19.542095,\N,\N,17.859532985147247,0.09148491133904635,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 598180818531355776,\N,12.00015,\N,\N,11.052531477765896,0.0030413225156404877,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6000386835153463680,\N,19.838758,\N,\N,18.50836505101549,0.02100865255633977,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6029092609878604160,\N,20.291456,\N,\N,18.67608129624798,0.09512059327419387,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6033173275476639360,\N,20.491726,\N,\N,18.850834070625584,0.1406836045520592,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6176833918555679488,HD 121271B,11.334182,\N,\N,10.195824916158681,0.00403275825928695,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6364795328244240256,\N,12.732754,\N,\N,12.397960171945615,0.0028849951199800827,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6558741070485093632,\N,\N,\N,18.6281,\N,\N,\N,\N,17.647594707766803,0.02487179948576035,\N,\N,\N
Gaia DR3 662732115405773824,\N,12.93071,\N,10.643531,11.846279932965173,0.005215609735696347,\N,\N,9.55910093296517,0.005215609735696347,\N,2.287179,\N
Gaia DR3 898506097466756352,\N,12.269101,\N,\N,11.87808911897736,0.003408799402897067,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 991713927241075840,\N,12.560951,\N,\N,11.17842138752467,0.0023736366236413176,\N,\N,\N,\N,\N,\N,\N
