"Gaia DR3 1349047857580994560","","86776"
"Gaia DR3 3478127463341507072","100623","56452"
"Gaia DR3 2188318517720321664","",""
"Gaia DR3 4025850731201819392","101501","56997"
"Gaia DR3 6779821003058453120","",""
"Gaia DR3 5425628298649940608","","47425"
"Gaia DR3 5946986063684477056","","86057"
"Gaia DR3 5946986063671469824","",""
"Gaia DR3 6792436799477051904","196982B",""
"Gaia DR3 4017860992519744384","","57087"
"Gaia DR3 522863309964987520","","4872"
"Gaia DR3 1314438839310796800","151288","82003"
"Gaia DR3 5699418131466175488","",""
"Gaia DR3 3840711729206827520","","46655"
"Gaia DR3 1412645602995521920","",""
"Gaia DR3 4358031335898505472","149661","81300"
"Gaia DR3 3243715604392800512","",""
"Gaia DR3 272855565763652480","232979","21553"
"Gaia DR3 4535928365908541440","",""
"Gaia DR3 1187851653287128576","","72944"
"Gaia DR3 102162639019033600","",""
"Gaia DR3 3359074685047632640","260655","31635"
"Gaia DR3 751975660302006784","",""
"Gaia DR3 4725889546721486976","",""
"Gaia DR3 512167948043650816","10780","8362"
"Gaia DR3 1010729194865571456","",""
"Gaia DR3 1661568850770761600","122064","68184"
"Gaia DR3 6012446244330608768","",""
"Gaia DR3 4389844948935164544","","85665"
"Gaia DR3 6377828354964753792","223889","117828"
"Gaia DR3 3487062064765702272","103932","58345"
"Gaia DR3 5264749303462961280","43834","29271"
"Gaia DR3 6825822095663585536","",""
"Gaia DR3 4999067471248893952","",""
"Gaia DR3 5160075762132996992","17925","13402"
"Gaia DR3 3657653114880309248","122303","68469"
"Gaia DR3 5715352842388433664","","37217"
"Gaia DR3 5299440441521812992","304636","45908"
"Gaia DR3 4364527594192166400","154363","83591"
"Gaia DR3 4566158991430299520","",""
"Gaia DR3 4364480521350598144","154363B","83599"
"Gaia DR3 4201781696994082944","",""
"Gaia DR3 2515037264041041536","","10279"
"Gaia DR3 1051547052218220160","","48714"
"Gaia DR3 436648129327098496","19373","14632"
"Gaia DR3 2683023811628007296","209290","108782"
"Gaia DR3 4078319494857310336","",""
"Gaia DR3 2289304297045379456","",""
"Gaia DR3 5271055243163629056","",""
"Gaia DR3 4295619138933719808","",""
"Gaia DR3 2028065934962125184","",""
"Gaia DR3 2028065934962124928","",""
"Gaia DR3 3689602277083844480","111631","62687"
"Gaia DR3 4937000898856156288","13445","10138"
"Gaia DR3 4574048021719710848","","84794"
"Gaia DR3 1642642957122493824","147379B","79762"
"Gaia DR3 5382868669400908928","","56244"
"Gaia DR3 1642641410934267008","147379","79755"
"Gaia DR3 2090085056523454464","","91699"
"Gaia DR3 3536123338748976256","","54532"
"Gaia DR3 4223813264304668288","",""
"Gaia DR3 5213167330349528064","",""
"Gaia DR3 2232348941893483520","223778","117712"
"Gaia DR3 1471777269618346240","","66459"
"Gaia DR3 1669449084967071872","","71898"
"Gaia DR3 4846689899968623744","","16536"
"Gaia DR3 3936909723803146368","115404A","64797"
"Gaia DR3 5683871247496205312","",""
"Gaia DR3 3796442680948579328","102870","57757"
"Gaia DR3 3936909723803146496","115404B",""
"Gaia DR3 4776266794388393472","",""
"Gaia DR3 4776266798684508928","",""
"Gaia DR3 4310275491469537152","","92871"
"Gaia DR3 4947513157730843136","",""
"Gaia DR3 4610177733290768896","166620","88972"
"Gaia DR3 2802397960855105920","3651","3093"
"Gaia DR3 4282578724832056576","176029","93101"
"Gaia DR3 438829629114680704","16895","12777"
"Gaia DR3 1193030490492925824","142860","78072"
"Gaia DR3 5571142580908768384","",""
"Gaia DR3 1508886439891509248","",""
"Gaia DR3 438829835272390784","",""
"Gaia DR3 1208695640675619584","",""
"Gaia DR3 1508886439891508736","",""
"Gaia DR3 5528866839863569024","74576","42808"
"Gaia DR3 6294928369390563968","","67164"
"Gaia DR3 798068905726303232","82885","47080"
"Gaia DR3 145421309108301184","28343","20917"
"Gaia DR3 1332966881549315456","",""
"Gaia DR3 709563717249089792","",""
"Gaia DR3 6746465363623545984","",""
"Gaia DR3 2560771312759450496","","8051"
"Gaia DR3 2109049433075668480","",""
"Gaia DR3 1612801833587498240","",""
"Gaia DR3 3912369208386557440","",""
"Gaia DR3 386655019234959872","","428"
"Gaia DR3 3059182338820698624","",""
"Gaia DR3 3560746351897773952","",""
"Gaia DR3 614543647497149056","","47513"
"Gaia DR3 4946938113149426944","16157","11964"
"Gaia DR3 392350008432819328","",""
"Gaia DR3 5159273530961537280","",""
"Gaia DR3 6409685433069148288","","108569"
"Gaia DR3 1118916397393675648","75632B",""
"Gaia DR3 6114232433761438208","",""
"Gaia DR3 1118916397395366656","75632A",""
"Gaia DR3 1236929488664453376","131511","72848"
"Gaia DR3 605079910398496640","",""
"Gaia DR3 5334356223546958464","99279B",""
"Gaia DR3 5895265380327966464","","69454"
"Gaia DR3 4763906879239461632","33262","23693"
"Gaia DR3 3060641356390249728","","36338"
"Gaia DR3 1586968533015434624","","73470"
"Gaia DR3 1776317182780536064","","109555"
"Gaia DR3 4721111481504887040","","13389"
"Gaia DR3 3100542495921276160","",""
"Gaia DR3 5866992641380992256","125072","69972"
"Gaia DR3 6608187792013441792","",""
"Gaia DR3 1071194431653425280","","47620"
"Gaia DR3 6885776098199761024","","104432"
"Gaia DR3 732857558276385664","97101","54646"
"Gaia DR3 732856080807636224","97101B",""
"Gaia DR3 514923083669786112","",""
"Gaia DR3 4518262684390915200","",""
"Gaia DR3 898506093171335424","",""
"Gaia DR3 3988689609004982912","95650","53985"
"Gaia DR3 6539166877292779264","",""
"Gaia DR3 1891598193816300544","210027","109176"
"Gaia DR3 2979590513145784192","","22762"
"Gaia DR3 3838384617141390208","",""
"Gaia DR3 898506166187633280","","36627"
"Gaia DR3 354077348697687424","","11048"
"Gaia DR3 4722135642226902656","20807","15371"
"Gaia DR3 4508377078422114944","",""
"Gaia DR3 4722111590409480064","20766","15330"
"Gaia DR3 5808612830236138368","147584","80686"
"Gaia DR3 2070115588901082368","","102401"
"Gaia DR3 1341113541156480768","","84099"
"Gaia DR3 4055579464064558592","",""
"Gaia DR3 3683687763520080384","110379J","61941"
"Gaia DR3 5640565607657897728","72673","41926"
"Gaia DR3 3407785622839603968","","24284"
"Gaia DR3 6579485487647973888","",""
"Gaia DR3 2768048564768256512","",""
"Gaia DR3 4609689240889873280","",""
"Gaia DR3 4733113441195646592","",""
"Gaia DR3 263916742385357056","233153","26801"
"Gaia DR3 2863419584886542080","",""
"Gaia DR3 263916708025623680","37394","26779"
"Gaia DR3 3569610404187997696","",""
"Gaia DR3 4698037645878876800","",""
"Gaia DR3 5185165891628969984","",""
"Gaia DR3 1117132130541140736","",""
"Gaia DR3 4996141155411983744","",""
"Gaia DR3 6471497502884511232","196877","102186"
"Gaia DR3 6637963425890391552","175224B",""
"Gaia DR3 883439489632629120","","35191"
"Gaia DR3 2525276565243086080","",""
"Gaia DR3 4705628051386514304","",""
"Gaia DR3 5538156819768871552","",""
"Gaia DR3 1149727977380998784","",""
"Gaia DR3 3278325004913943808","",""
"Gaia DR3 6456884409233519360","","103910"
"Gaia DR3 6709964635600548992","",""
"Gaia DR3 188771135583573504","34411","24813"
"Gaia DR3 5726982995343100928","69830","40693"
"Gaia DR3 14912165107085184","",""
"Gaia DR3 704967037090946688","75732","43587"
"Gaia DR3 5413438219396893568","",""
"Gaia DR3 6636988399594203648","",""
"Gaia DR3 3412806512623627008","",""
"Gaia DR3 1958030617647715328","",""
"Gaia DR3 5339892367684811520","304043","55042"
"Gaia DR3 3915363693944966528","",""
"Gaia DR3 1172618435080418176","",""
"Gaia DR3 4247023886053586304","190007","98698"
"Gaia DR3 4646616923022587136","",""
"Gaia DR3 3575733210781078016","104304","58576"
"Gaia DR3 3517841209157902720","","59406"
"Gaia DR3 5776161813992756992","",""
"Gaia DR3 3517841140438425600","",""
"Gaia DR3 3852570413083923072","82106","46580"
"Gaia DR3 1637110042813188608","158633","85235"
"Gaia DR3 5924187617032756736","","84051"
"Gaia DR3 985610542491481984","","36915"
"Gaia DR3 3767878708888402816","","51007"
"Gaia DR3 4919497979411495296","",""
"Gaia DR3 5117974602912370432","14412","10798"
"Gaia DR3 6427708902553822592","","98811"
"Gaia DR3 5315595737654226304","",""
"Gaia DR3 6018047019138644480","147513","80337"
"Gaia DR3 3555173782156353536","",""
"Gaia DR3 1244644727396803584","","67090"
"Gaia DR3 3521407509481957120","",""
"Gaia DR3 3338162729799839104","","25953"
"Gaia DR3 853819947756949120","90839","51459"
"Gaia DR3 2717105133036645760","","111313"
"Gaia DR3 1094235934764378112","",""
"Gaia DR3 4780166972587269120","27274","19884"
"Gaia DR3 5165286828773802880","",""
"Gaia DR3 1175938925836488448","","70475"
"Gaia DR3 505516521175942784","","9291"
"Gaia DR3 6072726969332631552","",""
"Gaia DR3 3144499458967932672","",""
"Gaia DR3 5690846274384548864","",""
"Gaia DR3 2395413147718069504","",""
"Gaia DR3 1800808220175220480","",""
"Gaia DR3 5690980582306104448","","48336"
"Gaia DR3 848178083009862656","",""
"Gaia DR3 5497072086021346688","","31862"
"Gaia DR3 409824168780424832","","7635"
"Gaia DR3 4093301474693288960","170657","90790"
"Gaia DR3 2980492387558410112","30495","22263"
"Gaia DR3 6721432232656218752","166348","89211"
"Gaia DR3 1605198298364601088","128165","71181"
"Gaia DR3 3411339626674506624","29697","21818"
"Gaia DR3 4741883764414703232","","13218"
"Gaia DR3 2009439555118168832","","115562"
"Gaia DR3 4347870370990204928","","78353"
"Gaia DR3 6173812151364882688","",""
"Gaia DR3 1714831771000745344","",""
"Gaia DR3 6608490501308343168","214749","111960"
"Gaia DR3 211810233512673792","",""
"Gaia DR3 2430731144829585280","",""
"Gaia DR3 4248817876711932416","",""
"Gaia DR3 4971869092631523200","",""
"Gaia DR3 4941774600386872960","",""
"Gaia DR3 4971681351020953088","","10617"
"Gaia DR3 1503625448550796032","","66625"
"Gaia DR3 3652796572020424448","",""
"Gaia DR3 4103671243754951296","","91430"
"Gaia DR3 5684037136313018368","",""
"Gaia DR3 5481843025342799104","",""
"Gaia DR3 205533465225342208","",""
"Gaia DR3 1451450048399808384","120476A",""
"Gaia DR3 2047690533883897856","",""
"Gaia DR3 3765772972322477696","","50341"
"Gaia DR3 2679694971455927296","",""
"Gaia DR3 5934097210481810432","",""
"Gaia DR3 3073508528645520000","",""
"Gaia DR3 3592769731134725248","","56157"
"Gaia DR3 555032443207370880","",""
"Gaia DR3 269067920001221888","","28368"
"Gaia DR3 348020482735930112","9826","7513"
"Gaia DR3 4453239765733463936","",""
"Gaia DR3 1473166433840437888","","65012"
"Gaia DR3 2110336583235233536","",""
"Gaia DR3 798914636327665536","","46769"
"Gaia DR3 144312344255035392","",""
"Gaia DR3 461701979233050624","",""
"Gaia DR3 461701979229013376","",""
"Gaia DR3 4296708789289490816","188512B",""
"Gaia DR3 6166376978860425600","",""
"Gaia DR3 4548562265603840768","",""
"Gaia DR3 5914096303621755520","154577","83990"
"Gaia DR3 1446540213584440704","",""
"Gaia DR3 2891695137006940544","",""
"Gaia DR3 2710189960812052736","",""
"Gaia DR3 2860924621205256704","166","544"
"Gaia DR3 6329012134635132544","",""
"Gaia DR3 2756363608023588864","222368","116771"
"Gaia DR3 266846631637524864","","23518"
"Gaia DR3 5599170330597007360","",""
"Gaia DR3 170639948323693952","281621","19337"
"Gaia DR3 777254360337133312","95128","53721"
"Gaia DR3 2034581091118259328","331161A",""
"Gaia DR3 3263836568394170880","22484","16852"
"Gaia DR3 3411398347466374144","",""
"Gaia DR3 5107106033552702208","23356","17420"
"Gaia DR3 6734485286788609664","",""
"Gaia DR3 5031808453624044800","5133","4148"
"Gaia DR3 4726357491998516480","","12261"
"Gaia DR3 567659818855055488","","15638"
"Gaia DR3 4785886941312921344","",""
"Gaia DR3 2034581091125010048","331161B",""
"Gaia DR3 622339455521105280","",""
"Gaia DR3 1350714133093019904","","87938"
"Gaia DR3 6508776375901968640","211415","110109"
"Gaia DR3 6018209128388194688","",""
"Gaia DR3 948039989652369408","","35353"
"Gaia DR3 5059348952161258624","20010","14879"
"Gaia DR3 3531294008802299392","",""
"Gaia DR3 2910909931633597312","","28035"
"Gaia DR3 2644439955745152512","","116317"
"Gaia DR3 6288325222245417856","120467","67487"
"Gaia DR3 87921523897823872","","12097"
"Gaia DR3 3057712223051571200","61606","37349"
"Gaia DR3 1466009540856759680","",""
"Gaia DR3 3197487123332369536","",""
"Gaia DR3 4568060562432051584","","83762"
"Gaia DR3 982389862479141376","",""
"Gaia DR3 2526862202360516224","",""
"Gaia DR3 3057712188691831936","61606B",""
"Gaia DR3 4055585060376248832","318327","86961"
"Gaia DR3 6863536001631204608","188088B",""
"Gaia DR3 4345775217221821312","146233","79672"
"Gaia DR3 6863535898551993472","188088","97944"
"Gaia DR3 6662167868705713664","","93206"
"Gaia DR3 1229089524081628416","","70865"
"Gaia DR3 3342958387205080064","",""
"Gaia DR3 5189170557793054848","",""
"Gaia DR3 5970956070030449792","150689","81935"
"Gaia DR3 2302668860880387072","",""
"Gaia DR3 4865016349710062208","",""
"Gaia DR3 3928391218812375808","","61706"
"Gaia DR3 1510834911934401152","234078","67691"
"Gaia DR3 5129338021224785408","17206","12843"
"Gaia DR3 4258375617747092864","173818","92200"
"Gaia DR3 6798111177125746944","","100923"
"Gaia DR3 1534239391319888384","",""
"Gaia DR3 1439069444391326208","","86087"
"Gaia DR3 1379500756257031808","144579","78775"
"Gaia DR3 5661077924778519552","",""
"Gaia DR3 646818024623804416","","47741"
"Gaia DR3 70051608089857536","23453","17609"
"Gaia DR3 2051984436005124480","",""
"Gaia DR3 573273684709125504","",""
"Gaia DR3 943688191349024000","",""
"Gaia DR3 4291123545113039616","184489","96285"
"Gaia DR3 3758629475341196672","",""
"Gaia DR3 1439121018358632832","160269","86036"
