HIP,designation_DR3,designation_DR2,designation_DR1,Plx,e_Plx,simbad_parallax,simbad_parallax_error,simbad_distance_parallax
HIP 83147,Gaia DR3 4112138303515401216,Gaia DR2 4112138303515401216,Gaia DR1 4112138303515401216,39.86,11.61,35.9826,0.065200001,27.7912
HIP 39903,Gaia DR3 5289757523635492096,Gaia DR2 5289757523635492096,\N,46.75,3.38,36.2472,0.9954000115,27.5883
HIP 34950,Gaia DR3 870758684590736896,Gaia DR2 870758684590736896,Gaia DR1 870758680293810176,39.72,1.29,36.3141,0.0251000002,27.5375
HIP 19333,Gaia DR3 4681579571719845632,Gaia DR2 4681579571719845632,Gaia DR1 4681579567424185728,39.03,0.93,36.6428,0.0097000003,27.2905
HIP 40170,Gaia DR3 935525039066950528,Gaia DR2 935525039066950528,Gaia DR1 935525034771040896,40.94,1.87,36.6511,0.0153999999,27.2843
HIP 90979,Gaia DR3 4154598526336121600,Gaia DR2 4154598526336121600,Gaia DR1 4154598521997533312,39.34,1.76,36.7534,0.0156999994,27.2084
HIP 73631,Gaia DR3 5906724284318405760,Gaia DR2 5906724284318405760,Gaia DR1 5906724314370201856,40.22,1.54,36.7855,0.0166999996,27.1846
HIP 29548,Gaia DR3 1007904858732031104,Gaia DR2 1007904858732031104,Gaia DR1 1007904854435176320,40.38,1.41,36.8064,0.0161000006,27.1692
HIP 16209,Gaia DR3 222749343414443648,Gaia DR2 234758965325900416,Gaia DR1 234758961030907008,39.19,2.52,36.9072,0.0226000007,27.095
HIP 98192,Gaia DR3 2030317253745186432,Gaia DR2 2030317253745186432,Gaia DR1 2030317249413069056,39.24,0.97,37.0287,0.0286999997,27.0061
HIP 30256,Gaia DR3 2936850125355960576,Gaia DR2 2936850125354292480,Gaia DR1 2936850121054270592,40.52,9.15,37.0651,0.0234999992,26.9796
HIP 104137,Gaia DR3 1732878776902363264,Gaia DR2 1732878776902363264,Gaia DR1 1732878772606083200,43.63,4.58,37.0772,0.0278999992,26.9708
HIP 52470,Gaia DR3 832417236660307072,Gaia DR2 832417236660307072,Gaia DR1 832417232364913920,39.56,0.99,37.2802,0.0249000005,26.8239
HIP 48447,Gaia DR3 3847123707357532672,Gaia DR2 3847123707357532672,Gaia DR1 3847123703067289088,45.21,3.77,37.2803,0.0204000007,26.8238
HIP 51473,Gaia DR3 5444096348783212928,Gaia DR2 5444096348779619712,Gaia DR1 5444096344485094912,39.16,2.17,37.2962,0.0275999997,26.8124
HIP 57866,Gaia DR3 3975078892003894144,Gaia DR2 3975078892003894144,Gaia DR1 3975078887708638208,39.48,1.58,37.315,0.0228000004,26.7989
HIP 81348,Gaia DR3 1312589288953960320,Gaia DR2 1312589288953960320,Gaia DR1 1312589353377089152,39.04,1.29,37.3976,0.0125000002,26.7397
HIP 23786,Gaia DR3 3392089755051027712,Gaia DR2 3392089755051027712,\N,41.7,1.14,37.437,0.226699993,26.7115
HIP 39494,Gaia DR3 922950955371956608,Gaia DR2 922950955371956608,\N,39.46,1.58,37.46,0.0155999996,26.6951
HIP 37798,Gaia DR3 3088637946087230336,Gaia DR2 3088637946087230336,Gaia DR1 3088637941786910720,40.58,2.18,37.5204,0.0203000009,26.6522
HIP 49376,Gaia DR3 5460446292845923328,Gaia DR2 5460446292845923328,\N,41.59,3.13,37.634,0.3034999967,26.5717
HIP 15797,Gaia DR3 241393040535105280,Gaia DR2 241393040535105280,Gaia DR1 241393036234346880,39.1,1.24,37.6588,0.0197000001,26.5542
HIP 83363,Gaia DR3 5914366302446170240,Gaia DR2 5914366302446170240,Gaia DR1 5914366298148226944,39.32,1.33,37.683,0.2917999923,26.5372
HIP 11650,Gaia DR3 2516322146457318144,Gaia DR2 2516322146457318144,\N,41.15,4.96,37.711,0.0507999994,26.5175
HIP 66578,Gaia DR3 1686708050268594944,Gaia DR2 1686708050268594944,\N,40.33,2.89,37.7291,0.0286999997,26.5047
HIP 74261,Gaia DR3 6003743571137684736,Gaia DR2 6003743571137684736,\N,39.99,2.41,37.7545,0.0172000006,26.4869
HIP 9716,Gaia DR3 5147846340974080000,Gaia DR2 5147846340973892352,Gaia DR1 5147846336678206208,39.16,1.11,37.7907,0.0313000008,26.4615
HIP 27080,Gaia DR3 4657193606465368704,Gaia DR2 4657193606465368704,Gaia DR1 4657193602117007616,39.08,0.75,37.8235,0.0206000004,26.4386
HIP 94650,Gaia DR3 4312905248400130688,Gaia DR2 4312905248400130688,Gaia DR1 4312905244091729408,39.43,1.01,37.8714,0.0226000007,26.4052
HIP 106913,Gaia DR3 6810896745007524736,Gaia DR2 6810896745007524736,Gaia DR1 6810896809432796800,39.13,0.83,37.8872,0.0230999999,26.3941
HIP 400,Gaia DR3 2848150288954631296,Gaia DR2 2848150288954631296,Gaia DR1 2848150284659254656,39.06,0.93,37.9297,0.0258000009,26.3646
HIP 61099,Gaia DR3 3949377704625720192,Gaia DR2 3949377704625720192,Gaia DR1 3949377700330586624,39.62,0.95,37.964,0.0320999995,26.3407
HIP 42418,Gaia DR3 595390807776621824,Gaia DR2 595390807776621824,Gaia DR1 595390803480684928,39.28,1.21,37.9713,0.2187999934,26.3357
HIP 54155,Gaia DR3 3789271459953459328,Gaia DR2 3789271459953459328,Gaia DR1 3789271455657632000,40.57,1.4,38.014,0.0221999995,26.3061
HIP 61329,Gaia DR3 3526876102361317760,Gaia DR2 3526876102361317760,\N,39.11,1.17,38.0521,0.0198999997,26.2798
HIP 92858,Gaia DR3 6730759011817912320,Gaia DR2 6730759011817912320,\N,41.84,1.19,38.0653,0.3122000098,26.2706
HIP 88771,Gaia DR3 4482432246132106496,Gaia DR2 4482432246130215296,\N,39.4,0.83,38.1263,0.2390999943,26.2286
HIP 62512,Gaia DR3 1579858609793019264,Gaia DR2 1579858609793019264,\N,41.39,3.2,38.1905,0.2903999984,26.1845
HIP 522,Gaia DR3 4976894960284258048,Gaia DR2 4976894960284258048,\N,39.0,0.64,38.1945,0.0355000012,26.1818
HIP 84487,Gaia DR3 4141979774942939264,Gaia DR2 4141979774942939264,Gaia DR1 4141979770642515200,40.17,1.85,38.2028,0.0176999997,26.1761
HIP 27075,Gaia DR3 2966790170574625408,Gaia DR2 2966790170574625408,Gaia DR1 2966790166276461184,39.15,0.74,38.2253,0.0189999994,26.1607
HIP 93747,Gaia DR3 4314399312979641728,Gaia DR2 4314399312929014656,\N,39.18,0.72,38.2329,0.3492000103,26.1555
HIP 64113,Gaia DR3 3937082209690529408,Gaia DR2 3937082209689968896,\N,39.12,4.13,38.241,0.6800000072,26.1499
HIP 110774,Gaia DR3 2205488624442109824,Gaia DR2 2205488624442109824,Gaia DR1 2205488624442109824,39.97,1.28,38.3129,0.0115999999,26.1009
HIP 51254,Gaia DR3 3862361392330264320,Gaia DR2 3862361392330264320,Gaia DR1 3862361388034819328,39.75,1.54,38.324,0.0270000007,26.0933
HIP 17147,Gaia DR3 3250489115709122560,Gaia DR2 3250489115708824064,Gaia DR1 3250489111412220544,41.07,0.86,38.3253,0.0307999998,26.0924
HIP 10339,Gaia DR3 333053037107550080,Gaia DR2 333053037107550080,Gaia DR1 333053032809971456,39.1,0.91,38.3338,0.0285,26.0866
HIP 90864,Gaia DR3 4508601275714721152,Gaia DR2 4508601275714721152,Gaia DR1 4508601271414326656,39.73,0.9,38.3448,0.0177999996,26.0792
HIP 6405,Gaia DR3 2786115533677290240,Gaia DR2 2786115533677290240,Gaia DR1 2786115529382382080,39.07,0.8,38.3495,0.0211999994,26.076
HIP 9749,Gaia DR3 5021412261945549568,Gaia DR2 5021412261945549568,Gaia DR1 5021412257649943040,44.37,1.97,38.3545,0.0165999997,26.0726
HIP 97051,Gaia DR3 4302670684951953280,Gaia DR2 4302670684951953280,Gaia DR1 4302670680625318784,44.18,1.86,38.3579,0.0148999998,26.0702
HIP 116838,\N,\N,Gaia DR1 2826159845944612736,39.51,1.85,38.43,0.9900000095,26.0213
HIP 7372,Gaia DR3 5022972468946212352,Gaia DR2 5022972468946212352,\N,42.29,1.47,38.4341,0.6649000049,26.0186
HIP 51928,Gaia DR3 5455932041699339008,Gaia DR2 5455932041699339008,Gaia DR1 5455932037401675136,39.56,3.14,38.495,0.0228000004,25.9774
