HIP,designation_DR3,designation_DR2,designation_DR1,HD,Plx,simbad_parallax,e_Plx,simbad_parallax_error,B_minus_V,Vmag,SpType,simbad_distance_parallax
HIP 97222,\N,\N,\N,186858,49.09,47.34,1.43,0.8199999928,1.000000000000000000000000000000,7.68,K3V,21.1238
HIP 79607,\N,\N,\N,146361,46.11,47.44,0.98,1.2200000286,0.599000000000000000000000000000,5.23,F8V,21.0793
HIP 48190,\N,\N,\N,\N,47.47,47.7,2.78,1.8400000334,1.453000000000000000000000000000,10.3,M2V:,20.9644
HIP 5896,\N,\N,\N,7788,48.94,47.72,0.53,0.4099999964,0.480000000000000000000000000000,4.25,F6IV,20.9556
HIP 105712,\N,Gaia DR2 6399747669021004928,\N,203244,48.86,48.0625,0.81,0.3420000076,0.723000000000000000000000000000,6.98,G5V,20.8062
HIP 10191,\N,\N,\N,13513,48.22,48.21,3.5,2.8900001049,1.430000000000000000000000000000,10.15,K0,20.7426
HIP 106694,\N,Gaia DR2 1953952391581618432,\N,\N,46.8,48.2934,3.37,0.1827999949,1.433000000000000000000000000000,10.17,M0...,20.7068
HIP 40239,\N,\N,\N,\N,46.21,48.45,4.14,5.3400001526,1.393000000000000000000000000000,9.38,M0V,20.6398
HIP 107711,\N,\N,\N,\N,74.42,48.9,41.23,28.1800003052,1.570000000000000000000000000000,11.52,M6,20.4499
HIP 21421,\N,\N,\N,29139,50.09,48.94,0.95,0.7699999809,1.538000000000000000000000000000,0.87,K5III,20.4332
HIP 44955,\N,\N,\N,\N,47.24,48.94,2.9,1.9600000381,1.380000000000000000000000000000,9.96,M2,20.4332
HIP 110922,\N,\N,\N,\N,40.81,49,7.66,6.4699997902,\N,11.97,\N,20.4082
HIP 101150,\N,Gaia DR2 1856712201709083136,\N,340345,43.24,49.0286,4.37,0.9089000225,1.340000000000000000000000000000,9.69,M2,20.3963
HIP 19255,\N,\N,\N,25893,48.59,49.06,1.17,0.6100000143,0.865000000000000000000000000000,7.13,G5,20.3832
HIP 45038,\N,\N,\N,78154,48.87,49.07,0.62,0.3700000048,0.489000000000000000000000000000,4.8,F7IV-V,20.3791
HIP 9884,\N,\N,\N,12929,49.48,49.56,0.99,0.25,1.151000000000000000000000000000,2.01,K2III,20.1776
HIP 21765,\N,\N,\N,\N,49.58,50.8,4.13,3.7400000095,1.490000000000000000000000000000,10.27,M0V...,19.685
HIP 41554,\N,\N,\N,\N,51.13,50.82,6.64,6.2699999809,1.568000000000000000000000000000,10.76,M0V,19.6773
HIP 80725,\N,\N,\N,148653,51.2,50.87,1.49,0.8000000119,0.848000000000000000000000000000,6.98,K2V,19.658
HIP 15844,\N,\N,\N,\N,50.54,51.31,4.66,4.6599998474,1.510000000000000000000000000000,10.38,M0...,19.4894
HIP 38910,\N,Gaia DR2 5594041731633230720,\N,\N,54.62,51.4977,4.31,0.554700017,1.136000000000000000000000000000,8.83,K5V,19.4183
HIP 110778,\N,Gaia DR2 2595463996992115840,\N,212697,49.8,51.5079,2.54,0.1296000034,0.618000000000000000000000000000,5.55,G3V,19.4145
HIP 83101,\N,\N,\N,153026,52.3,52.32,2.05,1.4900000095,1.181000000000000000000000000000,8.33,K3/K4V,19.1131
HIP 17750,\N,Gaia DR2 493650660396520064,\N,\N,57.53,52.3391,2.68,0.6474999785,1.530000000000000000000000000000,9.41,M2...,19.1062
HIP 65343,\N,\N,\N,116495,53.97,53.13,2.13,0.9800000191,1.321000000000000000000000000000,8.88,K5,18.8218
