designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
"Gaia DR3 348515297330773120",25.451342746949244,42.612699774488185,68.02437179464543,0.37179318,839.463,824.7606518454206,-156.4226297983505,2.8920834,4.800438,5.112087,4.3069367,5777.9346,5776.3237,5779.5845,4.2294,4.2259,4.2327,-0.3016,-0.3153,-0.2914,14.6884,14.607,14.7695
"Gaia DR3 5994771148252505216",239.41821382382682,-42.62508240537215,67.84333793843794,0.024589194,320.16113,-257.09792547764425,-190.7977977298853,0.9224219,7.658037,8.27292,6.906685,4413.7607,4413.114,4414.429,4.5554,4.5548,4.556,-0.1082,-0.1128,-0.1036,14.7317,14.7234,14.738
"Gaia DR3 5902750168276592256",230.43977568214885,-48.31885569587278,67.84669435693799,0.06005369,1646.4955,-1623.2748018634263,-275.5476122093827,0.90641874,5.48217,5.811649,4.9749002,5620.91,5619.8115,5622.0366,4.3504,4.3495,4.3512,-0.6025,-0.6131,-0.5922,14.7331,14.7203,14.7448
"Gaia DR3 4477025122831072768",275.52249410601604,6.344266820214252,67.54092303053194,0.025735453,1195.5603,-1190.3867555091729,111.10333323177485,1.1909015,11.382801,12.799602,10.206676,3300.721,3298.904,3304.287,4.9005,4.882,4.9323,-0.1807,-0.2135,-0.1106,14.7481,14.7106,14.8048
"Gaia DR3 139860666488305664",43.0351018418911,34.384950446682915,67.6743342414237,0.014717712,1404.494,995.8045303279958,-990.4426955017344,1.0606014,9.027057,9.82409,8.152574,3978.9165,3977.3003,3981.4248,4.734,4.7302,4.7389,-0.4157,-0.4182,-0.4115,14.751,14.7291,14.7627
"Gaia DR3 4423865487962417024",236.00738859967447,2.5145586194039793,67.60073784021641,0.036033303,143.27217,-42.43111062102935,-136.8448650184824,1.0497818,5.7004476,6.040487,5.187979,5579.6113,5577.7036,5584.245,4.3809,4.3799,4.3834,-0.0962,-0.1008,-0.0787,14.7516,14.7338,14.7664
"Gaia DR3 1014058103758571520",134.7989643318015,48.040871471105525,68.00099930164292,0.42232543,489.16425,-439.83552453066625,-214.0709500414631,4.8404894,3.120973,3.4182682,2.91068,7498.3286,7493.946,7502.5083,3.9261,3.9199,3.9317,-1.7544,-1.7828,-1.7181,14.7754,14.6842,14.8803
"Gaia DR3 3143635723866162432",117.96608429205932,5.5473917843088385,67.62125670948608,0.018957488,603.7159,443.24594682958303,-409.8852509291396,1.1668386,13.14167,15.058582,11.843256,3036.8499,3036.3179,3037.1616,5.0785,5.0772,5.0789,-0.2127,-0.2141,-0.2085,14.7786,14.7707,14.8109
"Gaia DR3 393621524910343296",2.2322728822606455,49.31654365243212,67.76173440284941,0.035973612,406.63513,352.6706663536907,202.42411731979598,1.1029133,14.384546,16.769222,12.998102,2856.8083,2850.4075,2858.8684,5.1855,5.1559,5.1995,-0.5086,-0.5445,-0.4563,14.783,14.6997,15.1686
"Gaia DR3 5835498883232034816",242.4272238506283,-56.44366680941792,67.44689289916005,0.01899591,360.09918,-135.1053892272478,333.7932969424783,0.83193874,6.866891,7.3064423,6.2525907,4986.093,4981.5044,5002.2715,4.5483,4.5433,4.5633,-0.3246,-0.3725,-0.2165,14.7864,14.7372,14.8259
