Gaia DR3 931119295974643968 |  20.0001| 0.0173|   49.9323|
Gaia DR3 5870919959481539968|  20.0003| 2.3352|          |
Gaia DR3 722095297945702144 |  20.0003| 0.0297|   49.5683|
Gaia DR3 6084676427333622784|  20.0005| 0.0330|          |
Gaia DR3 5909577757501754240|  20.0007| 2.4198|          |
Gaia DR3 2951163636442230784|  20.0007| 0.1555|          |
Gaia DR3 3421660600590138112|  20.0008| 0.4047|          |
Gaia DR3 4627582005924009856|  20.0009| 0.0425|   50.9546|
Gaia DR3 3515271817986511232|  20.0011| 0.1697|          |
Gaia DR3 5113129364405368704|  20.0011| 1.3620|          |
Gaia DR3 2513290483661815808|  20.0013| 0.0232|          |
Gaia DR3 1795001802346922368|  20.0014| 0.0174|          |
Gaia DR3 2796911878868892160|  20.0014| 0.0374|          |
Gaia DR3 4091885819045171968|  20.0014| 0.8671|          |
Gaia DR3 1160300979976380544|  20.0018| 0.1468|          |
Gaia DR3 6713548871705544448|  20.0019| 0.1030|          |
Gaia DR3 4141663734072512768|  20.0019| 1.1398|          |
Gaia DR3 4586451303158335616|  20.0020| 0.0147|          |
Gaia DR3 4876066406825047296|  20.0021| 0.1176|          |
Gaia DR3 6091497350793143936|  20.0023| 0.2285|          |
Gaia DR3 4146095487521526528|  20.0024| 1.0131|          |
Gaia DR3 644873877612476032 |  20.0024| 0.0179|          |
Gaia DR3 1382209815468858880|  20.0024| 0.0113|          |
Gaia DR3 4120135536940113792|  20.0026| 1.8141|          |
Gaia DR3 1997317989179808256|  20.0032| 0.1223|          |
Gaia DR3 3838806279850584320|  20.0034| 0.0188|          |
Gaia DR3 2795259862647922560|  20.0036| 0.0154|   49.9577|  3232
Gaia DR3 6248604471338023296|  20.0037| 0.1966|          |
Gaia DR3 4161505967590470784|  20.0038| 3.4841|          |
Gaia DR3 5956494296628042752|  20.0040| 1.5695|          |
Gaia DR3 2955021341707295616|  20.0041| 0.0274|          |
Gaia DR3 4042001079566715776|  20.0045| 1.9860|          |
