designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 6261833108052952576,236.9629625718969,-16.31637118117964,48.78525038748995,0.026757786,399.58804,-255.27767134507872,-307.41490103025467,1.3221533,12.873657,14.346881,11.688433,,,,,,,,,,,,
Gaia DR3 6781117812601143168,315.41421729626484,-32.52501976182318,48.79018556150675,0.02248897,274.84244,246.26716717711872,-122.0280680290498,1.089283,8.84405,9.558232,8.025545,,,,,,,,,,,,
Gaia DR3 2583721522045243008,17.902768885768012,12.083985014497983,48.79029109774313,0.032288365,292.918,-0.8172568954943209,-292.9168581344455,1.5206078,11.360538,12.5334,10.286954,,,,,,,,,,,,
Gaia DR3 6684504722300935680,295.4715576735452,-46.04205258662397,48.79067926993433,0.02381822,32.30877,-20.970555747203694,-24.57829046331483,1.2874306,11.495233,12.748411,10.389833,3291.2107,3219.378,3400.3171,4.5149,4.2589,4.7733,-0.6214,-0.9157,-0.3299,20.5185,20.3206,20.6482
Gaia DR3 3073118648694573312,128.12772183701165,-1.5794715278517855,48.79825403419688,0.0661696,497.67847,158.90536720628114,-471.6279539737189,1.0329081,15.8513775,18.68086,14.403046,,,,,,,,,,,,
Gaia DR3 3349805247975323392,89.3288669568637,17.14041480278616,48.804308464282606,0.023957942,356.12317,242.61494284954162,-260.6946361453722,1.2405419,12.784623,14.288017,11.587552,3077.9036,3065.5532,3150.486,4.5901,4.5397,4.8085,-0.6508,-0.7154,-0.3877,20.4888,20.4008,20.5598
Gaia DR3 3763681215875388288,163.67405784290577,-7.310942943226972,48.80709179930329,0.20103261,410.6176,-171.4018722750909,-373.1329998093804,2.128641,12.241215,13.518414,10.635795,,,,,,,,,,,,
Gaia DR3 160221315437314560,72.75712870519247,31.45637056239406,48.815462171737465,0.02197114,236.97083,232.16740249188558,-47.47074904738071,1.1566306,11.802982,13.263988,10.612632,3113.1826,3074.3472,3234.7837,4.312,4.1659,4.6349,-0.63,-0.7909,-0.2552,20.4946,20.3155,20.6859
Gaia DR3 6661911579416783616,287.717419535445,-47.16144345177515,48.821724467109085,0.13391042,637.33984,-55.744763861070965,-634.8973405735978,6.355828,8.793673,9.579394,7.9283595,,,,,,,,,,,,
Gaia DR3 3630092241022731136,203.6787390867029,-8.342445814179538,48.82246594670071,0.022400778,300.9007,-286.5935315959864,-91.68083549962279,1.196571,8.737202,9.422355,7.924469,4301.7915,4295.571,4308.901,4.6336,4.6266,4.6387,0.3702,0.3448,0.4329,20.4863,20.44,20.7513
Gaia DR3 2848646203058386560,2.971554717999092,22.9836653667639,48.83120681438102,0.054518264,243.69914,119.49854275878423,-212.38966909047187,2.4696155,11.7604475,13.254201,10.554515,,,,,,,,,,,,
Gaia DR3 1426999589857216256,250.46635197213618,55.172863378555206,48.8322090371682,0.015877904,25.001816,24.623550200362516,-4.3326135001650075,1.035771,11.706639,13.09507,10.549929,,,,,,,,,,,,
Gaia DR3 5410698683096655360,145.66808539065448,-46.6217555605318,48.834293624743665,0.025127925,78.85963,68.19144565944674,-39.607675704254525,0.968235,15.597418,15.891129,15.136825,,,,,,,,,,,,
Gaia DR3 2903754309959700224,85.86185276648608,-30.696169645491896,48.83950742776877,0.049991496,160.23143,150.97656982513806,-53.6673782181265,3.7420743,10.473296,11.792793,9.337151,,,,,,,,,,,,
Gaia DR3 3642410791343099008,214.89652802140458,-5.152821085545356,48.84270105261147,0.025265684,643.2138,-632.9182980952918,-114.62299706386679,1.4034156,13.4980755,15.223728,12.248384,,,,,,,,,,,,
Gaia DR3 2939555954755196160,99.17128532129774,-19.256190699068565,48.849033225640284,0.13230371,93.81167,62.660136796820936,-69.81644623373384,2.3701963,3.673236,4.2477813,2.9954019,,,,,,,,,,,,
Gaia DR3 43499295632961152,58.617798657770095,16.615308973295537,48.84903420928158,0.02067353,271.80676,214.11906590425156,-167.42742690302669,0.97737736,6.654032,7.010673,6.1251807,5431.7656,5429.8394,5433.7666,4.4467,4.4444,4.4482,-0.218,-0.2362,-0.2044,20.4674,20.4513,20.5181
Gaia DR3 6736068072442493312,281.5319162461883,-32.83742608725214,48.85958891918075,0.048683144,257.75208,12.70162517929068,-257.43892917394146,1.1161879,14.98604,17.334436,13.603264,,,,,,,,,,,,
Gaia DR3 6781117812599082752,315.4150952449052,-32.52512368646832,48.86019153226419,0.18441178,251.6202,227.16679926242003,-108.20335812708103,1.2175726,13.313736,,,,,,,,,,,,,,
Gaia DR3 5695019333334724992,126.83549071959625,-26.046116716512145,48.86275845724665,2.1904414,4.3082027,3.6909373879046763,2.2220692248334726,2.6874993,20.290241,20.730242,18.966959,,,,,,,,,,,,
Gaia DR3 6141742283401003264,198.01111684680066,-37.80281712584803,48.869144296726084,0.105836295,385.18326,-382.4089871627526,46.14661309553502,1.2579119,4.662345,5.0239234,4.1524715,,,,,,,,,,,,
Gaia DR3 5791509037821930496,208.8606715780767,-73.49389043872856,48.87404956175912,0.027504293,415.38644,-374.7758530134888,179.13394233768554,1.0667976,10.52574,11.612136,9.483746,3598.7437,3584.5,3617.7817,4.7019,4.6778,4.7154,-0.3041,-0.4236,-0.1458,20.447,20.2683,20.8453
Gaia DR3 4041787121483029504,266.31236920815206,-34.05907828906606,48.87958101762036,1.4748753,19.39052,13.463999855686138,13.953959459962425,2.8568301,19.689613,,,,,,,,,,,,,,
