designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 3946585254328792192,183.33293835470283,16.692319417318615,33.348359070010424,0.021773871,679.56244,-501.7610053481349,-458.30234258107475,1.2116138,11.1307,12.165151,10.114855,,,,,,,,,,,,
Gaia DR3 2255173119658513408,288.13986191145926,67.66194921202765,33.34994526763806,0.1567003,132.21892,94.59853339300898,92.37402429966892,3.0684147,2.8079169,3.6039166,2.3575332,,,,,,,,,,,,
Gaia DR3 1451566149955227520,207.43457407157464,27.923018084800642,33.35000037311801,0.043916624,264.10025,-254.9648288141254,68.86124693153076,0.9201581,16.275015,16.4504,15.969977,,,,,,,,,,,,
Gaia DR3 2212588828156589184,341.9496127112367,66.39547753280655,33.351372174072,0.01580727,474.4441,280.1287994068683,382.9165241984665,1.1259838,12.434338,13.892704,11.250207,,,,,,,,,,,,
Gaia DR3 6210461519621773696,233.32970349901007,-27.389046463701217,33.351490322058616,0.018681435,610.3967,-550.6264753558467,-263.4286561651986,1.1596525,13.036967,14.364946,11.899037,3150.948,3149.54,3152.3823,4.403,4.3948,4.4084,-0.891,-0.8977,-0.8849,29.9868,29.9634,30.0965
Gaia DR3 6567494213835357056,331.69534325834815,-45.393609206665126,33.35325021745859,0.019536184,467.97064,386.6088871328317,-263.6855698258262,0.96739864,8.20379,8.640577,7.5985603,,,,,,,,,,,,
Gaia DR3 1651469733391948288,265.2761321950975,72.42167052436578,33.3560345500488,0.01859851,321.99622,-121.463502119157,298.20829743205843,1.1059903,7.4322453,7.7844734,6.9098396,5602.4414,5593.434,5606.4536,4.4276,4.4258,4.43,-0.2122,-0.2322,-0.1995,29.9312,29.8727,29.9919
Gaia DR3 5850066209619678592,219.69992368788047,-64.41441968239688,33.356962358445784,3.9867647,10.682818,-1.9652508636409163,10.500494807468929,1.0076045,21.018389,21.519703,19.27759,,,,,,,,,,,,
Gaia DR3 6163964031873709824,207.22649668078228,-35.701753351864596,33.36003210702458,0.018816208,548.7484,-518.3125345870187,-180.21367641249074,1.3426696,9.603616,10.331112,8.775441,4301.9663,4295.92,4307.2715,4.5963,4.5833,4.6097,0.1218,0.0313,0.1407,29.9536,29.7905,31.0788
Gaia DR3 438189026151353216,40.75920139100414,47.93083850831948,33.36040406536894,0.11159368,207.2144,206.73817236186858,-14.040531542238469,0.7950488,16.791388,19.75442,15.314287,,,,,,,,,,,,
Gaia DR3 4062391862176231040,270.78711227021245,-29.093237490889074,33.360575558965955,1.2666681,30.234495,-28.764384904334477,9.3131530631374,1.8025111,18.802523,19.787569,17.873423,,,,,,,,,,,,
Gaia DR3 5208010586454969600,111.1341176195658,-80.18510232664642,33.36065938869435,0.0106117735,185.90689,175.6804534109416,60.80912781391638,0.9470778,9.564943,10.325328,8.716538,,,,,,,,,,,,
Gaia DR3 1424964015877277056,246.3511502812389,52.616844234913515,33.36122995197558,0.03821987,42.71546,-40.72936321763502,12.873596811045127,1.0897336,15.81119,18.203556,14.418343,,,,,,,,,,,,
Gaia DR3 4864103312294470272,67.77379350713747,-40.483160371747445,33.3612351838517,0.011633408,192.56262,-53.31233272620477,185.0355667012472,1.141546,13.304741,14.669952,12.158405,3126.2896,3124.1038,3130.2068,4.4321,4.4264,4.4431,-0.9417,-0.9513,-0.9191,30.0067,29.9495,30.2457
Gaia DR3 6161806515181380096,203.6374056692441,-38.90901257846076,33.36243871823823,0.26795316,588.65283,435.4903071173191,-396.05603750227124,2.1167147,12.661806,,,,,,,,,,,,,,
Gaia DR3 1651476364821454592,265.31512945326745,72.44360837835687,33.363948329302595,0.015723366,326.04474,-124.19637870451929,301.46381763518445,1.4276159,13.308167,15.016307,12.060787,,,,,,,,,,,,
Gaia DR3 2683452758602312192,330.72427923881315,2.627332246475897,33.36473668359621,0.110158555,256.08728,165.10117776010082,-195.7608216056365,1.0904952,16.851503,17.175814,16.353916,,,,,,,,,,,,
Gaia DR3 4153605254977440384,274.75022975202893,-12.334735019638329,33.36481524625601,1.2196211,22.954285,-20.86317503025844,9.57220648809077,1.5158687,19.727642,20.982119,18.331778,,,,,,,,,,,,
Gaia DR3 4040361531789218560,268.9121777533174,-36.12489765829362,33.365210427970666,2.1770034,9.70852,-4.666154383852981,8.513656885038847,3.1039925,19.635311,19.860344,18.41281,,,,,,,,,,,,
Gaia DR3 5383345273328499584,169.36118726868986,-41.30527053436684,33.36581810132686,1.0552844,15.357753,13.765603980777648,-6.809457482633539,6.485069,16.228485,16.46041,14.96333,,,,,,,,,,,,
Gaia DR3 198027266851070848,88.9293957002229,46.84443796140585,33.365825441621695,0.06787211,532.43604,14.068331166051628,-532.2501231168138,1.0494063,16.996769,17.444908,16.390612,,,,,,,,,,,,
Gaia DR3 3484025454168955264,174.78581371526866,-27.69744091365444,33.36674932302453,0.014937255,452.48837,358.57107592950894,-275.9936935831977,0.9949749,9.497787,10.188565,8.694613,4369.681,4368.4463,4371.193,4.6043,4.5956,4.6101,0.0631,0.0096,0.1048,29.85,29.8016,29.9018
Gaia DR3 3262596353637434368,49.84130222367593,-1.5358575187798766,33.36712267723617,0.019819252,434.46118,241.5773295215658,-361.1051260671167,1.2543665,13.710856,15.352967,12.480273,3165.5586,3164.987,3166.0576,4.9981,4.9951,4.9986,-0.0934,-0.0951,-0.0851,29.8382,29.806,30.005
Gaia DR3 4272395456154131456,280.5155111695292,-0.24149396966690398,33.36752401969048,0.045575835,262.0576,-169.10780539757238,-200.19173177291225,1.0508517,15.648444,17.970274,14.262207,2887.5725,2882.4836,2891.8494,5.1327,5.0624,5.1548,-0.3985,-0.4492,-0.3689,30.2648,30.0318,32.3054
Gaia DR3 2666240316386770560,326.281299115604,-8.826450430314635,33.36976787481889,0.04796686,189.7914,178.3136175120266,-65.00019584509148,1.0487466,14.994965,17.035664,13.671684,2981.3596,2971.9062,2983.5273,5.0813,4.9838,5.0971,-0.2674,-0.3371,-0.2133,30.2398,29.7972,32.0536
Gaia DR3 3232115103881666944,74.86951951648028,2.3335094235280107,33.37173401940491,0.050892476,185.02724,99.56947802583228,155.95190916391775,0.97575736,16.057117,18.477716,14.657198,,,,,,,,,,,,
Gaia DR3 3900151916215125760,185.63051739378545,5.3106008371316555,33.37288687926661,0.03584959,172.53015,-166.81513320894982,-44.03824406699935,1.0692624,9.021822,9.628949,8.281566,4558.741,4557.7905,4559.617,4.5891,4.5871,4.5907,0.2158,0.2063,0.226,29.9549,29.9089,30.0396
Gaia DR3 6029952359331952384,256.836798257651,-28.664407137883067,33.37329911510997,2.932094,8.6522455,4.982813879835604,-7.073395157154233,1.0266682,20.137943,,,,,,,,,,,,,,
Gaia DR3 953770365081885824,103.66308219755777,44.67530303040258,33.37556863092203,0.02585153,399.0433,47.090128632709515,-396.2550761192965,1.4122496,12.8949,14.399175,11.698686,,,,,,,,,,,,
Gaia DR3 2021751302214254208,296.1082125577331,25.896026246341066,33.37595315898176,3.1036682,8.028673,-3.948137162695783,-6.990836973907522,1.4443265,20.657696,,,,,,,,,,,,,,
Gaia DR3 2507726817386486912,29.062674697485114,0.10215906060979009,33.377533717199725,0.045793097,144.67789,122.69831623550117,-76.66037255353997,1.1264826,12.251512,13.653153,11.074245,3103.8208,3098.067,3182.1602,4.0945,4.0719,4.3309,-0.7857,-0.8125,-0.4905,30.0506,29.8694,31.1707
Gaia DR3 4288584875819019392,290.9835246168049,1.6577585732520785,33.37804771739921,1.5534693,12.30054,-5.517584852969248,-10.99361325083061,2.2214313,19.60898,19.98356,18.564062,,,,,,,,,,,,
Gaia DR3 3810750831918988928,170.87160692514428,1.9011761064740205,33.378127700601695,0.29557762,168.84372,-168.06492877808887,16.19812898133362,2.1776657,16.359142,19.446651,14.833214,,,,,,,,,,,,
Gaia DR3 4472091850367550208,267.33923864513764,2.8047675055360854,33.37994530952391,0.062920555,143.47762,-143.455096099985,-2.541578276541325,3.077863,11.967993,13.252836,10.837045,3309.6428,3308.707,3310.148,4.5097,4.5053,4.5121,-0.3943,-0.3971,-0.3927,29.6192,29.5635,29.6848
Gaia DR3 6258628066015225856,231.18914512852962,-17.128492508585644,33.380458480573786,0.025930064,377.71136,-319.24048949155133,-201.86974901310185,1.3387761,10.844255,11.98182,9.781106,,,,,,,,,,,,
Gaia DR3 4897180848306448640,64.5263202969706,-24.10832633439757,33.380584224379916,0.15403962,383.97964,-116.92377501280197,-365.74472298165495,7.69939,14.259893,16.261698,12.921447,,,,,,,,,,,,
Gaia DR3 4193990248350991104,294.18886162804097,-10.444631516124922,33.38081851340137,0.2721907,397.38934,-290.79988575953416,-270.83891517020993,10.375506,8.354746,8.846018,7.6993237,,,,,,,,,,,,
Gaia DR3 5341787994441794176,175.87561232564434,-58.00533129753904,33.381404184344994,0.017959077,349.52362,16.67999946967957,349.1253791433192,0.9306792,7.9776835,8.427276,7.365349,,,,,,,,,,,,
Gaia DR3 5438607582442820096,145.74829213268265,-33.596437793936666,33.38279943294402,0.021545248,383.54132,-370.34660649991315,-99.73628903515613,1.5769395,12.38778,13.80672,11.212209,,,,,,,,,,,,
Gaia DR3 5673125406825164544,153.89523408300764,-16.472320191134866,33.38322012993648,0.036420148,479.16364,-442.4895508044375,183.849934915527,2.0520601,12.218052,13.711058,11.019038,,,,,,,,,,,,
Gaia DR3 6141582819853668352,197.37661186162688,-38.802555012402046,33.38343387186293,0.0301206,554.1081,-471.71377627488505,-290.7264730340122,1.5174185,12.786923,14.365833,11.567148,,,,,,,,,,,,
Gaia DR3 433229541515108608,46.21607547764966,44.89061073135101,33.38400152505844,0.016524782,145.09534,105.68455913290691,-99.41545374489701,1.2176627,10.497621,11.4321785,9.54653,,,,,,,,,,,,
Gaia DR3 1275744757390360064,226.09400332679675,29.477746322104903,33.38446049739351,0.030205056,294.6814,242.7492137160859,-167.06270852256864,2.2808542,11.784376,13.002905,10.674019,3278.636,3278.4775,3279.907,3.9566,3.9535,3.9582,-1.3297,-1.3301,-1.3292,30.192,30.1383,30.3232
Gaia DR3 1089040261285612800,111.7147784808297,63.033380729720086,33.38470317893862,0.31472027,483.40704,-233.7283696264822,-423.1470306360502,1.0636113,19.185,21.305447,17.65419,,,,,,,,,,,,
Gaia DR3 513479115656944128,36.3487840890877,61.453716467409876,33.38934306747083,0.018895006,88.26452,-88.2633334394748,0.4578393693561467,1.1362283,13.824046,15.595571,12.555387,,,,,,,,,,,,
Gaia DR3 779314565954411136,161.5424037224527,40.303793941504956,33.38993180688474,0.021358468,33.18359,23.583972279587055,-23.344100014723715,1.1195333,12.081569,13.453916,10.923551,3137.4497,3134.7332,3153.1938,4.0878,4.0795,4.1341,-0.8045,-0.8153,-0.7546,30.0083,29.9487,30.1855
Gaia DR3 819071050989217792,139.7527279078717,46.18199791463232,33.39146309471681,0.025434533,152.5545,-151.05512000748868,-21.336044706054167,1.2761805,11.151594,12.253352,10.105474,,,,,,,,,,,,
Gaia DR3 4572719468075516288,254.37196207330058,24.815908578063777,33.394938059463094,0.42414162,393.34827,71.5454688111668,386.7869053008145,7.897552,16.184727,19.00065,14.7136545,,,,,,,,,,,,
Gaia DR3 6578350001374194816,325.54332617016723,-41.12621315461098,33.39571300516725,0.6593065,314.06006,172.2531553112397,-262.60727231063674,33.003048,8.460963,9.040806,7.724862,,,,,,,,,,,,
Gaia DR3 6159861925788911488,190.18964686230956,-33.3712093510892,33.395891522624325,0.015184857,188.93446,-182.53544235598972,48.75491085848337,1.134617,9.842056,10.615646,8.986502,4299.1426,4297.34,4300.989,4.6446,4.6396,4.6471,0.091,0.0537,0.1276,30.0455,29.8447,30.3352
Gaia DR3 6536153940554895872,349.41061330487946,-42.1949089729326,33.396592573652995,0.13032791,285.41217,281.9542153581791,-44.29359830384374,1.8886513,15.536971,17.692001,14.182033,,,,,,,,,,,,
Gaia DR3 3484025454167211136,174.7863861531965,-27.696627775942417,33.397980062256735,0.045969345,460.1061,356.06868513567116,-291.3979019935548,1.0577354,13.515479,12.967074,11.647278,,,,,,,,,,,,
Gaia DR3 4789516154317811456,65.98967568235504,-45.847364214494064,33.39804047626621,0.041662067,524.43945,-97.13762539919138,-515.3649500943161,0.9869537,16.668665,17.031044,16.14183,,,,,,,,,,,,
Gaia DR3 2395297767716696704,352.8553792524047,-16.267224843661754,33.39808262432924,0.24265328,362.24667,240.66789557614857,-270.7427278586888,9.359526,11.810668,13.357962,10.597902,3039.2297,3038.2122,3040.099,3.8293,3.8278,3.8365,-0.7578,-0.7629,-0.7545,28.4314,28.198,28.5244
Gaia DR3 2804011562888218240,13.746058946392417,24.099472317789104,33.399848934597564,0.024072569,257.63782,-184.7121925596737,-179.6069540567577,0.9497821,7.263617,7.585634,6.7728677,5656.0586,5653.972,5658.0894,4.4304,4.4289,4.432,-0.4585,-0.4735,-0.4443,29.8821,29.8207,29.9127
Gaia DR3 6029807945278552448,256.46723560709637,-29.260087575038757,33.400162386725384,1.6079559,20.921083,-16.52912055933208,12.824970963618275,1.350933,20.218073,,,,,,,,,,,,,,
Gaia DR3 4059842442492415104,260.56318859084666,-28.296923004921034,33.40516823141484,2.111645,22.862593,-20.496424202628113,10.128906301679827,1.1885768,20.355589,21.073322,19.361746,,,,,,,,,,,,
Gaia DR3 4120366400071337472,267.24063777196034,-18.353667706983394,33.406331092644855,1.7035377,26.784119,-23.54863474197371,12.761302235515366,1.2769141,20.00325,20.637012,18.614052,,,,,,,,,,,,
Gaia DR3 6807655075493276416,315.3798517475379,-22.77822423857245,33.40655554603245,0.055618156,110.96027,61.28252617513229,-92.50207740956671,1.918465,10.574664,11.476859,9.48365,,,,,,,,,,,,
Gaia DR3 4314401168356165760,286.2093292896563,13.833030781488862,33.407629124052704,2.6894488,9.14119,3.3648656824194374,-8.49935438765977,1.3544954,20.57777,21.234245,19.3363,,,,,,,,,,,,
Gaia DR3 1291886309636988416,226.64608491843208,36.45625390907102,33.40857756372515,0.02093204,76.79054,-64.01985977891863,42.40571298372659,1.1629326,6.2310505,6.488245,5.8076587,6116.552,6115.6787,6117.4985,4.1833,4.1813,4.1851,-0.3527,-0.3607,-0.3442,29.9066,29.8866,29.9252
Gaia DR3 1881769728093880704,335.4764742637131,27.48360520790119,33.4134595342425,0.06605003,356.56796,-55.6656887992891,-352.1960312527948,0.9766017,16.03057,18.461397,14.625633,,,,,,,,,,,,
Gaia DR3 4703372476296595584,5.4781233019457485,-68.52470190701176,33.41487798139413,0.013059673,231.92969,-66.39702690381121,-222.22245156742477,1.1668987,10.421072,11.4009075,9.44303,3966.7334,3949.7842,4009.4653,4.6248,4.622,4.6293,0.2371,0.1998,0.3054,29.8528,29.4798,30.3153
Gaia DR3 2656072582607976064,341.44379654244165,1.6887625145572842,33.4150145512825,0.08122325,194.60628,182.14422339376063,-68.52068537371373,1.0510899,16.695557,16.650034,14.656987,,,,,,,,,,,,
Gaia DR3 4963606056591161984,34.67550001697747,-39.61933828480256,33.415883644261946,0.017107736,507.4735,501.345627362645,78.62522381801536,1.3023934,12.269481,13.590073,11.1293545,,,,,,,,,,,,
Gaia DR3 471423551805832064,69.8765847338602,60.44384566789718,33.41625413300986,0.06359771,413.8601,131.2302954688027,-392.5032301920776,1.0214677,16.492672,19.261383,15.045052,,,,,,,,,,,,
Gaia DR3 4106639409665617536,280.054029965623,-11.338548523664173,33.41652048917196,1.4101537,4.3681517,-1.2904497317182588,-4.173186765817198,2.2849305,19.549732,,,,,,,,,,,,,,
Gaia DR3 4970704812899201152,34.36922706522412,-32.22098379114836,33.41664195159418,0.024363492,70.670685,-69.98976535902054,9.78665514696034,1.3999388,11.073788,12.130613,10.052108,,,,,,,,,,,,
Gaia DR3 1948077941473461504,329.6306882703612,34.658639322036564,33.41819428692805,0.014706532,119.8779,-114.76037000797274,-34.65209589668105,1.0598339,8.76073,9.306896,8.065524,4646.518,4645.8955,4647.1045,4.5589,4.5581,4.5594,0.08,0.0764,0.0836,29.9033,29.8856,29.9351
Gaia DR3 1250935029124246528,206.92704262802562,21.460081902908993,33.41857656662857,0.019704789,119.73264,79.59181643310167,-89.44858344678521,1.2250353,10.510844,11.363187,9.469181,,,,,,,,,,,,
Gaia DR3 1420972548150735744,263.0679671237433,55.173182955417175,33.41866248317232,0.13022357,156.15381,144.33873448943183,59.58474934843501,1.2821128,4.792332,4.9414716,4.5462947,7271.061,7268.9414,7273.2085,4.0664,4.0621,4.0726,-0.5683,-0.5813,-0.5457,30.2415,29.9861,30.416
Gaia DR3 1704062466923822336,244.37472356719266,75.75643519854079,33.418958321685345,0.110270046,257.70212,-77.64703535197518,245.7261135172886,1.2219981,4.8468947,5.049105,4.52892,6763.9507,6758.795,6767.4087,3.9766,3.9488,3.9821,-0.5662,-0.6071,-0.4871,30.2127,29.9474,32.0111
