designation,MRp,MRp_error,MBp,MBp_error,MG,MG_error,distance_gspphot_error,azero_gspphot_error
Gaia DR3 1166216253750406144,4.17732696859359,0.0015709724402270808,4.995641997737876,0.0015709724402270808,4.6738417658042835,0.0015709724402270808,0.06789970397949219,2.500000118743628E-4
Gaia DR3 6192187979961725952,4.1872067709359495,0.027452339454164587,5.017834689179352,0.027452339454164587,4.691218401947912,0.027452339454164587,1.0273990631103516,1.500000071246177E-4
Gaia DR3 856774374153131008,3.95971211184764,0.0017754770877704829,4.758118235962629,0.0017754770877704829,4.446126067536117,0.0017754770877704829,0.066650390625,9.999999747378752E-5
Gaia DR3 5943191236735787520,4.146136574097996,0.003025588167810511,4.97295217926157,0.003025588167810511,4.646744541474705,0.003025588167810511,0.4986000061035156,0.00139999995008111
Gaia DR3 4345775217221821312,4.0860920752505745,0.0019377745891628884,4.903169235132167,0.0019377745891628884,4.575888713739344,0.0019377745891628884,0.015299797058105469,4.999999873689376E-5
Gaia DR3 1061266013453102080,4.158287216865087,0.0018036850613878386,4.966440369330902,0.0018036850613878386,4.648198296271826,0.0018036850613878386,0.0805511474609375,5.500000552274287E-4
Gaia DR3 1818697205647102720,4.203604233362013,0.0014935960189310649,5.005958569146924,0.0014935960189310649,4.691028606988722,0.0014935960189310649,0.035599708557128906,1.500000071246177E-4
Gaia DR3 4584639307993378432,4.159454766560373,8.932026888066602E-4,4.977199498463451,8.932026888066602E-4,4.654624406147775,8.932026888066602E-4,0.024100303649902344,1.500000071246177E-4
Gaia DR3 6542545981467134592,3.99106615615041,0.002745623943923192,4.80191629958302,0.002745623943923192,4.481772599937031,0.002745623943923192,0.08390045166015625,1.500000071246177E-4
