source_id,designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_variable_flag,non_single_star,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,radial_velocity,radial_velocity_error
4367026096927711104,Gaia DR3 4367026096927711104,260.7211862464831,-2.400001939421211,50.987616498333246,0.3607869,119.981544,57.456018575933626,-105.3298524591823,8.52464,NOT_AVAILABLE,0,11.727029,12.458371,9.874535,2.5838366,0.7313423,1.8524942,,,,,,,,,,,,,,,,-36.726524,0.7569673
4367026303085396352,Gaia DR3 4367026303085396352,260.71391542328826,-2.3886581335581094,50.96943844765955,0.02509384,118.58055,48.7024277536496,-108.11762302723793,0.96263945,NOT_AVAILABLE,0,6.121606,6.4551454,5.6102753,0.8448701,0.3335395,0.5113306,5561.0615,5560.07,5562.4907,4.3529,4.3523,4.3537,-0.3991,-0.4073,-0.3901,19.6112,19.5979,19.6434,0.0,0.0,1.0E-4,-35.93564,0.116191916
4366633811793952896,Gaia DR3 4366633811793952896,258.01634026214566,-3.3925453464829833,51.129687734418894,0.055065297,413.38544,-371.4103623561055,-181.49890358370348,1.0232781,NOT_AVAILABLE,0,15.495008,18.233423,14.054442,4.178981,2.7384148,1.4405661,,,,,,,,,,,,,,,,,
4107529945404111360,Gaia DR3 4107529945404111360,259.51847297850105,-28.533750873745475,62.923658073348115,1.6466343,8.888747,-6.456962522823191,-6.108802080293369,1.7708329,NOT_AVAILABLE,0,19.787502,,,,,,,,,,,,,,,,,,,,,,
4071372539860350464,Gaia DR3 4071372539860350464,281.4909749900135,-28.93270089026472,53.207192365600505,0.6469718,395.35907,307.226609416772,-248.83850053123825,19.562845,NOT_AVAILABLE,0,11.373336,12.935164,10.140617,2.794547,1.5618286,1.2327185,,,,,,,,,,,,,,,,-33.151764,0.87962735
5805810454276181120,Gaia DR3 5805810454276181120,252.0946837944212,-72.97845320821952,63.42729041392924,0.014437226,716.2782,-479.05227777255936,-532.5066968417766,1.0501585,NOT_AVAILABLE,0,10.445256,11.554786,9.401079,2.1537066,1.1095295,1.044177,3320.7864,3319.33,3328.1943,4.1436,4.1365,4.1777,-1.1618,-1.1699,-1.1188,15.7815,15.7723,15.8233,1.0E-4,0.0,0.0015,18.786898,0.20161568
5970971561918864768,Gaia DR3 5970971561918864768,251.320599108684,-38.809501382384276,67.23260439672681,0.24087371,40.53104,14.077998120266319,-38.00756556957904,7.8282976,NOT_AVAILABLE,0,9.143939,9.940723,7.8830147,2.0577087,0.7967844,1.2609243,,,,,,,,,,,,,,,,,
5970956070030449792,Gaia DR3 5970956070030449792,251.06244856982798,-38.94390290151647,70.32196073686148,0.019630233,63.578087,-20.47972338625423,-60.18931984773525,0.9142331,NOT_AVAILABLE,0,7.191345,7.730347,6.49972,1.2306271,0.53900194,0.6916251,4640.586,4639.916,4641.363,4.551,4.5504,4.5517,-0.1195,-0.1229,-0.1159,14.2178,14.2117,14.2298,0.0,0.0,1.0E-4,-19.287188,0.12191863
2047690533883897856,Gaia DR3 2047690533883897856,297.17034072865096,35.92017560607515,74.38552746556688,0.019639414,293.19873,54.00977236952442,-288.1812721066219,1.1539586,NOT_AVAILABLE,0,11.800824,13.338846,10.592237,2.7466087,1.538022,1.2085867,3036.6863,3035.4297,3040.4097,4.4196,4.4146,4.4331,-0.7996,-0.805,-0.784,13.4472,13.442,13.4583,0.0,0.0,2.0E-4,0.71174085,0.36937687
439595542043685888,Gaia DR3 439595542043685888,44.527654103364355,50.2384703559099,58.525932146902214,0.017844131,314.82346,13.403359485428098,314.53801233414185,1.3213546,VARIABLE,0,12.072921,13.285026,10.974774,2.3102512,1.2121048,1.0981464,,,,,,,,,,,,,,,,-30.243973,0.45273662
5184938400096586112,Gaia DR3 5184938400096586112,41.5696933524825,-4.997403976434318,59.83980903523708,0.038218252,2529.4958,1691.1644576439846,-1881.0401102601213,1.1944062,NOT_AVAILABLE,0,14.305549,16.553602,12.945121,3.6084814,2.2480536,1.3604279,2912.9294,2904.5635,2914.2666,5.165,5.1413,5.1684,-0.4052,-0.4193,-0.397,16.6691,16.627,16.7648,1.0E-4,0.0,9.0E-4,33.27889,2.324181
5185165891628969984,Gaia DR3 5185165891628969984,40.314644601412986,-4.538542485444145,81.19892749105797,0.044579778,357.48743,352.7646340077034,-57.91696095436592,1.7146044,NOT_AVAILABLE,0,12.250948,14.045924,10.976293,3.0696316,1.7949762,1.2746553,3069.2292,3067.895,3070.709,4.9792,4.9591,5.0021,-0.1344,-0.1814,-0.0873,12.2915,12.2374,12.3613,1.0E-4,0.0,4.0E-4,23.114922,0.72817063
5185493447310441728,Gaia DR3 5185493447310441728,42.81745198144149,-3.8882601693023133,86.29320806413826,0.18863557,2162.1318,1112.6624820303155,-1853.8599560489918,1.1777321,NOT_AVAILABLE,0,17.976585,21.664816,16.401794,5.2630215,3.6882305,1.574791,,,,,,,,,,,,,,,,,
438829629114680704,Gaia DR3 438829629114680704,41.05222216366374,49.22805187168278,89.68495177109118,0.16380331,346.4033,334.70816467359896,-89.25073359566134,3.1697655,NOT_AVAILABLE,0,3.9830012,4.24677,3.554696,0.6920738,0.26376867,0.42830515,6281.219,6278.441,6283.7715,4.2036,4.2006,4.2061,-0.3648,-0.3757,-0.3563,11.1384,11.1193,11.1603,0.0,0.0,1.0E-4,24.550722,0.12726237
438829835272390784,Gaia DR3 438829835272390784,41.044939504692216,49.23139692008499,89.3738958436431,0.032019433,322.9465,317.2462548195822,-60.4091315736588,1.2083633,NOT_AVAILABLE,0,9.139716,10.267504,8.080235,2.1872692,1.1277876,1.0594816,3547.1597,3532.9824,3557.8218,4.6149,4.5726,4.6444,-0.4062,-0.4936,-0.3233,11.181,11.1553,11.2138,3.0E-4,1.0E-4,6.0E-4,25.25429,0.1375571
5189170557793054848,Gaia DR3 5189170557793054848,159.68433024045862,-86.54629290223104,70.46108296886416,0.019923769,261.41742,-198.41417421394704,-170.20835263900128,1.217458,NOT_AVAILABLE,0,11.895596,13.488344,10.671947,2.8163977,1.5927486,1.223649,3015.8333,3015.2073,3017.105,4.3875,4.3845,4.3934,-0.7608,-0.7636,-0.7547,14.2011,14.1833,14.2067,0.0,0.0,1.0E-4,30.21512,0.38674873
5169649072437050496,Gaia DR3 5169649072437050496,50.446960911897975,-6.673604628558178,57.99341505221649,0.022065219,326.94785,323.46374433498465,-47.60365456791931,1.4177035,VARIABLE,0,10.36248,11.57165,9.274028,2.2976217,1.2091694,1.0884523,3263.297,3255.6565,3322.4204,4.1016,4.0773,4.3072,-0.8637,-0.8896,-0.6382,17.2395,17.1752,17.2785,4.0E-4,0.0,0.0028,26.231102,0.22392662
5170039467784804096,Gaia DR3 5170039467784804096,51.24784690007301,-5.367170566006298,65.26068409308351,0.027728027,802.4135,-230.88318639610878,-768.4793029002251,0.95712316,NOT_AVAILABLE,0,7.4652786,8.087434,6.713721,1.373713,0.6221552,0.7515578,4505.107,4504.4297,4505.866,4.546,4.5443,4.5479,0.2296,0.2179,0.2403,15.3086,15.2708,15.3192,0.0,0.0,1.0E-4,-13.359324,0.125276
