HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 24,Kap1Scl,HD 493,\N,5.42,0.42,F2V
HR 2943,10Alp CMi,HD 61421,\N,0.38,0.42,F5IV-V
HR 8396,29    Aqr,HD 209278,\N,6.37,0.42,A2V+K0III
HR 8787,The Gru,HD 218227,\N,4.28,0.42,F5mDel Del
HR 8877,\N,HD 220003,\N,6.05,0.42,F5mDel Del
HR 1593,\N,HD 31662,\N,6.03,0.41,F4V
HR 855,20    Per,HD 17904,\N,5.33,0.41,F4IV
HR 1379,56    Per,HD 27786,\N,5.76,0.40,F4V
HR 1967,\N,HD 38089,\N,6.02,0.40,F3V
HR 4370,\N,HD 98096,\N,6.31,0.40,F3V
HR 647,\N,HD 13594,\N,6.06,0.40,F4V
HR 6553,The Sco,HD 159532,\N,1.87,0.40,F1II
HR 1077,\N,HD 21903,\N,6.46,0.39,F3V
HR 4946,39    Com,HD 113848,\N,5.99,0.39,F4V
HR 514,Eps Scl,HD 10830,\N,5.31,0.39,F1V
HR 6052,\N,HD 145976,\N,6.50,0.39,F3V
HR 8202,\N,HD 204018,\N,5.51,0.39,Am
HR 3701,\N,HD 80441,\N,6.12,0.38,F2V+F4V
HR 6319,20    Dra,HD 153697,\N,6.41,0.38,F1-3V
HR 7822,11Rho Cap,HD 194943,\N,4.78,0.38,F2IV
HR 2677,\N,HD 53952,\N,6.14,0.37,F2V
HR 6898,\N,HD 169493,\N,6.15,0.37,F6III+A9III
HR 997,\N,HD 20631,\N,5.71,0.37,F0IV
HR 3786,Psi Vel,HD 82434,\N,3.60,0.36,F3IV+F0IV
HR 4698,\N,HD 107398,\N,7.13,0.36,F3V+F3V
HR 4931,78    UMa,HD 113139,\N,4.93,0.36,F2V
HR 7657,16    Vul,HD 190004,\N,5.22,0.36,F2III
HR 8310,78Mu 2Cyg,HD 206827,\N,6.08,0.36,G2V
HR 5497,54    Hya,HD 129926,\N,4.94,0.35,F2III-IV
HR 5900,\N,HD 142049,\N,5.77,0.35,G5II-III+A3
